serial_number,actual_failure_date,first_alarm_date,days_to_failure_at_alarm,alarm_predicted_score
1070A03AF97G,2023-06-22,2023-06-19,3.0,0.3260973393917084
10B0A0R0F97G,2025-11-27,2025-11-05,22.0,0.14368785917758942
10C0A0AVF97G,2023-04-08,2023-03-24,15.0,0.14513719081878662
10L0A03VF97G,2024-11-12,2024-11-12,0.0,0.13106191158294678
10N0A03XF97G,2024-04-25,2024-04-16,9.0,0.13518455624580383
20H0A06PF97G,2025-07-26,2025-07-07,19.0,0.1593932956457138
40N0A0MAF97G,2020-08-15,2020-08-14,1.0,0.42476752400398254
40W0A04AF97G,2025-07-26,2025-07-23,3.0,0.13209493458271027
40X0A0ARF97G,2025-04-05,2025-04-04,1.0,0.3103894293308258
5120A09XF97G,2025-07-26,2025-07-14,12.0,0.13884440064430237
5120A0UFF97G,2024-08-03,2024-07-18,16.0,0.14584271609783173
69Q0A004F97G,2024-03-06,2024-03-02,4.0,0.2195236086845398
70B0A019F97G,2025-07-28,2025-07-01,27.0,0.1304134875535965
70M0A03RF97G,2025-05-10,2025-04-14,26.0,0.13943025469779968
88Q0A00CF97G,2025-11-15,2025-11-09,6.0,0.14545488357543945
88Q0A0AXF97G,2025-11-21,2025-11-07,14.0,0.13279785215854645
88Q0A0MWF97G,2024-05-11,2024-05-06,5.0,0.16692271828651428
X820A002F97G,2025-05-22,2025-04-30,22.0,0.16999100148677826
X880A0BXF97G,2023-06-25,2023-06-16,9.0,0.18613579869270325
X880A0E4F97G,2025-01-17,2025-01-09,8.0,0.13462431728839874
X8D0A02XF97G,2025-02-28,2025-02-04,24.0,0.22115468978881836
X8D0A063F97G,2024-07-20,2024-06-29,21.0,0.141977459192276
X8E0A00MF97G,2022-04-25,2022-04-11,14.0,0.17907072603702545
X8E0A00VF97G,2022-05-06,2022-05-03,3.0,0.14655368030071259
X8E0A02YF97G,2025-07-25,2025-07-25,0.0,0.231011301279068
X8G0A05GF97G,2022-06-21,2022-06-12,9.0,0.1436878740787506
Y810A004F97G,2024-04-24,2024-04-24,0.0,0.16615110635757446
