serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,is_hit,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed
2AG61PSY,0,0,,,,0,0,0,1,0.00026187553885392845,,2019-05-27,
2AG8AVRY,0,0,,,,0,0,0,1,0.0003452556557022035,,2019-08-13,
2AGEGU7Y,0,0,,,,0,0,0,1,0.0006278892979025841,,2019-05-27,
2AGEU1JY,0,1,2025-05-19,,,0,1,0,0,0.3284246325492859,0.1939237415790558,2019-06-01,2179.0
2AGG48NY,0,0,,,,0,0,0,1,0.00023581611458212137,,2019-05-27,
2AGG7H1Y,0,0,,,,0,0,0,1,0.0002797342312987894,,2019-05-27,
2AGGHGJY,1,0,,2024-11-19,,0,0,1,0,0.12118475139141083,,2019-05-16,
2AGGHLEY,0,0,,,,0,0,0,1,0.0005281027406454086,,2019-06-01,
2AGGHM0Y,0,0,,,,0,0,0,1,0.00025483506033197045,,2019-05-27,
2AGGHMUY,0,0,,,,0,0,0,1,0.0006854576640762389,,2019-05-16,
2AGGHR1Y,0,0,,,,0,0,0,1,0.0008451620233245194,,2019-05-27,
2AGGHR7Y,0,0,,,,0,0,0,1,0.0002989153435919434,,2019-05-27,
2AGGL0UY,1,0,,2022-02-27,,0,0,1,0,0.12813039124011993,,2019-05-27,
2AGGR3NY,0,0,,,,0,0,0,1,0.030703816562891006,,2019-05-27,
2AGGZNJY,0,0,,,,0,0,0,1,0.0005958717665635049,,2019-05-27,
2AGH31BY,1,0,,2023-11-01,,0,0,1,0,0.04609261080622673,,2019-05-27,
2AGH31PY,1,0,,2024-11-18,,0,0,1,0,0.05373184010386467,,2019-05-27,
2AGH33SY,1,1,2025-03-01,2025-05-08,68.0,1,0,0,0,0.31725189089775085,0.23230412602424622,2019-05-27,2105.0
2AGH34HY,0,0,,,,0,0,0,1,0.08241692185401917,,2019-05-27,
2AGH34PY,0,0,,,,0,0,0,1,0.0007863149512559175,,2019-05-27,
2AGH35GY,0,0,,,,0,0,0,1,0.00029881615773774683,,2019-05-27,
2AGHB9XY,1,0,,2024-12-02,,0,0,1,0,0.041408389806747437,,2019-05-27,
2AGHDYHY,0,0,,,,0,0,0,1,0.0006537009030580521,,2019-05-27,
2AGHEP9Y,1,0,,2024-07-26,,0,0,1,0,0.02393396943807602,,2019-05-27,
2AGHGR1Y,0,0,,,,0,0,0,1,0.0017558084800839424,,2019-05-27,
2AGHGRLY,0,0,,,,0,0,0,1,0.0005689084646292031,,2019-05-27,
2AGHGRRY,0,0,,,,0,0,0,1,0.00031794465030543506,,2019-05-27,
2AGHJD4Y,0,1,2025-07-24,,,0,1,0,0,0.44558602571487427,0.17225678265094757,2019-06-01,2245.0
2AGHK55Y,0,0,,,,0,0,0,1,0.00027225606027059257,,2019-05-27,
2AGHK8MY,0,0,,,,0,0,0,1,0.0003318029921501875,,2019-05-27,
2AGHLEUY,1,0,,2023-11-06,,0,0,1,0,0.02255307137966156,,2019-05-27,
2AGHLGTY,1,1,2025-02-28,2025-08-05,158.0,1,0,0,0,0.22875051200389862,0.1930965632200241,2019-05-27,2104.0
2AGHLKHY,0,0,,,,0,0,0,1,0.0007007642416283488,,2019-05-27,
2AGHLMXY,0,0,,,,0,0,0,1,0.0006185067468322814,,2019-05-27,
2AGHLN0Y,0,0,,,,0,0,0,1,0.00037148670526221395,,2019-05-27,
2AGHMUTY,0,0,,,,0,0,0,1,0.00037681800313293934,,2019-05-27,
2AGHMUYY,0,0,,,,0,0,0,1,0.0010030349949374795,,2019-06-01,
2AGHMW5Y,0,0,,,,0,0,0,1,0.040499247610569,,2019-05-27,
2AGHMXGY,1,0,,2023-05-14,,0,0,1,0,0.01659165322780609,,2019-05-27,
2AGHMYTY,0,0,,,,0,0,0,1,0.07789329439401627,,2019-05-27,
