serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,is_hit,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed
2AG61PSY,0,0,,,,0,0,0,1,0.0007909511676434602,,2019-05-27,
2AG8AVRY,0,0,,,,0,0,0,1,0.007722740742580458,,2019-08-13,
2AGEGU7Y,0,0,,,,0,0,0,1,0.0006955173013130974,,2019-05-27,
2AGEU1JY,0,1,2025-08-04,,,0,1,0,0,0.9999999999953595,0.999999999994442,2019-06-01,2256.0
2AGG48NY,0,0,,,,0,0,0,1,0.0006882857216211939,,2019-05-27,
2AGG7H1Y,0,0,,,,0,0,0,1,0.00070855183124194,,2019-05-27,
2AGGHGJY,1,0,,2024-11-19,,0,0,1,0,0.9211300108081435,,2019-05-16,
2AGGHLEY,0,0,,,,0,0,0,1,0.000723645533577128,,2019-06-01,
2AGGHM0Y,0,0,,,,0,0,0,1,0.00070855183124194,,2019-05-27,
2AGGHMUY,0,0,,,,0,0,0,1,0.0007029480152224588,,2019-05-16,
2AGGHR1Y,0,0,,,,0,0,0,1,0.008093638028792467,,2019-05-27,
2AGGHR7Y,0,0,,,,0,0,0,1,0.000849240849908026,,2019-05-27,
2AGGL0UY,1,0,,2022-02-27,,0,0,1,0,0.0006082513881543846,,2019-05-27,
2AGGR3NY,0,0,,,,0,0,0,1,0.052563897828881836,,2019-05-27,
2AGGZNJY,0,0,,,,0,0,0,1,0.0008700505025266063,,2019-05-27,
2AGH31BY,1,0,,2023-11-01,,0,0,1,0,0.044811706978495916,,2019-05-27,
2AGH31PY,1,0,,2024-11-18,,0,0,1,0,0.3685927597091291,,2019-05-27,
2AGH33SY,1,1,2025-04-02,2025-05-08,36.0,1,0,0,0,0.9999356136347155,0.9999356136347155,2019-05-27,2137.0
2AGH34HY,0,0,,,,0,0,0,1,0.06385077010006232,,2019-05-27,
2AGH34PY,0,0,,,,0,0,0,1,0.0007305429701563391,,2019-05-27,
2AGH35GY,0,0,,,,0,0,0,1,0.00070855183124194,,2019-05-27,
2AGHB9XY,1,0,,2024-12-02,,0,0,1,0,0.06769892664400987,,2019-05-27,
2AGHDYHY,0,0,,,,0,0,0,1,0.0007470892432184242,,2019-05-27,
2AGHEP9Y,1,0,,2024-07-26,,0,0,1,0,0.02931090232759593,,2019-05-27,
2AGHGR1Y,0,0,,,,0,0,0,1,0.006427094968745146,,2019-05-27,
2AGHGRLY,0,0,,,,0,0,0,1,0.0007909511676434602,,2019-05-27,
2AGHGRRY,0,0,,,,0,0,0,1,0.00070855183124194,,2019-05-27,
2AGHJD4Y,0,1,2026-02-20,,,0,1,0,0,0.996672883651531,0.996672883651531,2019-06-01,2456.0
2AGHK55Y,0,0,,,,0,0,0,1,0.0006882857216211939,,2019-05-27,
2AGHK8MY,0,0,,,,0,0,0,1,0.0008610057928441051,,2019-05-27,
2AGHLEUY,1,0,,2023-11-06,,0,0,1,0,0.0140632511065168,,2019-05-27,
2AGHLGTY,1,0,,2025-08-05,,0,0,1,0,0.45343811120296795,,2019-05-27,
2AGHLKHY,0,0,,,,0,0,0,1,0.0006955173013130974,,2019-05-27,
2AGHLMXY,0,0,,,,0,0,0,1,0.0007029480152224588,,2019-05-27,
2AGHLN0Y,0,0,,,,0,0,0,1,0.000723645533577128,,2019-05-27,
2AGHMUTY,0,0,,,,0,0,0,1,0.0007029480152224588,,2019-05-27,
