serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,is_hit,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed
2AG61PSY,0,0,,,,0,0,0,1,0.0005523331346921623,,2019-05-27,
2AG8AVRY,0,0,,,,0,0,0,1,0.0015759156085550785,,2019-08-13,
2AGEGU7Y,0,0,,,,0,0,0,1,0.0014821570366621017,,2019-05-27,
2AGEU1JY,0,1,2025-11-04,,,0,1,0,0,0.10839873552322388,0.09257127344608307,2019-06-01,2348.0
2AGG48NY,0,0,,,,0,0,0,1,0.00036823280970565975,,2019-05-27,
2AGG7H1Y,0,0,,,,0,0,0,1,0.0005949104088358581,,2019-05-27,
2AGGHGJY,1,0,,2024-11-19,,0,0,1,0,0.04278519004583359,,2019-05-16,
2AGGHLEY,0,0,,,,0,0,0,1,0.0012970756506547332,,2019-06-01,
2AGGHM0Y,0,0,,,,0,0,0,1,0.000522338377777487,,2019-05-27,
2AGGHMUY,0,0,,,,0,0,0,1,0.0018534862902015448,,2019-05-16,
2AGGHR1Y,0,0,,,,0,0,0,1,0.0024728619027882814,,2019-05-27,
2AGGHR7Y,0,0,,,,0,0,0,1,0.0005376726039685309,,2019-05-27,
2AGGL0UY,1,0,,2022-02-27,,0,0,1,0,0.054146114736795425,,2019-05-27,
2AGGR3NY,0,0,,,,0,0,0,1,0.016535913571715355,,2019-05-27,
2AGGZNJY,0,0,,,,0,0,0,1,0.001646167947910726,,2019-05-27,
2AGH31BY,1,0,,2023-11-01,,0,0,1,0,0.04298265278339386,,2019-05-27,
2AGH31PY,1,0,,2024-11-18,,0,0,1,0,0.03803923726081848,,2019-05-27,
2AGH33SY,1,1,2025-03-02,2025-05-08,67.0,1,0,0,0,0.0922660157084465,0.0921797975897789,2019-05-27,2106.0
2AGH34HY,0,0,,,,0,0,0,1,0.035651154816150665,,2019-05-27,
2AGH34PY,0,0,,,,0,0,0,1,0.001320987707003951,,2019-05-27,
2AGH35GY,0,0,,,,0,0,0,1,0.0006921946187503636,,2019-05-27,
2AGHB9XY,1,0,,2024-12-02,,0,0,1,0,0.02591230347752571,,2019-05-27,
2AGHDYHY,0,0,,,,0,0,0,1,0.0015843674773350358,,2019-05-27,
2AGHEP9Y,1,0,,2024-07-26,,0,0,1,0,0.01722155697643757,,2019-05-27,
2AGHGR1Y,0,0,,,,0,0,0,1,0.0014213015092536807,,2019-05-27,
2AGHGRLY,0,0,,,,0,0,0,1,0.0013517694314941764,,2019-05-27,
2AGHGRRY,0,0,,,,0,0,0,1,0.0008572404040023685,,2019-05-27,
2AGHJD4Y,0,1,2025-07-12,,,0,1,0,0,0.3552548289299011,0.09459325671195984,2019-06-01,2233.0
2AGHK55Y,0,0,,,,0,0,0,1,0.0004361483152024448,,2019-05-27,
2AGHK8MY,0,0,,,,0,0,0,1,0.0007114621694199741,,2019-05-27,
2AGHLEUY,1,0,,2023-11-06,,0,0,1,0,0.03184465318918228,,2019-05-27,
2AGHLGTY,1,0,,2025-08-05,,0,0,1,0,0.06265930086374283,,2019-05-27,
2AGHLKHY,0,0,,,,0,0,0,1,0.0016321454895660281,,2019-05-27,
2AGHLMXY,0,0,,,,0,0,0,1,0.001581497141160071,,2019-05-27,
2AGHLN0Y,0,0,,,,0,0,0,1,0.0009019759600050747,,2019-05-27,
2AGHMUTY,0,0,,,,0,0,0,1,0.000781721668317914,,2019-05-27,
2AGHMUYY,0,0,,,,0,0,0,1,0.0025183751713484526,,2019-06-01,
2AGHMW5Y,0,0,,,,0,0,0,1,0.02027992345392704,,2019-05-27,
2AGHMXGY,1,0,,2023-05-14,,0,0,1,0,0.01767677627503872,,2019-05-27,
2AGHMYTY,0,0,,,,0,0,0,1,0.017166906967759132,,2019-05-27,
2AGHMZMY,0,0,,,,0,0,0,1,0.0008015892235562205,,2019-05-27,
2AGHN0TY,1,1,2020-08-24,2020-10-22,59.0,1,0,0,0,0.4278896450996399,0.10170479118824005,2019-05-27,455.0
2AGHN0WY,0,0,,,,0,0,0,1,0.002414355054497719,,2019-05-27,
2AGHN16Y,0,0,,,,0,0,0,1,0.0007789239170961082,,2019-05-27,
2AGHN2AY,0,0,,,,0,0,0,1,0.0008035658393055201,,2019-05-27,
2AGHN3XY,0,0,,,,0,0,0,1,0.0015397684182971716,,2019-05-27,
2AGHPDKY,0,0,,,,0,0,0,1,0.0009406906901858747,,2019-05-27,
2AGHSJ4Y,0,0,,,,0,0,0,1,0.00035870668943971395,,2019-05-27,
2AGHSS9Y,0,0,,,,0,0,0,1,0.0014564075972884893,,2019-05-27,
2AGHTBYY,1,1,2023-09-19,2025-01-25,494.0,1,0,0,0,0.4673610329627991,0.1016949862241745,2019-05-27,1576.0
2AGHTGEY,1,1,2023-02-04,2023-03-14,38.0,1,0,0,0,0.17538365721702576,0.09031031280755997,2019-05-27,1349.0
2AGHTKBY,0,0,,,,0,0,0,1,0.009629685431718826,,2019-05-27,
2AGLY65Y,1,0,,2023-11-20,,0,0,1,0,0.005918467883020639,,2019-08-13,
2AGM231Y,0,0,,,,0,0,0,1,0.0018712531309574842,,2019-05-04,
2AGM23NY,0,0,,,,0,0,0,1,0.001856618793681264,,2019-05-04,
2AGM5UVY,0,0,,,,0,0,0,1,0.04965270310640335,,2019-05-16,
2AGM5V7Y,1,1,2024-12-24,2025-12-05,346.0,1,0,0,0,0.13503044843673706,0.09416213631629944,2019-05-16,2049.0
2AGM5VBY,0,0,,,,0,0,0,1,0.041984304785728455,,2019-05-16,
2AGM5VHY,1,0,,2025-01-18,,0,0,1,0,0.0006954816053621471,,2019-08-13,
2AGM5W9Y,1,0,,2025-01-16,,0,0,1,0,0.023204132914543152,,2019-05-16,
2AGM5YEY,0,0,,,,0,0,0,1,0.008728580549359322,,2019-05-04,
2AGM8EMY,1,0,,2024-10-29,,0,0,1,0,0.03939176723361015,,2019-05-16,
2AGM8EUY,0,0,,,,0,0,0,1,0.0012156572192907333,,2019-05-27,
2AGM8J2Y,0,0,,,,0,0,0,1,0.0012062133755534887,,2019-05-16,
2AGM8JAY,0,0,,,,0,0,0,1,0.0015692493179813027,,2019-05-16,
2AGM8LNY,0,0,,,,0,0,0,1,0.07022909075021744,,2019-05-04,
2AGM8RJY,0,0,,,,0,0,0,1,0.015780383720993996,,2019-08-13,
2AGM8RTY,0,0,,,,0,0,0,1,0.02146410383284092,,2019-05-16,
2AGM8UNY,1,1,2025-10-21,2026-03-12,142.0,1,0,0,0,0.3445141017436981,0.10467047989368439,2019-08-13,2261.0
2AGM8V7Y,0,0,,,,0,0,0,1,0.0024786426220089197,,2019-05-16,
2AGM9MXY,1,0,,2025-09-21,,0,0,1,0,0.021094657480716705,,2019-05-04,
2AGM9PJY,0,0,,,,0,0,0,1,0.0630001574754715,,2019-05-04,
2AGM9RGY,1,0,,2022-12-23,,0,0,1,0,0.0019785526674240828,,2019-05-16,
2AGM9S6Y,0,0,,,,0,0,0,1,0.003850598121061921,,2019-05-16,
2AGM9SDY,0,0,,,,0,0,0,1,0.00166843191254884,,2019-05-04,
2AGM9U1Y,0,0,,,,0,0,0,1,0.001164628192782402,,2019-05-16,
2AGMDJKY,0,0,,,,0,0,0,1,0.0019998480565845966,,2019-05-04,
2AGMDUAY,1,0,,2023-02-04,,0,0,1,0,0.0005812041345052421,,2019-05-16,
2AGMDY1Y,0,0,,,,0,0,0,1,0.013710804283618927,,2019-08-13,
2AGME0XY,1,1,2024-01-20,2024-05-29,130.0,1,0,0,0,0.12343611568212509,0.09277145564556122,2019-05-16,1710.0
2AGME3BY,0,0,,,,0,0,0,1,0.005455567967146635,,2019-05-16,
2AGME9PY,1,0,,2024-08-06,,0,0,1,0,0.0401146337389946,,2019-08-13,
2AGMGAYY,0,0,,,,0,0,0,1,0.0020750227849930525,,2019-05-16,
2AGMGDPY,0,0,,,,0,0,0,1,0.0020130195189267397,,2019-08-13,
2AGMGKLY,0,0,,,,0,0,0,1,0.000725397898349911,,2019-08-13,
2AGMGXEY,0,0,,,,0,0,0,1,0.0005873615737073123,,2019-08-13,
2AGMH2YY,1,0,,2024-12-10,,0,0,1,0,0.03497736155986786,,2019-05-16,
2AGMH3JY,0,0,,,,0,0,0,1,0.0016173027688637376,,2019-05-16,
2AGMHK6Y,0,0,,,,0,0,0,1,0.010422439314424992,,2019-05-04,
2AGMHPEY,1,0,,2024-06-25,,0,0,1,0,0.013908308930695057,,2019-06-01,
2AGMHRYY,1,0,,2024-05-16,,0,0,1,0,0.07179147750139236,,2019-05-16,
2AGMHTLY,0,0,,,,0,0,0,1,0.0024216221645474434,,2019-05-04,
2AGMHU7Y,1,0,,2024-07-08,,0,0,1,0,0.007886550389230251,,2019-05-04,
2AGMHVTY,0,0,,,,0,0,0,1,0.0011451953323557973,,2019-05-16,
2AGMHWAY,1,1,2023-03-25,2023-09-22,181.0,1,0,0,0,0.18074347078800201,0.11346685141324997,2019-08-13,1320.0
2AGMHXDY,1,0,,2025-06-02,,0,0,1,0,0.06489879637956619,,2019-08-13,
2AGMHY3Y,1,0,,2025-11-18,,0,0,1,0,0.018402375280857086,,2019-08-13,
2AGMHY5Y,0,0,,,,0,0,0,1,0.0012438868870958686,,2019-08-13,
2AGMJ35Y,0,0,,,,0,0,0,1,0.0018544207559898496,,2019-05-04,
2AGMJ3JY,0,0,,,,0,0,0,1,0.0016553481109440327,,2019-05-16,
2AGMJ3TY,0,0,,,,0,0,0,1,0.001090921345166862,,2019-08-13,
2AGMJ47Y,0,0,,,,0,0,0,1,0.0010167554719373584,,2019-06-01,
2AGMJ5BY,1,0,,2021-05-03,,0,0,1,0,0.00035929743899032474,,2019-05-04,
2AGMKV4Y,1,1,2026-01-09,2026-01-28,19.0,1,0,0,0,0.47218015789985657,0.09339366108179092,2019-05-04,2442.0
2AGMKVHY,1,0,,2023-05-06,,0,0,1,0,0.06824330240488052,,2019-08-13,
2AGMKVTY,1,0,,2024-12-04,,0,0,1,0,0.07588724792003632,,2019-08-13,
2AGMLMLY,0,0,,,,0,0,0,1,0.03466421365737915,,2019-08-13,
2AGMLSZY,1,1,2020-07-22,2020-07-30,8.0,1,0,0,0,0.5214948058128357,0.13579893112182617,2019-05-16,433.0
2AGMLT7Y,0,0,,,,0,0,0,1,0.009182623587548733,,2019-05-16,
2AGMLWNY,0,0,,,,0,0,0,1,0.018600434064865112,,2019-08-13,
2AGMLZLY,1,0,,2026-02-11,,0,0,1,0,0.041530415415763855,,2019-05-16,
2AGMM0UY,0,0,,,,0,0,0,1,0.056260306388139725,,2019-05-16,
2AGMMNKY,0,0,,,,0,0,0,1,0.011618424206972122,,2019-06-01,
2AGMMU1Y,0,0,,,,0,0,0,1,0.001221490791067481,,2019-05-16,
2AGMMU4Y,0,0,,,,0,0,0,1,0.0013324153842404485,,2019-08-13,
2AGMNB7Y,1,0,,2023-03-30,,0,0,1,0,0.06100861355662346,,2019-05-16,
2AGMNBEY,0,0,,,,0,0,0,1,0.0010617474326863885,,2019-05-16,
2AGMND4Y,1,1,2025-10-01,2025-10-27,26.0,1,0,0,0,0.44765007495880127,0.10450252890586853,2019-05-04,2342.0
2AGMNE1Y,1,1,2025-07-05,2025-11-26,144.0,1,0,0,0,0.5043136477470398,0.10324418544769287,2019-05-16,2242.0
2AGMNEBY,1,1,2023-02-23,2024-08-05,529.0,1,0,0,0,0.1019635871052742,0.10020201653242111,2019-05-04,1391.0
2AGMNG0Y,0,0,,,,0,0,0,1,0.06333323568105698,,2019-05-16,
2AGMNJKY,1,1,2024-07-06,2025-09-29,450.0,1,0,0,0,0.16452987492084503,0.09051334112882614,2019-05-16,1878.0
2AGMNM8Y,0,0,,,,0,0,0,1,0.03012438490986824,,2019-08-13,
2AGMNMWY,1,0,,2023-05-10,,0,0,1,0,0.023446716368198395,,2019-05-16,
2AGMNTXY,0,0,,,,0,0,0,1,0.0018801348051056266,,2019-05-16,
2AGMNUVY,0,0,,,,0,0,0,1,0.0019028926035389304,,2019-05-04,
2AGMNWBY,0,0,,,,0,0,0,1,0.0008656510035507381,,2019-08-13,
2AGMNXRY,0,0,,,,0,0,0,1,0.034614864736795425,,2019-08-13,
2AGMP7ZY,0,0,,,,0,0,0,1,0.001450784970074892,,2019-08-13,
2AGMPBWY,0,0,,,,0,0,0,1,0.02114391326904297,,2019-05-16,
2AGMPD8Y,1,0,,2023-11-21,,0,0,1,0,0.00030135325505398214,,2019-08-13,
2AGMPK3Y,0,0,,,,0,0,0,1,0.023432500660419464,,2019-05-04,
2AGMPL7Y,1,0,,2025-02-27,,0,0,1,0,0.05901748314499855,,2019-05-16,
2AGMPP1Y,0,0,,,,0,0,0,1,0.0033373795449733734,,2019-05-16,
2AGMPP4Y,1,1,2025-09-11,2025-09-23,12.0,1,0,0,0,0.43491774797439575,0.15045736730098724,2019-05-16,2310.0
2AGMPPGY,0,0,,,,0,0,0,1,0.0022115265019237995,,2019-05-16,
2AGMPSSY,0,0,,,,0,0,0,1,0.0014802549267187715,,2019-05-16,
2AGMPT2Y,0,0,,,,0,0,0,1,0.002111353911459446,,2019-05-16,
2AGMPZ8Y,0,0,,,,0,0,0,1,0.0010097017511725426,,2019-08-13,
2AGMS6PY,0,0,,,,0,0,0,1,0.0004733180394396186,,2019-08-13,
2AGMSHHY,1,0,,2022-08-12,,0,0,1,0,0.00013479507470037788,,2019-05-04,
2AGMTK0Y,1,1,2025-08-30,2025-08-30,0.0,1,0,0,0,0.5183719992637634,0.5183719992637634,2019-05-16,2298.0
