serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,is_hit,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed
2AG61PSY,0,0,,,,0,0,0,1,0.0016826422652229667,,2019-05-27,
2AG8AVRY,0,0,,,,0,0,0,1,0.00607734639197588,,2019-08-13,
2AGEGU7Y,0,0,,,,0,0,0,1,0.0006512384279631078,,2019-05-27,
2AGEU1JY,0,1,2025-05-18,,,0,1,0,0,0.8790158033370972,0.6060013771057129,2019-06-01,2178.0
2AGG48NY,0,0,,,,0,0,0,1,0.0005288404645398259,,2019-05-27,
2AGG7H1Y,0,0,,,,0,0,0,1,0.001207323162816465,,2019-05-27,
2AGGHGJY,1,1,2024-11-19,2024-11-19,0.0,1,0,0,0,0.6284121870994568,0.6284121870994568,2019-05-16,2014.0
2AGGHLEY,0,0,,,,0,0,0,1,0.0008489522733725607,,2019-06-01,
2AGGHM0Y,0,0,,,,0,0,0,1,0.001207323162816465,,2019-05-27,
2AGGHMUY,0,0,,,,0,0,0,1,0.0007836523582227528,,2019-05-16,
2AGGHR1Y,0,0,,,,0,0,0,1,0.010913059115409851,,2019-05-27,
2AGGHR7Y,0,0,,,,0,0,0,1,0.0007361085736192763,,2019-05-27,
2AGGL0UY,1,0,,2022-02-27,,0,0,1,0,0.10854893922805786,,2019-05-27,
2AGGR3NY,0,0,,,,0,0,0,1,0.07797355949878693,,2019-05-27,
2AGGZNJY,0,0,,,,0,0,0,1,0.0019596749916672707,,2019-05-27,
2AGH31BY,1,0,,2023-11-01,,0,0,1,0,0.08230248093605042,,2019-05-27,
2AGH31PY,1,0,,2024-11-18,,0,0,1,0,0.3227735757827759,,2019-05-27,
2AGH33SY,1,1,2025-02-15,2025-05-08,82.0,1,0,0,0,0.5151049494743347,0.5151049494743347,2019-05-27,2091.0
2AGH34HY,0,0,,,,0,0,0,1,0.17527812719345093,,2019-05-27,
2AGH34PY,0,0,,,,0,0,0,1,0.0009262837702408433,,2019-05-27,
2AGH35GY,0,0,,,,0,0,0,1,0.0009038816206157207,,2019-05-27,
2AGHB9XY,1,0,,2024-12-02,,0,0,1,0,0.13030341267585754,,2019-05-27,
