serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,is_hit,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed
ZCH016HE,0,0,,,,0,0,0,1,0.15722323954105377,,2019-04-27,
ZCH01MGW,0,0,,,,0,0,0,1,0.0027151713147759438,,2017-10-30,
ZCH01MV4,0,0,,,,0,0,0,1,0.0034876512363553047,,2019-04-12,
ZCH01V00,0,0,,,,0,0,0,1,0.001562589663080871,,2018-02-12,
ZCH01V42,0,0,,,,0,0,0,1,0.0010547407437115908,,2018-02-12,
ZCH01V78,0,0,,,,0,0,0,1,0.0023408683482557535,,2017-11-09,
ZCH01VD8,0,0,,,,0,0,0,1,0.001129915937781334,,2018-02-12,
ZCH01ZFG,0,0,,,,0,0,0,1,0.0010237190872430801,,2018-02-12,
ZCH01ZKC,0,0,,,,0,0,0,1,0.022949842736124992,,2018-02-12,
ZCH0271S,0,0,,,,0,0,0,1,0.0017537535168230534,,2018-03-17,
ZCH027W4,0,0,,,,0,0,0,1,0.0017614319222047925,,2019-04-11,
ZCH028CT,0,0,,,,0,0,0,1,0.0018481927691027522,,2018-06-18,
ZCH028J7,0,0,,,,0,0,0,1,0.002896321937441826,,2017-11-09,
ZCH02AYF,0,0,,,,0,0,0,1,0.01259654387831688,,2017-11-09,
ZCH02TES,0,0,,,,0,0,0,1,0.0016347808996215463,,2018-02-12,
ZCH02Z5J,1,0,,2019-03-29,,0,0,1,0,0.0008537795511074364,,2018-02-12,
ZCH02ZTL,1,1,2019-12-26,2021-06-19,541.0,1,0,0,0,0.41029036045074463,0.3242510259151459,2018-02-12,682.0
ZCH030T1,0,0,,,,0,0,0,1,0.0011013419134542346,,2018-02-12,
ZCH036VN,0,0,,,,0,0,0,1,0.0010492077562958002,,2018-02-12,
ZCH039JD,0,0,,,,0,0,0,1,0.004441544879227877,,2018-07-01,
ZCH03B9D,0,0,,,,0,0,0,1,0.002034409437328577,,2018-02-12,
ZCH03BB5,0,0,,,,0,0,0,1,0.0014541922137141228,,2018-02-12,
ZCH03BT6,0,0,,,,0,0,0,1,0.0011166422627866268,,2018-02-12,
ZCH03C9C,0,0,,,,0,0,0,1,0.0011319277109578252,,2018-02-12,
ZCH03CEE,0,0,,,,0,0,0,1,0.001480068196542561,,2018-02-12,
ZCH03CFS,0,0,,,,0,0,0,1,0.001256562420167029,,2018-02-12,
ZCH03K2S,1,0,,2017-12-25,,0,0,1,0,0.00518695916980505,,2017-11-09,
ZCH03T80,0,0,,,,0,0,0,1,0.0021173402201384306,,2018-01-13,
ZCH03TMJ,0,0,,,,0,0,0,1,0.001020957832224667,,2018-07-12,
ZCH03TZV,0,0,,,,0,0,0,1,0.0019048897083848715,,2018-01-13,
ZCH040KJ,0,0,,,,0,0,0,1,0.0013507503317669034,,2017-11-14,
ZCH041CP,0,0,,,,0,0,0,1,0.001547049032524228,,2018-02-12,
ZCH0447E,0,0,,,,0,0,0,1,0.004572930745780468,,2017-11-09,
ZCH04CGB,0,0,,,,0,0,0,1,0.0011358275078237057,,2018-04-13,
ZCH04G1T,0,0,,,,0,0,0,1,0.0009282872197218239,,2018-01-05,
ZCH04SJG,0,0,,,,0,0,0,1,0.013811449520289898,,2017-11-14,
ZCH04XCN,0,0,,,,0,0,0,1,0.001988085452467203,,2019-03-21,
ZCH04XJL,0,0,,,,0,0,0,1,0.0013272326905280352,,2018-02-24,
ZCH04Y9C,0,0,,,,0,0,0,1,0.10671418160200119,,2017-11-14,
ZCH04YA5,0,0,,,,0,0,0,1,0.002015927340835333,,2018-02-12,
ZCH04Z2K,0,0,,,,0,0,0,1,0.0014432115713134408,,2017-11-14,
ZCH04ZSX,0,0,,,,0,0,0,1,0.022475048899650574,,2019-04-16,
ZCH050Z2,0,1,2019-12-12,,,0,1,0,0,0.38989007472991943,0.35684990882873535,2017-10-30,773.0
ZCH053C1,0,0,,,,0,0,0,1,0.004676377400755882,,2017-11-09,
ZCH053S1,0,0,,,,0,0,0,1,0.005296631250530481,,2017-11-09,
ZCH053V0,0,0,,,,0,0,0,1,0.0038065314292907715,,2017-12-20,
ZCH054W4,0,0,,,,0,0,0,1,0.0024958206340670586,,2018-04-27,
ZCH0569G,0,0,,,,0,0,0,1,0.00422560004517436,,2017-11-09,
ZCH056AP,0,0,,,,0,0,0,1,0.000954185554292053,,2017-12-21,
ZCH056CW,0,0,,,,0,0,0,1,0.0007650447078049183,,2017-12-21,
ZCH057V6,0,0,,,,0,0,0,1,0.0015825274167582393,,2017-12-20,
ZCH059QH,0,0,,,,0,0,0,1,0.2820037007331848,,2018-01-05,
ZCH05B7V,0,0,,,,0,0,0,1,0.001297704060561955,,2018-02-12,
ZCH05BYT,0,0,,,,0,0,0,1,0.23329487442970276,,2017-10-21,
ZCH05CK1,0,0,,,,0,0,0,1,0.001202583545818925,,2018-01-25,
ZCH05CM7,0,0,,,,0,0,0,1,0.0011180398287251592,,2017-12-21,
ZCH05DWC,0,0,,,,0,0,0,1,0.0015300128143280745,,2017-11-14,
ZCH05DWK,0,0,,,,0,0,0,1,0.003706833813339472,,2017-11-09,
ZCH05EMZ,0,0,,,,0,0,0,1,0.000903513515368104,,2018-01-05,
ZCH05GBJ,0,0,,,,0,0,0,1,0.003823132487013936,,2017-10-21,
ZCH05GCR,0,0,,,,0,0,0,1,0.0012535593705251813,,2017-12-20,
ZCH05JHB,0,0,,,,0,0,0,1,0.0038428015541285276,,2017-11-09,
ZCH05JZ0,0,0,,,,0,0,0,1,0.005158296786248684,,2017-11-09,
ZCH05L91,0,0,,,,0,0,0,1,0.016194049268960953,,2017-11-09,
ZCH05NYE,0,0,,,,0,0,0,1,0.0018323975382372737,,2017-11-09,
ZCH05PJ5,0,0,,,,0,0,0,1,0.0010400741593912244,,2018-01-25,
ZCH05RJH,0,0,,,,0,0,0,1,0.0014848178252577782,,2019-04-05,
ZCH05WKW,0,0,,,,0,0,0,1,0.0034934545401483774,,2018-01-13,
ZCH05XCK,0,0,,,,0,0,0,1,0.002025860594585538,,2018-01-25,
ZCH060HW,0,0,,,,0,0,0,1,0.0022161619272083044,,2017-10-30,
ZCH060KB,0,0,,,,0,0,0,1,0.002510689664632082,,2017-10-30,
ZCH060L8,0,0,,,,0,0,0,1,0.001122925546951592,,2017-12-21,
