serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,is_hit,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed
ZCH016HE,0,0,,,,0,0,0,1,0.0016723992726192067,,2019-04-27,
ZCH01MGW,0,0,,,,0,0,0,1,0.0016723992726192067,,2017-10-30,
ZCH01MV4,0,0,,,,0,0,0,1,0.0011587173885299128,,2019-04-12,
ZCH01V00,0,0,,,,0,0,0,1,0.0017491339756851825,,2018-02-12,
ZCH01V42,0,0,,,,0,0,0,1,0.0016723992726192067,,2018-02-12,
ZCH01V78,0,0,,,,0,0,0,1,0.0016723992726192067,,2017-11-09,
ZCH01VD8,0,0,,,,0,0,0,1,0.0016723992726192067,,2018-02-12,
ZCH01ZFG,0,0,,,,0,0,0,1,0.0017491339756851825,,2018-02-12,
ZCH01ZKC,0,0,,,,0,0,0,1,0.0026689972156936285,,2018-02-12,
ZCH0271S,0,0,,,,0,0,0,1,0.0016723992726192067,,2018-03-17,
ZCH027W4,0,0,,,,0,0,0,1,0.0014238509549228927,,2019-04-11,
ZCH028CT,0,0,,,,0,0,0,1,0.0014238509549228927,,2018-06-18,
ZCH028J7,0,0,,,,0,0,0,1,0.0016723992726192067,,2017-11-09,
ZCH02AYF,0,0,,,,0,0,0,1,0.0017491339756851825,,2017-11-09,
ZCH02TES,0,0,,,,0,0,0,1,0.0016723992726192067,,2018-02-12,
ZCH02Z5J,1,0,,2019-03-29,,0,0,1,0,0.0014238509549228927,,2018-02-12,
ZCH02ZTL,1,1,2019-12-24,2021-06-19,543.0,1,0,0,0,0.31352049047743824,0.11282501275827103,2018-02-12,680.0
ZCH030T1,0,0,,,,0,0,0,1,0.0016723992726192067,,2018-02-12,
ZCH036VN,0,0,,,,0,0,0,1,0.0016723992726192067,,2018-02-12,
ZCH039JD,0,0,,,,0,0,0,1,0.00983282886359405,,2018-07-01,
ZCH03B9D,0,0,,,,0,0,0,1,0.0016723992726192067,,2018-02-12,
ZCH03BB5,0,0,,,,0,0,0,1,0.0017491339756851825,,2018-02-12,
ZCH03BT6,0,0,,,,0,0,0,1,0.0016723992726192067,,2018-02-12,
ZCH03C9C,0,0,,,,0,0,0,1,0.0016723992726192067,,2018-02-12,
ZCH03CEE,0,0,,,,0,0,0,1,0.0014238509549228927,,2018-02-12,
ZCH03CFS,0,0,,,,0,0,0,1,0.0016723992726192067,,2018-02-12,
ZCH03K2S,1,0,,2017-12-25,,0,0,1,0,0.0014238509549228927,,2017-11-09,
ZCH03T80,0,0,,,,0,0,0,1,0.0016723992726192067,,2018-01-13,
ZCH03TMJ,0,0,,,,0,0,0,1,0.0014238509549228927,,2018-07-12,
ZCH03TZV,0,0,,,,0,0,0,1,0.0016723992726192067,,2018-01-13,
ZCH040KJ,0,0,,,,0,0,0,1,0.0016723992726192067,,2017-11-14,
ZCH041CP,0,0,,,,0,0,0,1,0.0016723992726192067,,2018-02-12,
ZCH0447E,0,0,,,,0,0,0,1,0.0016723992726192067,,2017-11-09,
ZCH04CGB,0,0,,,,0,0,0,1,0.0014238509549228927,,2018-04-13,
ZCH04G1T,0,0,,,,0,0,0,1,0.0016723992726192067,,2018-01-05,
ZCH04SJG,0,0,,,,0,0,0,1,0.0016723992726192067,,2017-11-14,
ZCH04XCN,0,0,,,,0,0,0,1,0.0014238509549228927,,2019-03-21,
ZCH04XJL,0,0,,,,0,0,0,1,0.0016723992726192067,,2018-02-24,
ZCH04Y9C,0,0,,,,0,0,0,1,0.00651070440759749,,2017-11-14,
ZCH04YA5,0,0,,,,0,0,0,1,0.0016723992726192067,,2018-02-12,
ZCH04Z2K,0,0,,,,0,0,0,1,0.0016723992726192067,,2017-11-14,
ZCH04ZSX,0,0,,,,0,0,0,1,0.03781128616120208,,2019-04-16,
ZCH050Z2,0,1,2019-12-10,,,0,1,0,0,0.2863500437178063,0.2496408845380908,2017-10-30,771.0
ZCH053C1,0,0,,,,0,0,0,1,0.0016723992726192067,,2017-11-09,
ZCH053S1,0,0,,,,0,0,0,1,0.003669442166538998,,2017-11-09,
ZCH053V0,0,0,,,,0,0,0,1,0.002577925631129267,,2017-12-20,
ZCH054W4,0,0,,,,0,0,0,1,0.0016723992726192067,,2018-04-27,
ZCH0569G,0,0,,,,0,0,0,1,0.0016723992726192067,,2017-11-09,
ZCH056AP,0,0,,,,0,0,0,1,0.0016723992726192067,,2017-12-21,
ZCH056CW,0,0,,,,0,0,0,1,0.0016723992726192067,,2017-12-21,
ZCH057V6,0,0,,,,0,0,0,1,0.0016723992726192067,,2017-12-20,
ZCH059QH,0,0,,,,0,0,0,1,0.01347169793493354,,2018-01-05,
ZCH05B7V,0,0,,,,0,0,0,1,0.0016723992726192067,,2018-02-12,
ZCH05BYT,0,0,,,,0,0,0,1,0.017908884101805706,,2017-10-21,
ZCH05CK1,0,0,,,,0,0,0,1,0.0016723992726192067,,2018-01-25,
ZCH05CM7,0,0,,,,0,0,0,1,0.0016723992726192067,,2017-12-21,
ZCH05DWC,0,0,,,,0,0,0,1,0.0016723992726192067,,2017-11-14,
ZCH05DWK,0,0,,,,0,0,0,1,0.0016723992726192067,,2017-11-09,
ZCH05EMZ,0,0,,,,0,0,0,1,0.0016723992726192067,,2018-01-05,
ZCH05GBJ,0,0,,,,0,0,0,1,0.0017491339756851825,,2017-10-21,
ZCH05GCR,0,0,,,,0,0,0,1,0.0016723992726192067,,2017-12-20,
ZCH05JHB,0,0,,,,0,0,0,1,0.0016723992726192067,,2017-11-09,
ZCH05JZ0,0,0,,,,0,0,0,1,0.0017491339756851825,,2017-11-09,
ZCH05L91,0,0,,,,0,0,0,1,0.0017491339756851825,,2017-11-09,
ZCH05NYE,0,0,,,,0,0,0,1,0.0016723992726192067,,2017-11-09,
ZCH05PJ5,0,0,,,,0,0,0,1,0.0016723992726192067,,2018-01-25,
ZCH05RJH,0,0,,,,0,0,0,1,0.0011587173885299128,,2019-04-05,
