serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,is_hit,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed
ZCH016HE,0,0,,,,0,0,0,1,0.058756038546562195,,2019-04-27,
ZCH01MGW,0,0,,,,0,0,0,1,0.004188309423625469,,2017-10-30,
ZCH01MV4,0,0,,,,0,0,0,1,0.001982016023248434,,2019-04-12,
ZCH01V00,0,0,,,,0,0,0,1,0.001884849276393652,,2018-02-12,
ZCH01V42,0,0,,,,0,0,0,1,0.0018002650467678905,,2018-02-12,
ZCH01V78,0,0,,,,0,0,0,1,0.001879640854895115,,2017-11-09,
ZCH01VD8,0,0,,,,0,0,0,1,0.0017527112504467368,,2018-02-12,
ZCH01ZFG,0,0,,,,0,0,0,1,0.0012165085645392537,,2018-02-12,
ZCH01ZKC,0,0,,,,0,0,0,1,0.006664528977125883,,2018-02-12,
ZCH0271S,0,0,,,,0,0,0,1,0.0019480184419080615,,2018-03-17,
ZCH027W4,0,0,,,,0,0,0,1,0.0009191423887386918,,2019-04-11,
ZCH028CT,0,0,,,,0,0,0,1,0.0014620069414377213,,2018-06-18,
ZCH028J7,0,0,,,,0,0,0,1,0.0039244224317371845,,2017-11-09,
ZCH02AYF,0,0,,,,0,0,0,1,0.007425760850310326,,2017-11-09,
ZCH02TES,0,0,,,,0,0,0,1,0.0018414328806102276,,2018-02-12,
ZCH02Z5J,1,0,,2019-03-29,,0,0,1,0,0.0008394038886763155,,2018-02-12,
ZCH02ZTL,1,1,2019-12-26,2021-06-19,541.0,1,0,0,0,0.4486984610557556,0.36245647072792053,2018-02-12,682.0
ZCH030T1,0,0,,,,0,0,0,1,0.0014095380902290344,,2018-02-12,
ZCH036VN,0,0,,,,0,0,0,1,0.0014405003748834133,,2018-02-12,
ZCH039JD,0,0,,,,0,0,0,1,0.0016759018180891871,,2018-07-01,
ZCH03B9D,0,0,,,,0,0,0,1,0.00391198368743062,,2018-02-12,
ZCH03BB5,0,0,,,,0,0,0,1,0.0023245743941515684,,2018-02-12,
ZCH03BT6,0,0,,,,0,0,0,1,0.0019184584962204099,,2018-02-12,
ZCH03C9C,0,0,,,,0,0,0,1,0.002537371823564172,,2018-02-12,
ZCH03CEE,0,0,,,,0,0,0,1,0.0021402346901595592,,2018-02-12,
ZCH03CFS,0,0,,,,0,0,0,1,0.0020668141078203917,,2018-02-12,
ZCH03K2S,1,0,,2017-12-25,,0,0,1,0,0.002455709734931588,,2017-11-09,
ZCH03T80,0,0,,,,0,0,0,1,0.003015330759808421,,2018-01-13,
ZCH03TMJ,0,0,,,,0,0,0,1,0.0012140694307163358,,2018-07-12,
ZCH03TZV,0,0,,,,0,0,0,1,0.0020712031982839108,,2018-01-13,
ZCH040KJ,0,0,,,,0,0,0,1,0.0024922380689531565,,2017-11-14,
ZCH041CP,0,0,,,,0,0,0,1,0.0021965913474559784,,2018-02-12,
ZCH0447E,0,0,,,,0,0,0,1,0.0036493558436632156,,2017-11-09,
ZCH04CGB,0,0,,,,0,0,0,1,0.0016285356832668185,,2018-04-13,
ZCH04G1T,0,0,,,,0,0,0,1,0.002671280410140753,,2018-01-05,
ZCH04SJG,0,0,,,,0,0,0,1,0.02780955284833908,,2017-11-14,
ZCH04XCN,0,0,,,,0,0,0,1,0.001129800803028047,,2019-03-21,
ZCH04XJL,0,0,,,,0,0,0,1,0.001403001369908452,,2018-02-24,
ZCH04Y9C,0,0,,,,0,0,0,1,0.05035291612148285,,2017-11-14,
ZCH04YA5,0,0,,,,0,0,0,1,0.0032844217494130135,,2018-02-12,
ZCH04Z2K,0,0,,,,0,0,0,1,0.0028464749921113253,,2017-11-14,
ZCH04ZSX,0,0,,,,0,0,0,1,0.005946241319179535,,2019-04-16,
ZCH050Z2,0,1,2019-12-12,,,0,1,0,0,0.5018776059150696,0.3527719974517822,2017-10-30,773.0
ZCH053C1,0,0,,,,0,0,0,1,0.0032599307596683502,,2017-11-09,
ZCH053S1,0,0,,,,0,0,0,1,0.0066843037493526936,,2017-11-09,
ZCH053V0,0,0,,,,0,0,0,1,0.0013542603701353073,,2017-12-20,
ZCH054W4,0,0,,,,0,0,0,1,0.00250648963265121,,2018-04-27,
ZCH0569G,0,0,,,,0,0,0,1,0.0040845419280231,,2017-11-09,
ZCH056AP,0,0,,,,0,0,0,1,0.0021172775886952877,,2017-12-21,
ZCH056CW,0,0,,,,0,0,0,1,0.001638694666326046,,2017-12-21,
ZCH057V6,0,0,,,,0,0,0,1,0.001993055921047926,,2017-12-20,
ZCH059QH,0,1,2020-05-26,,,0,1,0,0,0.32802411913871765,0.3218150734901428,2018-01-05,872.0
ZCH05B7V,0,0,,,,0,0,0,1,0.00210423581302166,,2018-02-12,
ZCH05BYT,0,1,2019-11-18,,,0,1,0,0,0.3231315016746521,0.30222657322883606,2017-10-21,758.0
ZCH05CK1,0,0,,,,0,0,0,1,0.001720545580610633,,2018-01-25,
ZCH05CM7,0,0,,,,0,0,0,1,0.0020430583972483873,,2017-12-21,
ZCH05DWC,0,0,,,,0,0,0,1,0.0024916762486100197,,2017-11-14,
ZCH05DWK,0,0,,,,0,0,0,1,0.003125760704278946,,2017-11-09,
