serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,is_hit,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed
1030A034F97G,0,0,,,,0,0,0,1,0.00047510306467302144,,2020-10-14,
1040A01VF97G,0,0,,,,0,0,0,1,0.00034337755641900003,,2021-06-08,
1040A024F97G,0,0,,,,0,0,0,1,0.0005023235571570694,,2021-04-23,
1040A03CF97G,0,0,,,,0,0,0,1,0.00041040152427740395,,2020-11-10,
1040A04KF97G,0,0,,,,0,0,0,1,0.0003680155787151307,,2020-10-14,
1040A04MF97G,0,0,,,,0,0,0,1,0.0002490835904609412,,2020-11-17,
1040A04PF97G,0,0,,,,0,0,0,1,0.013260004110634327,,2021-09-16,
1040A04XF97G,0,0,,,,0,0,0,1,0.00044011257705278695,,2020-11-04,
1040A053F97G,0,0,,,,0,0,0,1,0.0005407839198596776,,2020-08-12,
1040A06CF97G,0,0,,,,0,0,0,1,0.00032005345565266907,,2020-10-29,
1040A06GF97G,0,0,,,,0,0,0,1,0.00038113349000923336,,2020-11-17,
1040A06UF97G,0,0,,,,0,0,0,1,0.00043957127491012216,,2020-11-04,
1040A06WF97G,0,0,,,,0,0,0,1,0.0004366104840300977,,2020-11-10,
1040A07QF97G,0,0,,,,0,0,0,1,0.00035076780477538705,,2020-11-17,
1040A0A9F97G,0,0,,,,0,0,0,1,0.0005894222995266318,,2021-02-26,
1040A0EEF97G,0,0,,,,0,0,0,1,0.00044912679004482925,,2020-08-12,
1050A00FF97G,0,0,,,,0,0,0,1,0.0031871111132204533,,2020-06-27,
1050A00VF97G,0,0,,,,0,0,0,1,0.0005608941428363323,,2020-08-12,
1050A02XF97G,0,0,,,,0,0,0,1,0.0005158883286640048,,2021-04-23,
1050A037F97G,0,0,,,,0,0,0,1,0.00043236761121079326,,2020-09-17,
1050A04EF97G,0,0,,,,0,0,0,1,0.00036051165079697967,,2020-11-25,
1050A054F97G,0,0,,,,0,0,0,1,0.0004344778135418892,,2021-04-29,
1050A05QF97G,0,0,,,,0,0,0,1,0.00035011867294088006,,2020-11-04,
1050A060F97G,0,0,,,,0,0,0,1,0.0005115613457746804,,2021-04-08,
1050A07YF97G,0,0,,,,0,0,0,1,0.00039002177072688937,,2020-11-04,
1050A082F97G,0,0,,,,0,0,0,1,0.00041061636875383556,,2021-06-08,
1050A084F97G,0,0,,,,0,0,0,1,0.0004113868053536862,,2021-04-29,
1050A0A7F97G,0,0,,,,0,0,0,1,0.0006181782227940857,,2021-09-16,
1050A0AZF97G,0,0,,,,0,0,0,1,0.000395817740354687,,2020-06-24,
1050A0C4F97G,0,0,,,,0,0,0,1,0.0009376928792335093,,2020-06-25,
1050A0CTF97G,0,0,,,,0,0,0,1,0.00048217596486210823,,2020-11-04,
1050A0D3F97G,0,0,,,,0,0,0,1,0.0003289798041805625,,2020-11-17,
1060A00LF97G,0,0,,,,0,0,0,1,0.000596791913267225,,2020-10-14,
1060A01RF97G,0,0,,,,0,0,0,1,0.01579318754374981,,2020-10-14,
1060A01UF97G,0,0,,,,0,0,0,1,0.0004920062492601573,,2020-09-17,
1060A027F97G,0,0,,,,0,0,0,1,0.0004342080792412162,,2020-07-28,
1060A029F97G,0,0,,,,0,0,0,1,0.0004396498843561858,,2020-11-10,
1060A02QF97G,0,0,,,,0,0,0,1,0.0007942765369080007,,2020-09-23,
1060A02YF97G,0,0,,,,0,0,0,1,0.0003746966540347785,,2020-11-04,
1060A04GF97G,0,0,,,,0,0,0,1,0.0005750774289481342,,2021-04-30,
1070A00QF97G,0,0,,,,0,0,0,1,0.0008081313571892679,,2021-04-13,
1070A01KF97G,0,0,,,,0,0,0,1,0.00038553617196157575,,2020-11-04,
1070A01ZF97G,0,0,,,,0,0,0,1,0.0005115774692967534,,2020-10-14,
1070A02QF97G,0,0,,,,0,0,0,1,0.0004522061499301344,,2020-12-17,
1070A03AF97G,1,1,2023-06-19,2023-06-22,3.0,1,0,0,0,0.4390515685081482,0.3260973393917084,2020-10-21,971.0
1070A04EF97G,0,0,,,,0,0,0,1,0.00035599764669314027,,2020-09-24,
1070A04FF97G,0,0,,,,0,0,0,1,0.00037328977487049997,,2020-11-17,
1070A04LF97G,0,0,,,,0,0,0,1,0.00032724966877140105,,2020-11-17,
1070A06CF97G,0,0,,,,0,0,0,1,0.0002633276744745672,,2020-11-10,
1070A07QF97G,0,0,,,,0,0,0,1,0.0012520529562607408,,2020-08-12,
1070A097F97G,0,0,,,,0,0,0,1,0.020934313535690308,,2020-10-14,
1070A0A9F97G,0,0,,,,0,0,0,1,0.0005003160913474858,,2021-01-20,
1070A0AXF97G,0,0,,,,0,0,0,1,0.00036381682730279863,,2020-08-11,
1070A0B8F97G,0,0,,,,0,0,0,1,0.0003931413230020553,,2021-09-22,
1070A0DPF97G,0,0,,,,0,0,0,1,0.0005119130364619195,,2021-03-03,
1080A006F97G,0,0,,,,0,0,0,1,0.0005158376879990101,,2020-11-25,
1080A00QF97G,0,0,,,,0,0,0,1,0.00039785943226888776,,2021-04-21,
1080A02HF97G,0,0,,,,0,0,0,1,0.0006326775765046477,,2020-08-12,
1080A02UF97G,0,0,,,,0,0,0,1,0.0005006404826417565,,2021-03-03,
1080A04AF97G,0,0,,,,0,0,0,1,0.0007573149632662535,,2020-06-25,
1080A055F97G,0,0,,,,0,0,0,1,0.00038194857188500464,,2020-11-10,
1080A067F97G,0,0,,,,0,0,0,1,0.0003411304496694356,,2020-08-12,
1080A09HF97G,0,0,,,,0,0,0,1,0.0005226416396908462,,2021-01-27,
1080A0A7F97G,0,0,,,,0,0,0,1,0.0004949826980009675,,2020-10-24,
1080A0A9F97G,0,0,,,,0,0,0,1,0.000390123255783692,,2020-11-25,
1080A0AWF97G,0,0,,,,0,0,0,1,0.0004583539557643235,,2021-04-30,
1080A0B9F97G,0,0,,,,0,0,0,1,0.0010978730861097574,,2020-03-19,
1080A0C3F97G,0,0,,,,0,0,0,1,0.000484731252072379,,2021-04-30,
1080A0CYF97G,0,0,,,,0,0,0,1,0.0005233981646597385,,2021-03-11,
1080A0DBF97G,0,0,,,,0,0,0,1,0.0003469258372206241,,2020-10-14,
1090A00DF97G,0,0,,,,0,0,0,1,0.0005006557912565768,,2020-09-17,
1090A016F97G,0,0,,,,0,0,0,1,0.0003844496968667954,,2020-12-17,
1090A01AF97G,0,0,,,,0,0,0,1,0.00037365080788731575,,2020-12-06,
1090A01RF97G,0,0,,,,0,0,0,1,0.0018253312446177006,,2020-10-21,
1090A021F97G,0,0,,,,0,0,0,1,0.00042206543730571866,,2020-11-04,
1090A034F97G,0,0,,,,0,0,0,1,0.0003834538802038878,,2021-04-29,
1090A03RF97G,0,0,,,,0,0,0,1,0.0005402566166594625,,2020-09-17,
1090A04WF97G,0,0,,,,0,0,0,1,0.0006021236185915768,,2020-09-17,
10A0A013F97G,0,0,,,,0,0,0,1,0.00036788807483389974,,2021-10-09,
10A0A01HF97G,0,0,,,,0,0,0,1,0.00041459305793978274,,2021-03-19,
10A0A02GF97G,0,1,2025-03-11,,,0,1,0,0,0.2831781208515167,0.21485844254493713,2020-03-20,1817.0
10A0A03BF97G,0,0,,,,0,0,0,1,0.0007212317432276905,,2020-02-20,
10A0A03EF97G,0,0,,,,0,0,0,1,0.001012418302707374,,2020-02-20,
10A0A03ZF97G,0,0,,,,0,0,0,1,0.0006516482098959386,,2020-02-20,
10A0A041F97G,0,0,,,,0,0,0,1,0.0014409113209694624,,2020-02-20,
10A0A042F97G,1,0,,2020-03-26,,0,0,1,0,0.0006190723506733775,,2020-02-20,
10A0A04JF97G,0,0,,,,0,0,0,1,0.0008417202043347061,,2020-02-20,
10A0A04KF97G,0,0,,,,0,0,0,1,0.0012540568131953478,,2020-02-20,
10A0A04RF97G,0,0,,,,0,0,0,1,0.001894000917673111,,2020-02-20,
10A0A052F97G,0,0,,,,0,0,0,1,0.002111276611685753,,2020-02-20,
10A0A05GF97G,0,0,,,,0,0,0,1,0.0006762957782484591,,2020-02-20,
10A0A05VF97G,0,0,,,,0,0,0,1,0.0006943405605852604,,2020-02-20,
10A0A05YF97G,0,0,,,,0,0,0,1,0.0012379150139167905,,2020-02-20,
10A0A061F97G,0,0,,,,0,0,0,1,0.0006596080493181944,,2020-02-20,
10A0A06BF97G,0,0,,,,0,0,0,1,0.0007738227723166347,,2020-02-20,
10A0A076F97G,0,0,,,,0,0,0,1,0.0012658414198085666,,2020-02-20,
10A0A078F97G,0,0,,,,0,0,0,1,0.0008548377663828433,,2020-02-20,
10A0A07AF97G,0,0,,,,0,0,0,1,0.0010503182420507073,,2020-02-20,
10A0A07DF97G,0,0,,,,0,0,0,1,0.0006862872396595776,,2020-02-20,
10A0A07JF97G,0,0,,,,0,0,0,1,0.0015054839896038175,,2020-02-20,
10A0A07XF97G,0,0,,,,0,0,0,1,0.0011692952830344439,,2020-02-20,
10A0A085F97G,0,0,,,,0,0,0,1,0.0006344123394228518,,2020-02-20,
10A0A08CF97G,0,0,,,,0,0,0,1,0.0011729231337085366,,2020-02-20,
10A0A09GF97G,0,0,,,,0,0,0,1,0.00285920687019825,,2020-02-20,
10A0A09PF97G,0,0,,,,0,0,0,1,0.0007462508510798216,,2020-02-20,
10A0A09TF97G,0,0,,,,0,0,0,1,0.00093331333482638,,2020-02-20,
10A0A0A7F97G,0,0,,,,0,0,0,1,0.004633576143532991,,2020-02-20,
10A0A0AJF97G,1,0,,2023-02-22,,0,0,1,0,0.03923609480261803,,2020-02-20,
10A0A0AVF97G,0,0,,,,0,0,0,1,0.004867571871727705,,2020-02-20,
10A0A0BMF97G,0,0,,,,0,0,0,1,0.0008739341283217072,,2020-02-20,
10A0A0BUF97G,1,0,,2022-10-18,,0,0,1,0,0.08089278638362885,,2020-02-20,
10A0A0BZF97G,0,0,,,,0,0,0,1,0.0007491954020224512,,2020-02-20,
10A0A0CEF97G,0,0,,,,0,0,0,1,0.0010710622882470489,,2020-02-20,
10A0A0CJF97G,0,0,,,,0,0,0,1,0.0014007191639393568,,2020-02-20,
10A0A0CPF97G,0,0,,,,0,0,0,1,0.0006398176774382591,,2020-02-20,
10A0A0DDF97G,0,0,,,,0,0,0,1,0.10851546376943588,,2020-02-20,
10A0A0DGF97G,0,0,,,,0,0,0,1,0.001674407976679504,,2020-02-20,
10A0A0GLF97G,0,0,,,,0,0,0,1,0.0009696452179923654,,2020-02-20,
10A0A0GWF97G,0,0,,,,0,0,0,1,0.017305567860603333,,2020-02-20,
10A0A0H4F97G,0,0,,,,0,0,0,1,0.000989263877272606,,2020-02-20,
10A0A0HEF97G,0,0,,,,0,0,0,1,0.0009502414031885564,,2020-02-20,
10A0A0HTF97G,0,0,,,,0,0,0,1,0.0009550710674375296,,2020-02-20,
10A0A0HUF97G,0,0,,,,0,0,0,1,0.0013996489578858018,,2020-02-20,
