serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,is_hit,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed
1030A034F97G,0,0,,,,0,0,0,1,0.0006759208044968545,,2020-10-14,
1040A01VF97G,0,0,,,,0,0,0,1,0.00035659223794937134,,2021-06-08,
1040A024F97G,0,0,,,,0,0,0,1,0.0018427198519930243,,2021-04-23,
1040A03CF97G,0,0,,,,0,0,0,1,0.003341115079820156,,2020-11-10,
1040A04KF97G,0,0,,,,0,0,0,1,0.000622614927124232,,2020-10-14,
1040A04MF97G,0,0,,,,0,0,0,1,0.0003352951316628605,,2020-11-17,
1040A04PF97G,0,0,,,,0,0,0,1,0.0005543435690924525,,2021-09-16,
1040A04XF97G,0,0,,,,0,0,0,1,0.0002938422840088606,,2020-11-04,
1040A053F97G,0,0,,,,0,0,0,1,0.001016637310385704,,2020-08-12,
1040A06CF97G,0,0,,,,0,0,0,1,0.00028677150839939713,,2020-10-29,
1040A06GF97G,0,0,,,,0,0,0,1,0.0005484324065037072,,2020-11-17,
1040A06UF97G,0,0,,,,0,0,0,1,0.0002494274522177875,,2020-11-04,
1040A06WF97G,0,0,,,,0,0,0,1,0.00031486243824474514,,2020-11-10,
1040A07QF97G,0,0,,,,0,0,0,1,0.019077423959970474,,2020-11-17,
1040A0A9F97G,0,0,,,,0,0,0,1,0.0005954132648184896,,2021-02-26,
1040A0EEF97G,0,0,,,,0,0,0,1,0.0018801401602104306,,2020-08-12,
1050A00FF97G,0,0,,,,0,0,0,1,0.001850397908128798,,2020-06-27,
1050A00VF97G,0,0,,,,0,0,0,1,0.0016314300009980798,,2020-08-12,
1050A02XF97G,0,0,,,,0,0,0,1,0.0009277976932935417,,2021-04-23,
1050A037F97G,0,0,,,,0,0,0,1,0.0027019919361919165,,2020-09-17,
1050A04EF97G,0,0,,,,0,0,0,1,0.0003216452896595001,,2020-11-25,
1050A054F97G,0,0,,,,0,0,0,1,0.00035451995790936053,,2021-04-29,
1050A05QF97G,0,0,,,,0,0,0,1,0.0002359479112783447,,2020-11-04,
1050A060F97G,0,0,,,,0,0,0,1,0.00041124960989691317,,2021-04-08,
1050A07YF97G,0,0,,,,0,0,0,1,0.0021595663856714964,,2020-11-04,
1050A082F97G,0,0,,,,0,0,0,1,0.00041864538798108697,,2021-06-08,
1050A084F97G,0,0,,,,0,0,0,1,0.0004717579286079854,,2021-04-29,
1050A0A7F97G,0,0,,,,0,0,0,1,0.0003877506824210286,,2021-09-16,
1050A0AZF97G,0,0,,,,0,0,0,1,0.001090722973458469,,2020-06-24,
1050A0C4F97G,0,0,,,,0,0,0,1,0.003024963429197669,,2020-06-25,
1050A0CTF97G,0,0,,,,0,0,0,1,0.0047257328405976295,,2020-11-04,
1050A0D3F97G,0,0,,,,0,0,0,1,0.0004815000866074115,,2020-11-17,
1060A00LF97G,0,0,,,,0,0,0,1,0.0006059229490347207,,2020-10-14,
1060A01RF97G,0,0,,,,0,0,0,1,0.001183347892947495,,2020-10-14,
1060A01UF97G,0,0,,,,0,0,0,1,0.00044782846816815436,,2020-09-17,
1060A027F97G,0,0,,,,0,0,0,1,0.0005195323610678315,,2020-07-28,
1060A029F97G,0,0,,,,0,0,0,1,0.0013211676850914955,,2020-11-10,
1060A02QF97G,0,0,,,,0,0,0,1,0.0007747019990347326,,2020-09-23,
1060A02YF97G,0,0,,,,0,0,0,1,0.00046239615767262876,,2020-11-04,
1060A04GF97G,0,0,,,,0,0,0,1,0.00034139721537940204,,2021-04-30,
1070A00QF97G,0,0,,,,0,0,0,1,0.0009967719670385122,,2021-04-13,
1070A01KF97G,0,0,,,,0,0,0,1,0.00023421217338182032,,2020-11-04,
1070A01ZF97G,0,0,,,,0,0,0,1,0.0021699911449104548,,2020-10-14,
1070A02QF97G,0,0,,,,0,0,0,1,0.00024709501303732395,,2020-12-17,
1070A03AF97G,1,1,2023-06-19,2023-06-22,3.0,1,0,0,0,0.15760229527950287,0.15760229527950287,2020-10-21,971.0
1070A04EF97G,0,0,,,,0,0,0,1,0.0003275065391790122,,2020-09-24,
1070A04FF97G,0,0,,,,0,0,0,1,0.00033759523648768663,,2020-11-17,
1070A04LF97G,0,0,,,,0,0,0,1,0.0004000546468887478,,2020-11-17,
1070A06CF97G,0,0,,,,0,0,0,1,0.00045109083293937147,,2020-11-10,
1070A07QF97G,0,0,,,,0,0,0,1,0.0018369253957644105,,2020-08-12,
1070A097F97G,0,0,,,,0,0,0,1,0.0009313301998190582,,2020-10-14,
1070A0A9F97G,0,0,,,,0,0,0,1,0.00042783349636010826,,2021-01-20,
1070A0AXF97G,0,0,,,,0,0,0,1,0.00037945673102512956,,2020-08-11,
1070A0B8F97G,0,0,,,,0,0,0,1,0.0013655319344252348,,2021-09-22,
1070A0DPF97G,0,0,,,,0,0,0,1,0.0014467259170487523,,2021-03-03,
