threshold,precision,recall,f1,far,mean_lead_time,median_lead_time,std_lead_time,edr_15,hits,false_alarms,misses,correct_rejections
0.01,0.5541666666666667,0.8209876543209876,0.6616915422885572,0.10951893551688843,377.34586466165416,304.0,317.9670632470707,0.7901234567901234,133,107,29,870
0.02,0.5989847715736041,0.7283950617283951,0.6573816155988859,0.08085977482088025,352.29661016949154,274.0,307.1003896294223,0.7098765432098766,118,79,44,898
0.03,0.64,0.691358024691358,0.6646884272997031,0.06448311156601842,313.20535714285717,234.0,303.4559022562556,0.6604938271604939,112,63,50,914
0.04,0.6666666666666666,0.6419753086419753,0.6540880503144653,0.05322415557830092,277.8076923076923,204.5,266.9510570571042,0.6111111111111112,104,52,58,925
0.05,0.6783216783216783,0.5987654320987654,0.6360655737704919,0.04708290685772774,250.41237113402062,168.0,262.783975118183,0.5493827160493827,97,46,65,931
0.06,0.6766917293233082,0.5555555555555556,0.6101694915254238,0.044012282497441144,232.32222222222222,152.0,256.723492747343,0.49382716049382713,90,43,72,934
0.07,0.68,0.5246913580246914,0.5923344947735192,0.04094165813715456,217.9294117647059,142.0,257.20144488823377,0.4691358024691358,85,40,77,937
0.08,0.6929824561403509,0.4876543209876543,0.572463768115942,0.03582395087001024,210.62025316455697,134.0,260.8954542931363,0.43209876543209874,79,35,83,942
0.09,0.7352941176470589,0.46296296296296297,0.5681818181818182,0.027635619242579325,197.8,102.0,260.535499820402,0.4074074074074074,75,27,87,950
0.1,0.7551020408163265,0.4567901234567901,0.5692307692307692,0.02456499488229273,187.17567567567568,99.0,255.16769039033537,0.3765432098765432,74,24,88,953
0.11,0.7802197802197802,0.4382716049382716,0.5612648221343873,0.02047082906857728,176.90140845070422,98.0,240.28088932052867,0.36419753086419754,71,20,91,957
0.12,0.7752808988764045,0.42592592592592593,0.5498007968127491,0.02047082906857728,174.1159420289855,98.0,219.67403626650972,0.345679012345679,69,20,93,957
0.13,0.7619047619047619,0.3950617283950617,0.5203252032520325,0.02047082906857728,175.765625,98.0,224.06114833535815,0.32098765432098764,64,20,98,957
0.14,0.7560975609756098,0.38271604938271603,0.5081967213114754,0.02047082906857728,162.2258064516129,86.5,219.76376021029716,0.30246913580246915,62,20,100,957
0.15,0.7631578947368421,0.35802469135802467,0.4873949579831933,0.01842374616171955,142.81034482758622,71.5,218.18265496475036,0.25925925925925924,58,18,104,959
0.16,0.7567567567567568,0.345679012345679,0.47457627118644063,0.01842374616171955,143.35714285714286,74.5,219.94093594900073,0.25925925925925924,56,18,106,959
0.17,0.7464788732394366,0.3271604938271605,0.45493562231759654,0.01842374616171955,145.79245283018867,75.0,224.11792368444148,0.24074074074074073,53,18,109,959
0.18,0.7352941176470589,0.30864197530864196,0.4347826086956521,0.01842374616171955,150.02,74.5,229.62155735034986,0.22839506172839505,50,18,112,959
0.19,0.7424242424242424,0.30246913580246915,0.4298245614035088,0.017400204708290685,149.69387755102042,74.0,230.68037823207055,0.22839506172839505,49,17,113,960
0.2,0.75,0.2962962962962963,0.4247787610619469,0.016376663254861822,150.47916666666666,74.0,233.04434391900372,0.2222222222222222,48,16,114,961
