threshold,precision,recall,f1,far,mean_lead_time,median_lead_time,std_lead_time,edr_15,hits,false_alarms,misses,correct_rejections
0.01,0.3700980392156863,0.6711111111111111,0.4770932069510268,0.07029540481400437,143.66225165562915,48.0,224.56485921060988,0.4488888888888889,151,257,74,3399
0.02,0.40771349862258954,0.6577777777777778,0.5034013605442178,0.058807439824945296,144.2027027027027,49.0,225.73247019603428,0.44,148,215,77,3441
0.03,0.4336283185840708,0.6533333333333333,0.5212765957446809,0.0525164113785558,143.12925170068027,43.0,226.38283365933583,0.44,147,192,78,3464
0.04,0.4551083591331269,0.6533333333333333,0.5364963503649635,0.04814004376367615,140.68027210884352,42.0,224.92828748018667,0.4266666666666667,147,176,78,3480
0.05,0.4634920634920635,0.6488888888888888,0.5407407407407409,0.046225382932166305,137.08904109589042,43.5,219.97116626842586,0.4222222222222222,146,169,79,3487
0.06,0.4750830564784053,0.6355555555555555,0.5437262357414449,0.04321663019693654,132.67132867132867,39.0,220.61768900618657,0.40444444444444444,143,158,82,3498
0.07,0.4880546075085324,0.6355555555555555,0.5521235521235521,0.041028446389496716,120.65734265734265,37.0,199.89592064232332,0.4,143,150,82,3506
0.08,0.49140893470790376,0.6355555555555555,0.5542635658914729,0.04048140043763676,117.4895104895105,36.0,198.22008207777841,0.4,143,148,82,3508
0.09,0.4982456140350877,0.6311111111111111,0.5568627450980392,0.03911378555798687,117.16901408450704,36.0,198.88236921947586,0.39555555555555555,142,143,83,3513
0.1,0.5054151624548736,0.6222222222222222,0.5577689243027887,0.037472647702407005,113.72857142857143,34.5,198.8027681201771,0.37777777777777777,140,137,85,3519
0.11,0.5185185185185185,0.6222222222222222,0.5656565656565656,0.03555798687089715,108.66428571428571,27.0,198.05996965977917,0.3688888888888889,140,130,85,3526
0.12,0.5225563909774437,0.6177777777777778,0.5661914460285132,0.034737417943107224,106.43884892086331,26.0,196.26150207261057,0.36,139,127,86,3529
0.13,0.5269230769230769,0.6088888888888889,0.5649484536082474,0.03364332603938731,106.15328467153284,28.0,192.83096074935034,0.36,137,123,88,3533
0.14,0.5330739299610895,0.6088888888888889,0.5684647302904564,0.03282275711159737,103.64963503649635,26.0,190.6160811240187,0.35555555555555557,137,120,88,3536
0.15,0.5502008032128514,0.6088888888888889,0.5780590717299579,0.030634573304157548,103.27007299270073,26.0,190.70156696923132,0.3511111111111111,137,112,88,3544
0.16,0.5648535564853556,0.6,0.581896551724138,0.028446389496717725,101.11111111111111,25.0,190.72818225467583,0.3377777777777778,135,104,90,3552
0.17,0.5689655172413793,0.5866666666666667,0.5776805251641138,0.02735229759299781,103.02272727272727,25.0,192.40914683689385,0.3333333333333333,132,100,93,3556
0.18,0.5745614035087719,0.5822222222222222,0.5783664459161149,0.026531728665207876,103.59541984732824,25.0,193.02049800676073,0.3288888888888889,131,97,94,3559
0.19,0.5855855855855856,0.5777777777777777,0.5816554809843401,0.02516411378555799,103.93076923076923,25.0,193.55027923440457,0.3288888888888889,130,92,95,3564
0.2,0.5852534562211982,0.5644444444444444,0.5746606334841629,0.02461706783369803,105.83464566929133,25.0,195.3335835907839,0.3244444444444444,127,90,98,3566
0.21,0.5857142857142857,0.5466666666666666,0.5655172413793104,0.023796498905908098,107.29268292682927,26.0,195.88098807994587,0.32,123,87,102,3569
0.22,0.5920398009950248,0.5288888888888889,0.5586854460093896,0.022428884026258207,107.5546218487395,25.0,198.52661898351326,0.30666666666666664,119,82,106,3574
0.23,0.5897435897435898,0.5111111111111111,0.5476190476190476,0.02188183807439825,108.14782608695653,25.0,200.04504899074328,0.3022222222222222,115,80,110,3576
0.24,0.5935828877005348,0.49333333333333335,0.5388349514563107,0.020787746170678335,107.77477477477477,25.0,197.70059648411407,0.28888888888888886,111,76,114,3580
0.25,0.6055555555555555,0.48444444444444446,0.5382716049382716,0.019420131291028448,107.27522935779817,24.0,199.1337603823871,0.27111111111111114,109,71,116,3585
0.26,0.6347305389221557,0.4711111111111111,0.5408163265306122,0.016684901531728667,108.64150943396227,23.5,201.44825585345947,0.26666666666666666,106,61,119,3595
0.27,0.6518987341772152,0.4577777777777778,0.5378590078328982,0.015043763676148797,111.68932038834951,25.0,203.52347872125287,0.26666666666666666,103,55,122,3601
0.28,0.6462585034013606,0.4222222222222222,0.510752688172043,0.014223194748358862,106.72631578947369,24.0,199.77884836700716,0.24444444444444444,95,52,130,3604
0.29,0.6714285714285714,0.4177777777777778,0.5150684931506849,0.012582056892778994,100.82978723404256,23.0,192.89604952209703,0.24,94,46,131,3610
0.3,0.6870229007633588,0.4,0.5056179775280899,0.011214442013129104,100.28888888888889,23.0,195.47243309163937,0.22666666666666666,90,41,135,3615
0.31,0.6984126984126984,0.39111111111111113,0.5014245014245013,0.010393873085339168,97.0909090909091,22.0,196.46498857439508,0.21777777777777776,88,38,137,3618
0.32,0.7058823529411765,0.37333333333333335,0.4883720930232558,0.009573304157549234,90.55952380952381,17.0,199.00570410528417,0.19111111111111112,84,35,141,3621
0.33,0.7105263157894737,0.36,0.4778761061946902,0.009026258205689279,87.23456790123457,16.0,200.25664222611317,0.18666666666666668,81,33,144,3623
0.34,0.7314814814814815,0.3511111111111111,0.4744744744744745,0.007932166301969365,89.0506329113924,16.0,202.41234381820485,0.18222222222222223,79,29,146,3627
0.35,0.7352941176470589,0.3333333333333333,0.45871559633027525,0.00738512035010941,91.56,15.0,207.1676448354488,0.17333333333333334,75,27,150,3629
0.36,0.7157894736842105,0.3022222222222222,0.425,0.00738512035010941,96.1029411764706,14.5,215.9293961205758,0.1511111111111111,68,27,157,3629
0.37,0.7111111111111111,0.28444444444444444,0.4063492063492064,0.007111597374179431,98.84375,13.5,222.15642143754815,0.13777777777777778,64,26,161,3630
0.38,0.6987951807228916,0.2577777777777778,0.37662337662337664,0.006838074398249453,72.65517241379311,10.5,137.36542652458303,0.1111111111111111,58,25,167,3631
0.39,0.7142857142857143,0.24444444444444444,0.36423841059602646,0.006017505470459519,73.07272727272728,11.0,139.40273305595937,0.10666666666666667,55,22,170,3634
0.4,0.7083333333333334,0.22666666666666666,0.3434343434343434,0.0057439824945295405,75.66666666666667,10.0,143.5473095023361,0.09777777777777778,51,21,174,3635
0.41,0.734375,0.2088888888888889,0.32525951557093424,0.004649890590809628,78.57446808510639,10.0,148.53679889077003,0.08888888888888889,47,17,178,3639
0.42,0.7368421052631579,0.18666666666666668,0.2978723404255319,0.004102844638949671,55.476190476190474,6.5,123.07280812500072,0.07111111111111111,42,15,183,3641
0.43,0.7358490566037735,0.17333333333333334,0.2805755395683453,0.0038293216630196935,51.666666666666664,6.0,121.49271020303496,0.06222222222222222,39,14,186,3642
0.44,0.7555555555555555,0.1511111111111111,0.2518518518518519,0.0030087527352297594,34.61764705882353,4.0,96.57518092623103,0.04,34,11,191,3645
0.45,0.75,0.14666666666666667,0.2453531598513011,0.0030087527352297594,35.39393939393939,4.0,97.91026794636842,0.04,33,11,192,3645
0.46,0.7837837837837838,0.1288888888888889,0.22137404580152673,0.002188183807439825,20.620689655172413,3.0,46.8860789523327,0.02666666666666667,29,8,196,3648
0.47,0.8275862068965517,0.10666666666666667,0.18897637795275593,0.0013676148796498905,23.041666666666668,3.0,50.94562392612561,0.022222222222222223,24,5,201,3651
