threshold,precision,recall,f1,far,mean_lead_time,median_lead_time,std_lead_time,edr_15,hits,false_alarms,misses,correct_rejections
0.01,0.47619047619047616,0.6666666666666666,0.5555555555555556,0.04513129102844639,133.14,37.0,253.86770911900817,0.4444444444444444,150,165,75,3491
0.02,0.5564516129032258,0.6133333333333333,0.5835095137420718,0.030087527352297593,119.81884057971014,31.5,207.979591930375,0.39555555555555555,138,110,87,3546
0.03,0.5662100456621004,0.5511111111111111,0.5585585585585585,0.02598468271334792,105.75806451612904,23.5,193.594161925761,0.3288888888888889,124,95,101,3561
0.04,0.6304347826086957,0.5155555555555555,0.567237163814181,0.018599562363238512,101.39655172413794,17.5,198.19134255555022,0.28,116,68,109,3588
0.05,0.6198830409356725,0.4711111111111111,0.5353535353535352,0.017778993435448576,103.65094339622641,16.0,197.56928770055896,0.24,106,65,119,3591
0.06,0.632258064516129,0.43555555555555553,0.5157894736842105,0.015590809628008753,100.05102040816327,14.5,198.1942652668665,0.21777777777777776,98,57,127,3599
0.07,0.631578947368421,0.37333333333333335,0.4692737430167598,0.013402625820568928,98.22619047619048,14.0,189.7676744507344,0.18222222222222223,84,49,141,3607
0.08,0.6428571428571429,0.36,0.4615384615384615,0.012308533916849015,91.32098765432099,12.0,190.79015860690185,0.16,81,45,144,3611
0.09,0.6610169491525424,0.3466666666666667,0.4548104956268222,0.010940919037199124,92.03846153846153,12.0,193.60549647233623,0.15555555555555556,78,40,147,3616
0.1,0.6608695652173913,0.3377777777777778,0.4470588235294118,0.010667396061269147,92.44736842105263,12.0,195.77608011630628,0.1511111111111111,76,39,149,3617
0.11,0.6545454545454545,0.32,0.42985074626865666,0.010393873085339168,85.38888888888889,10.0,191.07376088507138,0.13777777777777778,72,38,153,3618
0.12,0.6634615384615384,0.30666666666666664,0.4194528875379939,0.009573304157549234,88.8840579710145,12.0,194.29982331452237,0.13777777777777778,69,35,156,3621
0.13,0.6847826086956522,0.28,0.39747634069400634,0.007932166301969365,76.0,11.0,141.3074998852132,0.12,63,29,162,3627
0.14,0.6744186046511628,0.2577777777777778,0.3729903536977492,0.007658643326039387,79.1896551724138,11.5,145.54208502585843,0.10666666666666667,58,28,167,3628
0.15,0.6626506024096386,0.24444444444444444,0.3571428571428571,0.007658643326039387,83.14545454545454,12.0,148.43797825499294,0.10666666666666667,55,28,170,3628
0.16,0.6363636363636364,0.21777777777777776,0.32450331125827814,0.007658643326039387,92.16326530612245,12.0,154.83069712757623,0.10222222222222223,49,28,176,3628
0.17,0.6301369863013698,0.20444444444444446,0.30872483221476515,0.00738512035010941,94.78260869565217,16.5,156.58015214377787,0.10222222222222223,46,27,179,3629
0.18,0.6231884057971014,0.19111111111111112,0.2925170068027211,0.007111597374179431,88.62790697674419,13.0,150.73278732475237,0.09333333333333334,43,26,182,3630
0.19,0.6176470588235294,0.18666666666666668,0.2866894197952219,0.007111597374179431,89.95238095238095,12.5,152.21287605583242,0.08888888888888889,42,26,183,3630
0.2,0.6031746031746031,0.1688888888888889,0.2638888888888889,0.006838074398249453,95.60526315789474,16.5,156.99388849547853,0.08444444444444445,38,25,187,3631
0.21,0.6065573770491803,0.16444444444444445,0.25874125874125875,0.006564551422319475,94.24324324324324,13.0,158.78089704103905,0.08,37,24,188,3632
0.22,0.6166666666666667,0.16444444444444445,0.2596491228070176,0.006291028446389497,94.16216216216216,12.0,158.82312336131653,0.08,37,23,188,3633
0.23,0.6271186440677966,0.16444444444444445,0.2605633802816901,0.006017505470459519,94.16216216216216,12.0,158.82312336131653,0.08,37,22,188,3634
0.24,0.631578947368421,0.16,0.2553191489361702,0.0057439824945295405,83.86111111111111,12.0,148.3217510043205,0.07555555555555556,36,21,189,3635
0.25,0.6363636363636364,0.15555555555555556,0.25,0.005470459518599562,86.08571428571429,12.0,149.77437725336284,0.07555555555555556,35,20,190,3636
0.26,0.6296296296296297,0.1511111111111111,0.24372759856630824,0.005470459518599562,77.88235294117646,11.5,147.28858521840766,0.07111111111111111,34,20,191,3636
0.27,0.6470588235294118,0.14666666666666667,0.23913043478260873,0.004923413566739606,80.03030303030303,12.0,148.9780306863428,0.07111111111111111,33,18,192,3638
0.28,0.673469387755102,0.14666666666666667,0.24087591240875914,0.00437636761487965,80.03030303030303,12.0,148.9780306863428,0.07111111111111111,33,16,192,3640
0.29,0.6956521739130435,0.14222222222222222,0.23616236162361623,0.0038293216630196935,82.5,16.0,150.62121364535608,0.07111111111111111,32,14,193,3642
0.3,0.6888888888888889,0.13777777777777778,0.22962962962962963,0.0038293216630196935,80.54838709677419,12.0,152.74981415113078,0.06666666666666667,31,14,194,3642
0.31,0.7045454545454546,0.13777777777777778,0.23048327137546468,0.0035557986870897156,80.51612903225806,12.0,152.76481417372176,0.06666666666666667,31,13,194,3643
0.32,0.7142857142857143,0.13333333333333333,0.2247191011235955,0.0032822757111597373,65.26666666666667,11.5,130.02331414874112,0.06222222222222222,30,12,195,3644
0.33,0.7317073170731707,0.13333333333333333,0.2255639097744361,0.0030087527352297594,65.26666666666667,11.5,130.02331414874112,0.06222222222222222,30,11,195,3645
0.34,0.7317073170731707,0.13333333333333333,0.2255639097744361,0.0030087527352297594,65.26666666666667,11.5,130.02331414874112,0.06222222222222222,30,11,195,3645
0.35,0.7317073170731707,0.13333333333333333,0.2255639097744361,0.0030087527352297594,65.26666666666667,11.5,130.02331414874112,0.06222222222222222,30,11,195,3645
0.36,0.7368421052631579,0.12444444444444444,0.21292775665399236,0.002735229759299781,68.64285714285714,11.5,133.9286095238041,0.057777777777777775,28,10,197,3646
0.37,0.7567567567567568,0.12444444444444444,0.21374045801526717,0.002461706783369803,68.64285714285714,11.5,133.9286095238041,0.057777777777777775,28,9,197,3647
0.38,0.7567567567567568,0.12444444444444444,0.21374045801526717,0.002461706783369803,68.64285714285714,11.5,133.9286095238041,0.057777777777777775,28,9,197,3647
0.39,0.7567567567567568,0.12444444444444444,0.21374045801526717,0.002461706783369803,68.39285714285714,10.0,134.04059600565427,0.057777777777777775,28,9,197,3647
0.4,0.7567567567567568,0.12444444444444444,0.21374045801526717,0.002461706783369803,68.39285714285714,10.0,134.04059600565427,0.057777777777777775,28,9,197,3647
0.41,0.7567567567567568,0.12444444444444444,0.21374045801526717,0.002461706783369803,68.39285714285714,10.0,134.04059600565427,0.057777777777777775,28,9,197,3647
0.42,0.7567567567567568,0.12444444444444444,0.21374045801526717,0.002461706783369803,68.39285714285714,10.0,134.04059600565427,0.057777777777777775,28,9,197,3647
0.43,0.7567567567567568,0.12444444444444444,0.21374045801526717,0.002461706783369803,68.39285714285714,10.0,134.04059600565427,0.057777777777777775,28,9,197,3647
0.44,0.7567567567567568,0.12444444444444444,0.21374045801526717,0.002461706783369803,68.39285714285714,10.0,134.04059600565427,0.057777777777777775,28,9,197,3647
0.45,0.7777777777777778,0.12444444444444444,0.21455938697318008,0.002188183807439825,68.39285714285714,10.0,134.04059600565427,0.057777777777777775,28,8,197,3648
0.46,0.7777777777777778,0.12444444444444444,0.21455938697318008,0.002188183807439825,68.39285714285714,10.0,134.04059600565427,0.057777777777777775,28,8,197,3648
0.47,0.8,0.12444444444444444,0.2153846153846154,0.0019146608315098468,68.39285714285714,10.0,134.04059600565427,0.057777777777777775,28,7,197,3649
0.48,0.8,0.12444444444444444,0.2153846153846154,0.0019146608315098468,68.39285714285714,10.0,134.04059600565427,0.057777777777777775,28,7,197,3649
0.49,0.7941176470588235,0.12,0.2084942084942085,0.0019146608315098468,70.51851851851852,9.0,136.036043799502,0.057777777777777775,27,7,198,3649
0.5,0.7941176470588235,0.12,0.2084942084942085,0.0019146608315098468,70.51851851851852,9.0,136.036043799502,0.057777777777777775,27,7,198,3649
0.51,0.8181818181818182,0.12,0.20930232558139536,0.0016411378555798686,70.51851851851852,9.0,136.036043799502,0.057777777777777775,27,6,198,3650
0.52,0.8181818181818182,0.12,0.20930232558139536,0.0016411378555798686,70.51851851851852,9.0,136.036043799502,0.057777777777777775,27,6,198,3650
0.53,0.8181818181818182,0.12,0.20930232558139536,0.0016411378555798686,70.48148148148148,9.0,136.05428392955142,0.057777777777777775,27,6,198,3650
0.54,0.8125,0.11555555555555555,0.20233463035019456,0.0016411378555798686,71.65384615384616,14.5,137.86641871131644,0.057777777777777775,26,6,199,3650
0.55,0.8125,0.11555555555555555,0.20233463035019456,0.0016411378555798686,71.65384615384616,14.5,137.86641871131644,0.057777777777777775,26,6,199,3650
0.56,0.8,0.10666666666666667,0.18823529411764706,0.0016411378555798686,77.08333333333333,20.5,142.127852262985,0.057777777777777775,24,6,201,3650
0.57,0.8275862068965517,0.10666666666666667,0.18897637795275593,0.0013676148796498905,76.95833333333333,20.5,142.11247868228259,0.057777777777777775,24,5,201,3651
0.58,0.8275862068965517,0.10666666666666667,0.18897637795275593,0.0013676148796498905,76.95833333333333,20.5,142.11247868228259,0.057777777777777775,24,5,201,3651
0.59,0.8214285714285714,0.10222222222222223,0.18181818181818182,0.0013676148796498905,80.30434782608695,21.0,144.24057041973123,0.057777777777777775,23,5,202,3651
0.6,0.8518518518518519,0.10222222222222223,0.18253968253968256,0.0010940919037199124,80.30434782608695,21.0,144.24057041973123,0.057777777777777775,23,4,202,3652
0.61,0.8518518518518519,0.10222222222222223,0.18253968253968256,0.0010940919037199124,80.0,21.0,144.40221604947757,0.057777777777777775,23,4,202,3652
0.62,0.8846153846153846,0.10222222222222223,0.18326693227091634,0.0008205689277899343,80.0,21.0,144.40221604947757,0.057777777777777775,23,3,202,3653
0.63,0.8846153846153846,0.10222222222222223,0.18326693227091634,0.0008205689277899343,80.0,21.0,144.40221604947757,0.057777777777777775,23,3,202,3653
0.64,0.8846153846153846,0.10222222222222223,0.18326693227091634,0.0008205689277899343,80.0,21.0,144.40221604947757,0.057777777777777775,23,3,202,3653
0.65,0.8846153846153846,0.10222222222222223,0.18326693227091634,0.0008205689277899343,80.0,21.0,144.40221604947757,0.057777777777777775,23,3,202,3653
0.66,0.8846153846153846,0.10222222222222223,0.18326693227091634,0.0008205689277899343,80.0,21.0,144.40221604947757,0.057777777777777775,23,3,202,3653
0.67,0.8846153846153846,0.10222222222222223,0.18326693227091634,0.0008205689277899343,80.0,21.0,144.40221604947757,0.057777777777777775,23,3,202,3653
0.68,0.8846153846153846,0.10222222222222223,0.18326693227091634,0.0008205689277899343,80.0,21.0,144.40221604947757,0.057777777777777775,23,3,202,3653
0.69,0.8846153846153846,0.10222222222222223,0.18326693227091634,0.0008205689277899343,80.0,21.0,144.40221604947757,0.057777777777777775,23,3,202,3653
0.7,0.88,0.09777777777777778,0.17600000000000002,0.0008205689277899343,81.0,20.5,147.56970617920936,0.05333333333333334,22,3,203,3653
0.71,0.88,0.09777777777777778,0.17600000000000002,0.0008205689277899343,81.0,20.5,147.56970617920936,0.05333333333333334,22,3,203,3653
0.72,0.88,0.09777777777777778,0.17600000000000002,0.0008205689277899343,81.0,20.5,147.56970617920936,0.05333333333333334,22,3,203,3653
0.73,0.88,0.09777777777777778,0.17600000000000002,0.0008205689277899343,81.0,20.5,147.56970617920936,0.05333333333333334,22,3,203,3653
0.74,0.88,0.09777777777777778,0.17600000000000002,0.0008205689277899343,81.0,20.5,147.56970617920936,0.05333333333333334,22,3,203,3653
0.75,0.88,0.09777777777777778,0.17600000000000002,0.0008205689277899343,81.0,20.5,147.56970617920936,0.05333333333333334,22,3,203,3653
0.76,0.88,0.09777777777777778,0.17600000000000002,0.0008205689277899343,81.0,20.5,147.56970617920936,0.05333333333333334,22,3,203,3653
0.77,0.88,0.09777777777777778,0.17600000000000002,0.0008205689277899343,81.0,20.5,147.56970617920936,0.05333333333333334,22,3,203,3653
0.78,0.88,0.09777777777777778,0.17600000000000002,0.0008205689277899343,81.0,20.5,147.56970617920936,0.05333333333333334,22,3,203,3653
0.79,0.88,0.09777777777777778,0.17600000000000002,0.0008205689277899343,81.0,20.5,147.56970617920936,0.05333333333333334,22,3,203,3653
0.8,0.88,0.09777777777777778,0.17600000000000002,0.0008205689277899343,81.0,20.5,147.56970617920936,0.05333333333333334,22,3,203,3653
0.81,0.88,0.09777777777777778,0.17600000000000002,0.0008205689277899343,69.18181818181819,20.5,140.52131393287456,0.05333333333333334,22,3,203,3653
0.82,0.88,0.09777777777777778,0.17600000000000002,0.0008205689277899343,69.18181818181819,20.5,140.52131393287456,0.05333333333333334,22,3,203,3653
0.83,0.88,0.09777777777777778,0.17600000000000002,0.0008205689277899343,69.18181818181819,20.5,140.52131393287456,0.05333333333333334,22,3,203,3653
0.84,0.9166666666666666,0.09777777777777778,0.17670682730923695,0.0005470459518599562,69.18181818181819,20.5,140.52131393287456,0.05333333333333334,22,2,203,3654
0.85,0.9166666666666666,0.09777777777777778,0.17670682730923695,0.0005470459518599562,69.18181818181819,20.5,140.52131393287456,0.05333333333333334,22,2,203,3654
0.86,0.9166666666666666,0.09777777777777778,0.17670682730923695,0.0005470459518599562,69.18181818181819,20.5,140.52131393287456,0.05333333333333334,22,2,203,3654
0.87,0.9166666666666666,0.09777777777777778,0.17670682730923695,0.0005470459518599562,69.18181818181819,20.5,140.52131393287456,0.05333333333333334,22,2,203,3654
0.88,0.9166666666666666,0.09777777777777778,0.17670682730923695,0.0005470459518599562,69.18181818181819,20.5,140.52131393287456,0.05333333333333334,22,2,203,3654
0.89,0.9166666666666666,0.09777777777777778,0.17670682730923695,0.0005470459518599562,69.18181818181819,20.5,140.52131393287456,0.05333333333333334,22,2,203,3654
0.9,0.9130434782608695,0.09333333333333334,0.16935483870967744,0.0005470459518599562,71.28571428571429,20.0,143.51576746199032,0.04888888888888889,21,2,204,3654
0.91,0.9130434782608695,0.09333333333333334,0.16935483870967744,0.0005470459518599562,71.28571428571429,20.0,143.51576746199032,0.04888888888888889,21,2,204,3654
0.92,0.9090909090909091,0.08888888888888889,0.1619433198380567,0.0005470459518599562,60.95,12.5,139.22373181322212,0.044444444444444446,20,2,205,3654
0.93,0.9090909090909091,0.08888888888888889,0.1619433198380567,0.0005470459518599562,60.95,12.5,139.22373181322212,0.044444444444444446,20,2,205,3654
0.94,0.9090909090909091,0.08888888888888889,0.1619433198380567,0.0005470459518599562,60.95,12.5,139.22373181322212,0.044444444444444446,20,2,205,3654
