threshold,precision,recall,f1,far,mean_lead_time,median_lead_time,std_lead_time,edr_15,hits,false_alarms,misses,correct_rejections
0.01,0.40166204986149584,0.6444444444444445,0.4948805460750853,0.05908096280087528,144.81379310344826,46.0,225.70190857387146,0.44,145,216,80,3440
0.02,0.45016077170418006,0.6222222222222222,0.5223880597014926,0.04677242888402626,129.53571428571428,37.5,202.6067412048095,0.4088888888888889,140,171,85,3485
0.03,0.48056537102473496,0.6044444444444445,0.5354330708661418,0.04020787746170678,123.57352941176471,35.0,200.21876389827958,0.39111111111111113,136,147,89,3509
0.04,0.4925373134328358,0.5866666666666667,0.5354969574036511,0.037199124726477024,125.77272727272727,35.5,202.6393120086768,0.37333333333333335,132,136,93,3520
0.05,0.49609375,0.5644444444444444,0.5280665280665281,0.03528446389496718,122.53543307086615,36.0,200.91188946195953,0.36444444444444446,127,129,98,3527
0.06,0.5120967741935484,0.5644444444444444,0.5369978858350951,0.03309628008752735,120.49606299212599,36.0,199.1166268468361,0.36444444444444446,127,121,98,3535
0.07,0.5126050420168067,0.5422222222222223,0.5269978401727862,0.03172866520787746,124.5,38.0,201.88770007759996,0.36,122,116,103,3540
0.08,0.521551724137931,0.5377777777777778,0.5295404814004376,0.03036105032822757,123.54545454545455,35.0,203.02167779055657,0.3422222222222222,121,111,104,3545
0.09,0.5291479820627802,0.5244444444444445,0.5267857142857143,0.028719912472647702,124.27966101694915,35.5,204.48276565699257,0.3377777777777778,118,105,107,3551
0.1,0.5296803652968036,0.5155555555555555,0.5225225225225224,0.028172866520787748,123.77586206896552,34.5,205.67441990575097,0.3288888888888889,116,103,109,3553
0.11,0.5471698113207547,0.5155555555555555,0.5308924485125859,0.0262582056892779,123.62068965517241,34.0,205.6651804960915,0.3288888888888889,116,96,109,3560
0.12,0.558252427184466,0.5111111111111111,0.5336426914153132,0.024890590809628008,120.56521739130434,33.0,205.75334031563062,0.31555555555555553,115,91,110,3565
0.13,0.5637254901960784,0.5111111111111111,0.5361305361305361,0.024343544857768053,118.4608695652174,33.0,202.12704945400796,0.31555555555555553,115,89,110,3567
0.14,0.5634517766497462,0.49333333333333335,0.5260663507109005,0.023522975929978117,119.009009009009,34.0,203.56363396243177,0.3111111111111111,111,86,114,3570
0.15,0.5736842105263158,0.48444444444444446,0.5253012048192771,0.022155361050328226,121.11926605504587,35.0,204.79382000291886,0.3111111111111111,109,81,116,3575
0.16,0.5767195767195767,0.48444444444444446,0.5265700483091788,0.02188183807439825,119.22935779816514,34.0,203.3550532202969,0.3111111111111111,109,80,116,3576
0.17,0.5837837837837838,0.48,0.526829268292683,0.021061269146608316,119.3425925925926,34.5,204.13590072216311,0.3111111111111111,108,77,117,3579
0.18,0.5833333333333334,0.4666666666666667,0.5185185185185186,0.020514223194748358,121.85714285714286,35.0,206.41808838104365,0.3022222222222222,105,75,120,3581
0.19,0.5810055865921788,0.4622222222222222,0.5148514851485149,0.020514223194748358,122.92307692307692,35.0,207.0290156321318,0.3022222222222222,104,75,121,3581
0.2,0.576271186440678,0.4533333333333333,0.5074626865671641,0.020514223194748358,119.33333333333333,34.5,206.13746286100266,0.29333333333333333,102,75,123,3581
0.21,0.5804597701149425,0.4488888888888889,0.506265664160401,0.019967177242888403,120.42574257425743,35.0,206.8547750263002,0.28888888888888886,101,73,124,3583
0.22,0.5789473684210527,0.44,0.5,0.019693654266958426,118.4040404040404,34.0,207.7918499676252,0.28,99,72,126,3584
0.23,0.5818181818181818,0.4266666666666667,0.4923076923076923,0.01887308533916849,118.91666666666667,34.0,209.5921469319773,0.27555555555555555,96,69,129,3587
0.24,0.5786163522012578,0.4088888888888889,0.47916666666666663,0.018326039387308535,117.59782608695652,34.5,208.41503637352668,0.26666666666666666,92,67,133,3589
0.25,0.5759493670886076,0.40444444444444444,0.4751958224543081,0.018326039387308535,117.3956043956044,35.0,209.14009601436652,0.26666666666666666,91,67,134,3589
0.26,0.5686274509803921,0.38666666666666666,0.4603174603174603,0.018052516411378557,120.49425287356321,34.0,213.2078406163898,0.25333333333333335,87,66,138,3590
0.27,0.589041095890411,0.38222222222222224,0.46361185983827496,0.016411378555798686,120.79069767441861,33.5,214.35089229985914,0.24888888888888888,86,60,139,3596
0.28,0.5971223021582733,0.3688888888888889,0.456043956043956,0.015317286652078774,124.98795180722891,35.0,216.9842864765387,0.24888888888888888,83,56,142,3600
