threshold,precision,recall,f1,far,mean_lead_time,median_lead_time,std_lead_time,edr_15,hits,false_alarms,misses,correct_rejections
0.01,0.5072463768115942,0.6698564593301436,0.577319587628866,0.03648068669527897,141.7,71.0,206.9825976121802,0.507177033492823,140,136,69,3592
0.02,0.5871559633027523,0.6124401913875598,0.5995316159250584,0.024141630901287552,129.5234375,69.0,173.10297535190895,0.45933014354066987,128,90,81,3638
0.03,0.6313131313131313,0.5980861244019139,0.6142506142506143,0.019581545064377683,123.784,56.0,173.54398100769728,0.4449760765550239,125,73,84,3655
0.04,0.6524064171122995,0.583732057416268,0.6161616161616162,0.017435622317596565,110.45081967213115,53.0,148.70115825554706,0.4258373205741627,122,65,87,3663
0.05,0.6685393258426966,0.569377990430622,0.6149870801033591,0.01582618025751073,104.10084033613445,46.0,144.85834256631043,0.4019138755980861,119,59,90,3669
0.06,0.6882352941176471,0.5598086124401914,0.6174142480211081,0.014216738197424892,101.8119658119658,42.0,144.75649648849188,0.3875598086124402,117,53,92,3675
0.07,0.7012195121951219,0.5502392344497608,0.616621983914209,0.013143776824034335,100.96521739130435,41.0,145.15921875709492,0.3684210526315789,115,49,94,3679
0.08,0.7070063694267515,0.5311004784688995,0.6065573770491802,0.012339055793991416,98.4054054054054,41.0,144.94530676349467,0.35406698564593303,111,46,98,3682
0.09,0.7,0.5023923444976076,0.584958217270195,0.012070815450643776,96.26666666666667,44.0,137.86572257206453,0.3444976076555024,105,45,104,3683
0.1,0.7132867132867133,0.4880382775119617,0.5795454545454545,0.010997854077253219,97.5,44.5,139.26457750993112,0.3397129186602871,102,41,107,3687
0.11,0.7205882352941176,0.4688995215311005,0.5681159420289854,0.0101931330472103,95.25510204081633,45.5,134.39686214938885,0.3349282296650718,98,38,111,3690
0.12,0.7121212121212122,0.44976076555023925,0.5513196480938416,0.0101931330472103,98.55319148936171,46.0,135.901217020624,0.33014354066985646,94,38,115,3690
0.13,0.717741935483871,0.4258373205741627,0.5345345345345345,0.009388412017167383,95.69662921348315,46.0,134.69552885770105,0.3157894736842105,89,35,120,3693
0.14,0.7288135593220338,0.41148325358851673,0.5259938837920489,0.008583690987124463,98.4186046511628,46.0,135.95386231042784,0.31100478468899523,86,32,123,3696
0.15,0.7368421052631579,0.4019138755980861,0.5201238390092878,0.008047210300429184,97.60714285714286,47.0,128.1647951306612,0.31100478468899523,84,30,125,3698
0.16,0.7363636363636363,0.3875598086124402,0.5078369905956114,0.007778969957081545,100.11111111111111,51.0,129.61824288613425,0.3014354066985646,81,29,128,3699
0.17,0.7407407407407407,0.3827751196172249,0.5047318611987383,0.0075107296137339056,99.5,49.5,130.58321101887486,0.28708133971291866,80,28,129,3700
0.18,0.7619047619047619,0.3827751196172249,0.5095541401273885,0.006706008583690987,98.4125,49.5,128.95975086727643,0.2822966507177033,80,25,129,3703
0.19,0.7647058823529411,0.37320574162679426,0.5016077170418007,0.006437768240343348,89.03846153846153,49.5,109.87305522419864,0.2679425837320574,78,24,131,3704
0.2,0.7676767676767676,0.36363636363636365,0.49350649350649345,0.006169527896995708,85.44736842105263,52.5,96.34646836682184,0.2631578947368421,76,23,133,3705
0.21,0.7653061224489796,0.3588516746411483,0.4885993485342019,0.006169527896995708,86.14666666666666,54.0,95.94772095029437,0.2631578947368421,75,23,134,3705
0.22,0.7653061224489796,0.3588516746411483,0.4885993485342019,0.006169527896995708,83.26666666666667,54.0,92.24031415577224,0.2631578947368421,75,23,134,3705
0.23,0.7741935483870968,0.3444976076555024,0.4768211920529802,0.005633047210300429,83.86111111111111,58.0,92.8586598539767,0.2583732057416268,72,21,137,3707
0.24,0.7640449438202247,0.3253588516746411,0.45637583892617445,0.005633047210300429,80.63235294117646,58.0,86.27007940384674,0.24401913875598086,68,21,141,3707
