column,total_devices,total_records,compared_transitions,decrease_devices,decrease_events,avg_decrease,max_decrease,is_strictly_cumulative,elapsed_seconds
smart_3_raw,39387,75001358,74961971,36074,128956,101.70251093396197,7939.0,False,3.74
smart_4_raw,39387,75001358,74961971,0,0,0.0,0.0,True,7.02
smart_5_raw,39387,75001358,74961971,2,3,41.0,111.0,False,7.15
smart_9_raw,39387,75001358,74961971,0,0,0.0,0.0,True,8.03
smart_12_raw,39387,75001358,74961971,0,0,0.0,0.0,True,8.14
smart_191_raw,39387,75001358,74961971,0,0,0.0,0.0,True,8.59
smart_192_raw,39387,75001358,74961971,0,0,0.0,0.0,True,8.82
smart_193_raw,39387,75001358,74961971,0,0,0.0,0.0,True,8.91
smart_194_raw,39387,75001358,74961971,39322,17425743,1.3294288800196352,66.0,False,9.1
smart_196_raw,39387,75001358,74961971,0,0,0.0,0.0,True,9.24
smart_197_raw,39387,75001358,74961971,1586,6802,1.892825639517789,192.0,False,9.72
smart_198_raw,39387,75001358,74961971,296,414,2.57487922705314,87.0,False,12.83
smart_199_raw,39387,75001358,74961971,0,0,0.0,0.0,True,13.11
smart_220_raw,39387,75001358,74961971,39326,34425300,97349694.30566461,287440908.0,False,13.36
smart_222_raw,39387,75001358,74961971,0,0,0.0,0.0,True,13.14
smart_226_raw,39387,75001358,74961971,37351,151470,6.310398098633393,607.0,False,11.53
