column,total_devices,total_records,compared_transitions,decrease_devices,decrease_events,avg_decrease,max_decrease,is_strictly_cumulative,elapsed_seconds
smart_1_raw,11438,26912222,26900784,2911,75033,2591534.9012967627,2764442148.0,False,2.01
smart_2_raw,11438,26905451,26894013,3338,175467,2.643249157961326,935.0,False,2.26
smart_3_raw,11438,26912217,26900779,4348,6129,266.6518192201012,10359.0,False,2.41
smart_4_raw,11438,26912217,26900779,8277,8279,10.981640294721585,24093.0,False,2.65
smart_5_raw,11438,26912217,26900779,193,193,638.4248704663213,24656.0,False,2.62
smart_7_raw,11438,26912217,26900779,6749,6813,1626866281.71026,2053980000000.0,False,2.5
smart_8_raw,11438,26905451,26894013,3198,149256,1.6586602883636168,45.0,False,2.54
smart_9_raw,11438,26912220,26900782,9302,9303,15989.095130603031,50640.0,False,2.79
smart_10_raw,11438,26912217,26900779,23,24,32768.625,131073.0,False,2.93
smart_12_raw,11438,26912220,26900782,8145,8147,5.269424327973487,117.0,False,2.91
smart_22_raw,11438,26903847,26892409,193,1301,8528.731744811683,6488064.0,False,2.61
smart_192_raw,11438,26912220,26900782,9356,9358,332.0057704637743,13091.0,False,2.75
smart_193_raw,11438,26912184,26900746,9331,9333,12556.530590378228,1342647.0,False,2.82
smart_194_raw,11438,26912220,26900782,11437,6955740,1.3207897362466108,35.0,False,2.94
smart_196_raw,11438,26905482,26894044,19,19,149.47368421052633,747.0,False,3.05
smart_197_raw,11438,26912217,26900779,2711,40949,3.0111846443136585,698.0,False,2.73
smart_198_raw,11438,26912217,26900779,47,47,15.297872340425531,88.0,False,2.78
smart_199_raw,11438,26912217,26900779,90,90,35.955555555555556,1347.0,False,2.97
