dataset,model,seed,split,threshold_kind,threshold,N_on_time,N_early,N_missed,N_censored_early,N_censored_no_alarm,N_failed,N_censored,N_alarmed,precision,recall,f1,far,on_time_share,mean_lead_time,median_lead_time,std_lead_time
HGST_20HUH721212ALN604,XGB,42,val,row_opt,0.025,17,100,43,83,892,160,975,200,0.085,0.10625,0.094444,0.085128,0.145299,352.4,283.0,342.9
HGST_20HUH721212ALN604,XGB,42,val,disk_opt,0.286,18,20,122,9,966,160,975,47,0.382979,0.1125,0.173913,0.009231,0.473684,66.34,32.5,85.14
HGST_20HUH721212ALN604,XGB,42,test,row_opt,0.025,14,104,44,80,897,162,977,198,0.070707,0.08642,0.077778,0.081883,0.118644,353.96,239.5,391.36
HGST_20HUH721212ALN604,XGB,42,test,disk_opt,0.286,14,22,126,7,970,162,977,43,0.325581,0.08642,0.136585,0.007165,0.388889,123.61,57.0,198.92
HGST_20HUH721212ALN604,LSTM,42,val,row_opt,0.043,13,96,51,48,927,160,975,157,0.082803,0.08125,0.082019,0.049231,0.119266,270.97,192.0,245.43
HGST_20HUH721212ALN604,LSTM,42,val,disk_opt,0.101,17,52,91,9,966,160,975,78,0.217949,0.10625,0.142857,0.009231,0.246377,157.67,103.0,165.2
HGST_20HUH721212ALN604,LSTM,42,test,row_opt,0.043,11,94,57,49,928,162,977,154,0.071429,0.067901,0.06962,0.050154,0.104762,312.61,219.0,304.42
HGST_20HUH721212ALN604,LSTM,42,test,disk_opt,0.101,21,44,97,18,959,162,977,83,0.253012,0.12963,0.171429,0.018424,0.323077,158.37,77.0,206.24
HGST_20HUH721212ALN604,LSTM,43,val,row_opt,0.033,13,91,56,52,923,160,975,156,0.083333,0.08125,0.082278,0.053333,0.125,278.6,202.5,261.4
HGST_20HUH721212ALN604,LSTM,43,val,disk_opt,0.09,17,49,94,9,966,160,975,75,0.226667,0.10625,0.144681,0.009231,0.257576,158.65,74.5,188.2
HGST_20HUH721212ALN604,LSTM,43,test,row_opt,0.033,12,98,52,51,926,162,977,161,0.074534,0.074074,0.074303,0.052201,0.109091,299.81,217.5,307.91
HGST_20HUH721212ALN604,LSTM,43,test,disk_opt,0.09,19,41,102,16,961,162,977,76,0.25,0.117284,0.159664,0.016377,0.316667,192.15,87.0,267.58
HGST_20HUH721212ALN604,LSTM,44,val,row_opt,0.041,19,96,45,49,926,160,975,164,0.115854,0.11875,0.117284,0.050256,0.165217,269.56,192.0,280.03
HGST_20HUH721212ALN604,LSTM,44,val,disk_opt,0.171,13,48,99,9,966,160,975,70,0.185714,0.08125,0.113043,0.009231,0.213115,168.75,95.0,193.67
HGST_20HUH721212ALN604,LSTM,44,test,row_opt,0.041,10,101,51,59,918,162,977,170,0.058824,0.061728,0.060241,0.060389,0.09009,329.93,239.0,322.73
HGST_20HUH721212ALN604,LSTM,44,test,disk_opt,0.171,19,37,106,15,962,162,977,71,0.267606,0.117284,0.16309,0.015353,0.339286,214.3,78.5,319.76
HGST_20HUH721212ALN604,LSTM,45,val,row_opt,0.031,18,104,38,70,905,160,975,192,0.09375,0.1125,0.102273,0.071795,0.147541,289.75,212.0,262.58
HGST_20HUH721212ALN604,LSTM,45,val,disk_opt,0.183,15,33,112,9,966,160,975,57,0.263158,0.09375,0.138249,0.009231,0.3125,128.88,66.0,161.87
HGST_20HUH721212ALN604,LSTM,45,test,row_opt,0.031,12,105,45,83,894,162,977,200,0.06,0.074074,0.066298,0.084954,0.102564,325.03,227.0,309.7
