dataset,model,seed,burden,n_alarmed,n_fail,ear,within_5,recall_5,within_7,recall_7,within_10,recall_10,within_15,recall_15,within_30,recall_30,within_60,recall_60,within_90,recall_90,within_180,recall_180,within_365,recall_365
HGST,LGBM,42,0.01,14,162,0.009657594381035996,0.0,0.0,0.07142857142857142,0.006172839506172839,0.14285714285714285,0.012345679012345678,0.21428571428571427,0.018518518518518517,0.2857142857142857,0.024691358024691357,0.42857142857142855,0.037037037037037035,0.5,0.043209876543209874,0.6428571428571429,0.05555555555555555,0.9285714285714286,0.08024691358024691
HGST,LGBM,42,0.05,45,162,0.046532045654082525,0.06666666666666667,0.018518518518518517,0.06666666666666667,0.018518518518518517,0.08888888888888889,0.024691358024691357,0.2,0.05555555555555555,0.24444444444444444,0.06790123456790123,0.37777777777777777,0.10493827160493827,0.4666666666666667,0.12962962962962962,0.6666666666666666,0.18518518518518517,0.8,0.2222222222222222
HGST,LGBM,43,0.01,14,162,0.00877963125548727,0.14285714285714285,0.012345679012345678,0.21428571428571427,0.018518518518518517,0.2857142857142857,0.024691358024691357,0.5,0.043209876543209874,0.5,0.043209876543209874,0.5714285714285714,0.04938271604938271,0.5714285714285714,0.04938271604938271,0.7857142857142857,0.06790123456790123,0.9285714285714286,0.08024691358024691
HGST,LGBM,43,0.05,46,162,0.04916593503072871,0.10869565217391304,0.030864197530864196,0.13043478260869565,0.037037037037037035,0.15217391304347827,0.043209876543209874,0.15217391304347827,0.043209876543209874,0.1956521739130435,0.05555555555555555,0.32608695652173914,0.09259259259259259,0.391304347826087,0.1111111111111111,0.5869565217391305,0.16666666666666666,0.8260869565217391,0.2345679012345679
HGST,LGBM,44,0.01,20,162,0.009657594381035996,0.05,0.006172839506172839,0.15,0.018518518518518517,0.25,0.030864197530864196,0.45,0.05555555555555555,0.45,0.05555555555555555,0.6,0.07407407407407407,0.65,0.08024691358024691,0.75,0.09259259259259259,0.95,0.11728395061728394
HGST,LGBM,44,0.05,51,162,0.04916593503072871,0.0784313725490196,0.024691358024691357,0.09803921568627451,0.030864197530864196,0.17647058823529413,0.05555555555555555,0.23529411764705882,0.07407407407407407,0.29411764705882354,0.09259259259259259,0.39215686274509803,0.12345679012345678,0.5098039215686274,0.16049382716049382,0.7058823529411765,0.2222222222222222,0.8823529411764706,0.2777777777777778
HGST,LGBM,45,0.01,14,162,0.00877963125548727,0.07142857142857142,0.006172839506172839,0.14285714285714285,0.012345679012345678,0.21428571428571427,0.018518518518518517,0.21428571428571427,0.018518518518518517,0.35714285714285715,0.030864197530864196,0.5714285714285714,0.04938271604938271,0.5714285714285714,0.04938271604938271,0.7857142857142857,0.06790123456790123,1.0,0.08641975308641975
HGST,LGBM,45,0.05,49,162,0.04916593503072871,0.10204081632653061,0.030864197530864196,0.12244897959183673,0.037037037037037035,0.20408163265306123,0.06172839506172839,0.24489795918367346,0.07407407407407407,0.30612244897959184,0.09259259259259259,0.40816326530612246,0.12345679012345678,0.46938775510204084,0.1419753086419753,0.673469387755102,0.2037037037037037,0.8979591836734694,0.2716049382716049
HGST,LGBM,46,0.05,45,162,0.04916593503072871,0.1111111111111111,0.030864197530864196,0.15555555555555556,0.043209876543209874,0.2,0.05555555555555555,0.28888888888888886,0.08024691358024691,0.37777777777777777,0.10493827160493827,0.4888888888888889,0.13580246913580246,0.5555555555555556,0.15432098765432098,0.6666666666666666,0.18518518518518517,0.8222222222222222,0.22839506172839505
HGST,LGBM,47,0.01,15,162,0.009657594381035996,0.13333333333333333,0.012345679012345678,0.26666666666666666,0.024691358024691357,0.4,0.037037037037037035,0.4,0.037037037037037035,0.4666666666666667,0.043209876543209874,0.4666666666666667,0.043209876543209874,0.5333333333333333,0.04938271604938271,0.8,0.07407407407407407,0.9333333333333333,0.08641975308641975
