dataset,model,n_pos_month,n_neg_month,tau_month,tau_global,j_month,tpr_month,fpr_month,j_at_global,rec_global,rec_at_month
HGST,LGBM,162,88742,0.0014891290324394086,0.01568515164373548,0.8376546409608545,0.9074074074074074,0.06975276644655293,0.5553029158462136,0.12345679012345678,0.08641975308641975
HGST,XGB,162,88742,0.004111829402435829,0.07893018264543566,0.863170973366822,0.9259259259259259,0.06275495255910392,0.37808464598860725,0.16049382716049382,0.09259259259259259
HGST,LSTM,162,88742,0.002256230462970635,0.08858667904100823,0.792948402791168,0.8580246913580247,0.06507628856685672,0.33567484156457433,0.1419753086419753,0.043209876543209874
HGST,GRU,162,88742,0.003498320935775036,0.1770599351226898,0.8112551825224517,0.8703703703703703,0.059115187847918686,0.23903917890981513,0.16666666666666666,0.06790123456790123
Seagate,LGBM,225,123743,0.002842065516274511,0.0018329807108324356,0.6755454629532356,0.7111111111111111,0.0355656481578756,0.6755371302708929,0.3111111111111111,0.3111111111111111
Seagate,XGB,225,123743,0.005424201813838024,0.007322538337604534,0.6879173771445657,0.72,0.03208262285543425,0.676475311285846,0.32,0.31555555555555553
Seagate,LSTM,225,123743,0.004406667430301786,0.012451970847350318,0.6294117826642495,0.6711111111111111,0.04169932844686164,0.6105364613217179,0.28,0.21333333333333335
Seagate,GRU,225,123743,0.004722646768802954,0.08077336398796711,0.6460018658743435,0.6844444444444444,0.03844257857010094,0.5023189459875171,0.3333333333333333,0.26222222222222225
Toshiba,LGBM,209,248588,0.0008171103315457204,0.001053310445370937,0.6248764216466853,0.6411483253588517,0.016271903712166316,0.6060279751904787,0.21052631578947367,0.20095693779904306
Toshiba,XGB,209,248588,0.0008557183144940002,0.002976351441631319,0.6608961673907435,0.722488038277512,0.06159187088676847,0.6160157160946461,0.23923444976076555,0.13875598086124402
Toshiba,LSTM,209,248588,0.0012669424629259062,0.005680492161728429,0.6492443675948744,0.69377990430622,0.04453553671134568,0.6059049453899356,0.20095693779904306,0.12440191387559808
Toshiba,GRU,209,248588,0.0017911536074332302,0.007847599703514606,0.6600155380940836,0.6889952153110048,0.02897967721692117,0.613481402290279,0.215311004784689,0.1339712918660287
