ds,model,seed,budget,crit,thr,row_rec,row_far,OT,E,M,CE,CN,recall,precision,far,mlt
HGST,LGBM,42,0.001,row,0.094,0.10240202275600506,0.0015324834172272663,8,51,103,29,948,0.04938271604938271,0.09090909090909091,0.02968270214943705,143.0
HGST,LGBM,42,0.005,row,0.021,0.30467762326169406,0.0052443900832666885,17,83,62,57,920,0.10493827160493827,0.10828025477707007,0.05834186284544524,156.0
HGST,LGBM,42,0.01,row,0.010000000000000002,0.42709650231774127,0.00888027473302912,18,95,49,61,916,0.1111111111111111,0.10344827586206896,0.062436028659160696,163.0
HGST,LGBM,42,0.01,op,0.812,0.04403708386009271,0.00047683116149974125,10,27,125,12,965,0.06172839506172839,0.20408163265306123,0.012282497441146366,105.0
HGST,LGBM,42,0.02,row,0.006,0.561314791403287,0.01794383026767653,15,108,39,77,900,0.09259259259259259,0.075,0.07881269191402251,241.0
HGST,LGBM,42,0.02,op,0.631,0.06700379266750948,0.0008193065813614339,11,34,117,19,958,0.06790123456790123,0.171875,0.019447287615148412,110.0
HGST,LGBM,42,0.05,row,0.003,0.7631689844079225,0.04891151150209343,13,133,16,152,825,0.08024691358024691,0.0436241610738255,0.1555783009211873,389.5
HGST,LGBM,42,0.05,op,0.035,0.168141592920354,0.0022490473726301924,12,60,90,44,933,0.07407407407407407,0.10344827586206896,0.04503582395087001,139.0
HGST,LGBM,43,0.001,row,0.047,0.123472397808681,0.0015934515688949523,15,50,97,27,950,0.09259259259259259,0.16304347826086957,0.027635619242579325,99.0
HGST,LGBM,43,0.005,row,0.018000000000000002,0.3107880320269701,0.00476078468269276,9,85,68,44,933,0.05555555555555555,0.06521739130434782,0.04503582395087001,166.0
HGST,LGBM,43,0.005,op,0.856,0.026337968815844923,0.0004030672249141459,6,14,142,10,967,0.037037037037037035,0.2,0.01023541453428864,78.0
HGST,LGBM,43,0.01,row,0.012,0.47050147492625366,0.008858070282730396,16,99,47,57,920,0.09876543209876543,0.09302325581395349,0.05834186284544524,229.0
HGST,LGBM,43,0.01,op,0.385,0.03813737884534345,0.0005505950980853366,7,22,133,14,963,0.043209876543209874,0.16279069767441862,0.014329580348004094,81.0
HGST,LGBM,43,0.02,row,0.006,0.5347661188369153,0.015746342381333208,16,108,38,79,898,0.09876543209876543,0.07881773399014778,0.08085977482088025,244.0
HGST,LGBM,43,0.02,op,0.08700000000000001,0.09502739148756847,0.0013883426635931692,12,43,107,23,954,0.07407407407407407,0.15384615384615385,0.02354145342886387,133.0
HGST,LGBM,43,0.05,row,0.003,0.7671723556679308,0.04907936209248718,13,133,16,151,826,0.08024691358024691,0.04377104377104377,0.15455475946775846,370.5
HGST,LGBM,43,0.05,op,0.015,0.3691529709228824,0.005514230606388484,12,93,57,44,933,0.07407407407407407,0.08053691275167785,0.04503582395087001,164.0
HGST,LGBM,44,0.001,row,0.14100000000000001,0.1000842815002107,0.0008949522510231923,15,48,99,25,952,0.09259259259259259,0.17045454545454544,0.0255885363357216,110.0
HGST,LGBM,44,0.005,row,0.023,0.2975136957437842,0.005085195465023286,14,84,64,48,929,0.08641975308641975,0.0958904109589041,0.04912998976458546,166.0
HGST,LGBM,44,0.01,row,0.013000000000000001,0.43742098609355246,0.00997092722397328,15,102,45,62,915,0.09259259259259259,0.08379888268156424,0.06345957011258956,229.0
HGST,LGBM,44,0.01,op,0.999,0.04403708386009271,0.00014828056640165592,17,15,130,9,968,0.10493827160493827,0.4146341463414634,0.009211873080859774,18.5
HGST,LGBM,44,0.02,row,0.007,0.5429835651074589,0.01859378087218328,13,110,39,88,889,0.08024691358024691,0.061611374407582936,0.09007164790174002,244.0
HGST,LGBM,44,0.02,op,0.406,0.07121786767804467,0.000499411958413699,15,36,111,20,957,0.09259259259259259,0.2112676056338028,0.02047082906857728,82.0
HGST,LGBM,44,0.05,row,0.004,0.6986936367467341,0.03936171614056546,12,126,24,129,848,0.07407407407407407,0.0449438202247191,0.13203684749232344,322.0
HGST,LGBM,44,0.05,op,0.025,0.23135271807838179,0.0033069577080491134,15,72,75,41,936,0.09259259259259259,0.1171875,0.04196519959058342,147.0
HGST,LGBM,45,0.001,row,0.156,0.13126843657817108,0.0013702780260620032,18,60,84,44,933,0.1111111111111111,0.14754098360655737,0.04503582395087001,134.0
HGST,LGBM,45,0.005,row,0.04,0.33185840707964603,0.004597073905066566,22,88,52,59,918,0.13580246913580246,0.1301775147928994,0.06038894575230297,161.0
HGST,LGBM,45,0.01,row,0.024,0.4416350611040877,0.009477913158018535,20,99,43,74,903,0.12345679012345678,0.10362694300518134,0.07574206755373593,229.0
HGST,LGBM,45,0.01,op,0.998,0.045512010113780026,0.00020811967822364398,12,21,129,6,971,0.07407407407407407,0.3076923076923077,0.006141248720573183,68.0
HGST,LGBM,45,0.02,row,0.011,0.5836493889591234,0.020692289598720423,16,117,29,110,867,0.09876543209876543,0.06584362139917696,0.11258955987717502,265.0
HGST,LGBM,45,0.02,op,0.555,0.07501053518752634,0.0005122077433316084,14,31,117,19,958,0.08641975308641975,0.21875,0.019447287615148412,124.0
HGST,LGBM,45,0.05,row,0.005,0.7861356932153393,0.05288535541233476,16,135,11,167,810,0.09876543209876543,0.050314465408805034,0.17093142272262027,392.0
HGST,LGBM,45,0.05,op,0.039,0.3645174884112937,0.004807075316366373,21,89,52,60,917,0.12962962962962962,0.12352941176470589,0.06141248720573183,161.0
HGST,LGBM,46,0.001,row,0.178,0.10872313527180784,0.0015847955967446018,16,55,91,44,933,0.09876543209876543,0.1391304347826087,0.04503582395087001,130.0
HGST,LGBM,46,0.005,row,0.052000000000000005,0.2939317319848293,0.004992990544291293,19,87,56,75,902,0.11728395061728394,0.10497237569060773,0.0767656090071648,163.5
HGST,LGBM,46,0.01,row,0.032,0.44058154235145386,0.010130874535447146,20,102,40,88,889,0.12345679012345678,0.09523809523809523,0.09007164790174002,212.0
HGST,LGBM,46,0.01,op,0.976,0.039190897597977246,0.00019871101284282824,14,19,129,8,969,0.08641975308641975,0.34146341463414637,0.008188331627430911,39.0
HGST,LGBM,46,0.02,row,0.014000000000000002,0.5722713864306784,0.020694547678411817,16,117,29,109,868,0.09876543209876543,0.06611570247933884,0.11156601842374617,265.0
HGST,LGBM,46,0.02,op,0.584,0.07121786767804467,0.0007387684057016512,18,27,117,24,953,0.1111111111111111,0.2608695652173913,0.02456499488229273,53.0
HGST,LGBM,46,0.05,row,0.005,0.7774968394437421,0.055125746812814604,17,134,11,172,805,0.10493827160493827,0.05263157894736842,0.17604912998976457,392.0
HGST,LGBM,46,0.05,op,0.08,0.16308470290771176,0.002479747847767794,21,65,76,62,915,0.12962962962962962,0.14189189189189189,0.06345957011258956,117.5
HGST,LGBM,47,0.001,row,0.185,0.11820480404551201,0.0010624264948017124,14,56,92,27,950,0.08641975308641975,0.14432989690721648,0.027635619242579325,133.5
HGST,LGBM,47,0.005,row,0.027000000000000003,0.2690686894226717,0.004136801994637061,20,80,62,44,933,0.12345679012345678,0.1388888888888889,0.04503582395087001,157.5
HGST,LGBM,47,0.01,row,0.018000000000000002,0.4310998735777497,0.009631086230418215,16,101,45,61,916,0.09876543209876543,0.0898876404494382,0.062436028659160696,192.0
HGST,LGBM,47,0.02,row,0.008,0.5465655288664139,0.018801524203791692,15,109,38,91,886,0.09259259259259259,0.06976744186046512,0.0931422722620266,244.0
