serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,category,is_hit,is_fp_early,is_fp_cens,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed,threshold_used
ZCH016HE,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.07065615803003311,,2019-04-27,,0.312
ZCH01MGW,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.004869741387665272,,2017-10-30,,0.312
ZCH01MV4,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.002485881792381406,,2019-04-12,,0.312
ZCH01V00,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.004211422521620989,,2018-02-12,,0.312
ZCH01V42,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.002113048452883959,,2018-02-12,,0.312
ZCH01V78,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.002971384208649397,,2017-11-09,,0.312
ZCH01VD8,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0022750997450202703,,2018-02-12,,0.312
ZCH01ZFG,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0028813837561756372,,2018-02-12,,0.312
ZCH01ZKC,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.029017191380262375,,2018-02-12,,0.312
ZCH0271S,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0024436635430902243,,2018-03-17,,0.312
ZCH027W4,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0015732282772660255,,2019-04-11,,0.312
ZCH028CT,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001741759479045868,,2018-06-18,,0.312
ZCH028J7,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.004613417666405439,,2017-11-09,,0.312
ZCH02AYF,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.019479399546980858,,2017-11-09,,0.312
ZCH02TES,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0027882857248187065,,2018-02-12,,0.312
ZCH02Z5J,1,0,,2019-03-29,,Missed,0,0,0,0,1,0,0.001660649897530675,,2018-02-12,,0.312
ZCH02ZTL,1,1,2019-12-25,2021-06-19,542.0,Early,0,1,0,1,0,0,0.3959917724132538,0.33546605706214905,2018-02-12,681.0,0.312
ZCH030T1,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001974537968635559,,2018-02-12,,0.312
ZCH036VN,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0019503440707921982,,2018-02-12,,0.312
ZCH039JD,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0026685476768761873,,2018-07-01,,0.312
ZCH03B9D,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0030826604925096035,,2018-02-12,,0.312
ZCH03BB5,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0037273794878274202,,2018-02-12,,0.312
ZCH03BT6,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0025314532686024904,,2018-02-12,,0.312
ZCH03C9C,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0017893440090119839,,2018-02-12,,0.312
ZCH03CEE,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0028419906739145517,,2018-02-12,,0.312
ZCH03CFS,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0023741687182337046,,2018-02-12,,0.312
ZCH03K2S,1,0,,2017-12-25,,Missed,0,0,0,0,1,0,0.008331215009093285,,2017-11-09,,0.312
ZCH03T80,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.003838133066892624,,2018-01-13,,0.312
ZCH03TMJ,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0021059797145426273,,2018-07-12,,0.312
ZCH03TZV,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00338492332957685,,2018-01-13,,0.312
ZCH040KJ,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0021157527808099985,,2017-11-14,,0.312
ZCH041CP,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0027522160671651363,,2018-02-12,,0.312
ZCH0447E,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.005580057390034199,,2017-11-09,,0.312
ZCH04CGB,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001620872993953526,,2018-04-13,,0.312
ZCH04G1T,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.000666463456582278,,2018-01-05,,0.312
ZCH04SJG,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.016574343666434288,,2017-11-14,,0.312
ZCH04XCN,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016552999150007963,,2019-03-21,,0.312
ZCH04XJL,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0020624303724616766,,2018-02-24,,0.312
ZCH04Y9C,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.08382590860128403,,2017-11-14,,0.312
ZCH04YA5,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0028490761760622263,,2018-02-12,,0.312
ZCH04Z2K,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0019471007399260998,,2017-11-14,,0.312
ZCH04ZSX,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.024530185386538506,,2019-04-16,,0.312
ZCH050Z2,0,1,2019-12-11,,,Censored Early,0,0,1,1,0,0,0.3869395852088928,0.3676675856113434,2017-10-30,772.0,0.312
ZCH053C1,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.004928769078105688,,2017-11-09,,0.312
ZCH053S1,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.007075302302837372,,2017-11-09,,0.312
ZCH053V0,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.004656665958464146,,2017-12-20,,0.312
ZCH054W4,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.004006522241979837,,2018-04-27,,0.312
ZCH0569G,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.005859010852873325,,2017-11-09,,0.312
ZCH056AP,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0008778198389336467,,2017-12-21,,0.312
ZCH056CW,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0006779939867556095,,2017-12-21,,0.312
ZCH057V6,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0013157861540094018,,2017-12-20,,0.312
ZCH059QH,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.3057600259780884,,2018-01-05,,0.312
ZCH05B7V,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.002461925847455859,,2018-02-12,,0.312
ZCH05BYT,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.293306440114975,,2017-10-21,,0.312
ZCH05CK1,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.002194616012275219,,2018-01-25,,0.312
ZCH05CM7,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0011357886251062155,,2017-12-21,,0.312
ZCH05DWC,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.002224638592451811,,2017-11-14,,0.312
ZCH05DWK,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0053350660018622875,,2017-11-09,,0.312
ZCH05EMZ,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0006536046857945621,,2018-01-05,,0.312
ZCH05GBJ,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00873886700719595,,2017-10-21,,0.312
