serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,category,is_hit,is_fp_early,is_fp_cens,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed,threshold_used
ZCH016HE,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016662658777354992,,2019-04-27,,0.137
ZCH01MGW,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001630538702858364,,2017-10-30,,0.137
ZCH01MV4,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001340460315836816,,2019-04-12,,0.137
ZCH01V00,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001612213110268683,,2018-02-12,,0.137
ZCH01V42,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001612213110268683,,2018-02-12,,0.137
ZCH01V78,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-11-09,,0.137
ZCH01VD8,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001612213110268683,,2018-02-12,,0.137
ZCH01ZFG,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001612213110268683,,2018-02-12,,0.137
ZCH01ZKC,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001828823546667635,,2018-02-12,,0.137
ZCH0271S,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2018-03-17,,0.137
ZCH027W4,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0013724924515626973,,2019-04-11,,0.137
ZCH028CT,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0013226035084349097,,2018-06-18,,0.137
ZCH028J7,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-11-09,,0.137
ZCH02AYF,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016730030925459398,,2017-11-09,,0.137
ZCH02TES,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2018-02-12,,0.137
ZCH02Z5J,1,0,,2019-03-29,,Missed,0,0,0,0,1,0,0.0012917379220788224,,2018-02-12,,0.137
ZCH02ZTL,1,0,,2021-06-19,,Missed,0,0,0,0,1,0,0.1018456586294915,,2018-02-12,,0.137
ZCH030T1,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001612213110268683,,2018-02-12,,0.137
ZCH036VN,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001612213110268683,,2018-02-12,,0.137
ZCH039JD,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.007406282322747822,,2018-07-01,,0.137
ZCH03B9D,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2018-02-12,,0.137
ZCH03BB5,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001612213110268683,,2018-02-12,,0.137
ZCH03BT6,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001612213110268683,,2018-02-12,,0.137
ZCH03C9C,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001612213110268683,,2018-02-12,,0.137
ZCH03CEE,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2018-02-12,,0.137
ZCH03CFS,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2018-02-12,,0.137
ZCH03K2S,1,0,,2017-12-25,,Missed,0,0,0,0,1,0,0.0013619639402426302,,2017-11-09,,0.137
ZCH03T80,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001612213110268683,,2018-01-13,,0.137
ZCH03TMJ,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012917379220788224,,2018-07-12,,0.137
ZCH03TZV,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2018-01-13,,0.137
ZCH040KJ,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001612213110268683,,2017-11-14,,0.137
ZCH041CP,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2018-02-12,,0.137
ZCH0447E,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-11-09,,0.137
ZCH04CGB,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012917379220788224,,2018-04-13,,0.137
ZCH04G1T,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2018-01-05,,0.137
ZCH04SJG,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-11-14,,0.137
ZCH04XCN,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0013226035084349097,,2019-03-21,,0.137
ZCH04XJL,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2018-02-24,,0.137
ZCH04Y9C,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00647046085553688,,2017-11-14,,0.137
ZCH04YA5,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2018-02-12,,0.137
ZCH04Z2K,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001612213110268683,,2017-11-14,,0.137
ZCH04ZSX,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.07565782142491596,,2019-04-16,,0.137
ZCH050Z2,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.015027314511054863,,2017-10-30,,0.137
ZCH053C1,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-11-09,,0.137
ZCH053S1,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.03870700988477343,,2017-11-09,,0.137
ZCH053V0,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0032503221859627907,,2017-12-20,,0.137
ZCH054W4,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001692023360851578,,2018-04-27,,0.137
ZCH0569G,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-11-09,,0.137
ZCH056AP,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-12-21,,0.137
ZCH056CW,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001612213110268683,,2017-12-21,,0.137
ZCH057V6,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-12-20,,0.137
ZCH059QH,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.010452285808403853,,2018-01-05,,0.137
ZCH05B7V,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001612213110268683,,2018-02-12,,0.137
ZCH05BYT,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.016692320296451086,,2017-10-21,,0.137
ZCH05CK1,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2018-01-25,,0.137
ZCH05CM7,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-12-21,,0.137
ZCH05DWC,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-11-14,,0.137
ZCH05DWK,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-11-09,,0.137
ZCH05EMZ,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2018-01-05,,0.137
ZCH05GBJ,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016730030925459398,,2017-10-21,,0.137
ZCH05GCR,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-12-20,,0.137
ZCH05JHB,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-11-09,,0.137
ZCH05JZ0,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016730030925459398,,2017-11-09,,0.137
ZCH05L91,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016730030925459398,,2017-11-09,,0.137
ZCH05NYE,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-11-09,,0.137
ZCH05PJ5,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2018-01-25,,0.137
ZCH05RJH,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012843828139149729,,2019-04-05,,0.137
ZCH05WKW,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2018-01-13,,0.137
ZCH05XCK,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2018-01-25,,0.137
ZCH060HW,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-10-30,,0.137
ZCH060KB,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-10-30,,0.137
ZCH060L8,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-12-21,,0.137
ZCH060PL,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-11-14,,0.137
ZCH060SS,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2018-01-05,,0.137
ZCH060TK,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-12-20,,0.137
ZCH060W4,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.011618824279039366,,2017-11-09,,0.137
ZCH060X6,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.012956344390048224,,2017-10-30,,0.137
ZCH061AA,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-11-06,,0.137
ZCH0626R,0,1,2019-04-09,,,Censored Early,0,0,1,1,0,0,0.9987598397789338,0.9978460919277219,2018-01-06,458.0,0.137
ZCH0655R,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016730030925459398,,2017-10-30,,0.137
ZCH0657H,1,0,,2019-11-15,,Missed,0,0,0,0,1,0,0.08829808402193617,,2017-10-30,,0.137
ZCH065A1,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2018-02-12,,0.137
ZCH065AT,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016730030925459398,,2017-10-30,,0.137
ZCH065DF,1,0,,2018-08-02,,Missed,0,0,0,0,1,0,0.08694203550389279,,2017-10-30,,0.137
ZCH065FR,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.022374029135280624,,2017-10-30,,0.137
ZCH065MN,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-11-14,,0.137
ZCH065N3,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-11-14,,0.137
ZCH065S8,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016730030925459398,,2017-10-30,,0.137
ZCH065SX,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-12-20,,0.137
ZCH065X8,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016730030925459398,,2017-10-30,,0.137
ZCH065XB,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016730030925459398,,2018-01-17,,0.137
ZCH065ZG,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001612213110268683,,2018-02-12,,0.137
ZCH0661H,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2018-01-06,,0.137
ZCH0664K,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-11-09,,0.137
ZCH0668M,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-10-30,,0.137
ZCH066AE,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001630538702858364,,2017-10-30,,0.137
ZCH066AV,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.009748092513280704,,2017-11-09,,0.137
ZCH066DY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016730030925459398,,2017-10-30,,0.137
ZCH066ET,1,0,,2018-05-13,,Missed,0,0,0,0,1,0,0.008159746001450904,,2017-11-09,,0.137
ZCH066KR,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016730030925459398,,2017-10-30,,0.137
ZCH066KX,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001612213110268683,,2017-10-30,,0.137
ZCH066MF,0,1,2023-06-15,,,Censored Early,0,0,1,1,0,0,0.6761817817658095,0.6761817817658095,2017-09-06,2108.0,0.137
ZCH066PW,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-12-20,,0.137
ZCH066QP,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-12-21,,0.137
ZCH066TQ,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-11-14,,0.137
ZCH066YQ,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-11-09,,0.137
ZCH0670W,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016730030925459398,,2017-11-09,,0.137
ZCH067AY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016730030925459398,,2017-11-09,,0.137
ZCH067C3,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-10-30,,0.137
ZCH067DR,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-11-14,,0.137
ZCH067NS,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0017360862212207242,,2017-10-30,,0.137
ZCH0681M,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-10-30,,0.137
ZCH0688C,1,0,,2018-04-14,,Missed,0,0,0,0,1,0,0.0012745293368052856,,2018-01-21,,0.137
ZCH068C0,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016730030925459398,,2017-11-09,,0.137
ZCH068E0,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-10-21,,0.137
ZCH068HS,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016730030925459398,,2018-01-13,,0.137
ZCH068KT,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-11-14,,0.137
ZCH068MS,0,1,2020-03-29,,,Censored Early,0,0,1,1,0,0,0.753297375995304,0.753297375995304,2017-09-06,935.0,0.137
ZCH068T1,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-11-09,,0.137
ZCH068TE,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.010014387282904817,,2017-11-09,,0.137
ZCH0693B,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2018-01-05,,0.137
ZCH0695G,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-11-14,,0.137
ZCH06978,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0014653538043844783,,2018-05-08,,0.137
ZCH06998,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-10-30,,0.137
ZCH069C5,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016730030925459398,,2017-10-30,,0.137
ZCH069CE,1,0,,2018-10-03,,Missed,0,0,0,0,1,0,0.0012917379220788224,,2017-10-21,,0.137
ZCH069CG,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001630538702858364,,2017-10-30,,0.137
ZCH06CKC,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-10-30,,0.137
ZCH06CMY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-12-20,,0.137
ZCH06CNJ,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.010793743085359995,,2017-10-30,,0.137
ZCH06CV9,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-11-14,,0.137
ZCH06CXP,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-12-20,,0.137
ZCH06D22,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-10-21,,0.137
ZCH06D48,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001612213110268683,,2017-11-14,,0.137
ZCH06D4E,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-12-20,,0.137
ZCH06D8C,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-11-14,,0.137
ZCH06DAF,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001612213110268683,,2017-10-30,,0.137
ZCH06DE3,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-12-20,,0.137
ZCH06DE5,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-10-30,,0.137
ZCH06DFH,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016246729978128813,,2017-10-30,,0.137
ZCH06DFS,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001630538702858364,,2017-10-30,,0.137
ZCH06DHK,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001630538702858364,,2017-10-30,,0.137
