serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,category,is_hit,is_fp_early,is_fp_cens,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed,threshold_used
ZCH016HE,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.06641479581594467,,2019-04-27,,0.287
ZCH01MGW,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.006524479947984219,,2017-10-30,,0.287
ZCH01MV4,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.004330050200223923,,2019-04-12,,0.287
ZCH01V00,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0036997594870626926,,2018-02-12,,0.287
ZCH01V42,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00257427548058331,,2018-02-12,,0.287
ZCH01V78,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.002749722683802247,,2017-11-09,,0.287
ZCH01VD8,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.002627016045153141,,2018-02-12,,0.287
ZCH01ZFG,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.002135763643309474,,2018-02-12,,0.287
ZCH01ZKC,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.006174484733492136,,2018-02-12,,0.287
ZCH0271S,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.003608069382607937,,2018-03-17,,0.287
ZCH027W4,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.002418938558548689,,2019-04-11,,0.287
ZCH028CT,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00586101645603776,,2018-06-18,,0.287
ZCH028J7,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.005328696221113205,,2017-11-09,,0.287
ZCH02AYF,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0111403102055192,,2017-11-09,,0.287
ZCH02TES,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.002754284767434001,,2018-02-12,,0.287
ZCH02Z5J,1,0,,2019-03-29,,Missed,0,0,0,0,1,0,0.0022155041806399822,,2018-02-12,,0.287
ZCH02ZTL,1,1,2019-12-26,2021-06-19,541.0,Early,0,1,0,1,0,0,0.39306601881980896,0.32307878136634827,2018-02-12,682.0,0.287
ZCH030T1,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0023157463874667883,,2018-02-12,,0.287
ZCH036VN,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0021960302256047726,,2018-02-12,,0.287
ZCH039JD,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.006418224889785051,,2018-07-01,,0.287
ZCH03B9D,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.003089655190706253,,2018-02-12,,0.287
ZCH03BB5,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.004695919808000326,,2018-02-12,,0.287
ZCH03BT6,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0026667604688555002,,2018-02-12,,0.287
ZCH03C9C,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.002547638490796089,,2018-02-12,,0.287
ZCH03CEE,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.003079985501244664,,2018-02-12,,0.287
ZCH03CFS,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0030214982107281685,,2018-02-12,,0.287
ZCH03K2S,1,0,,2017-12-25,,Missed,0,0,0,0,1,0,0.017295287922024727,,2017-11-09,,0.287
ZCH03T80,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.004510531201958656,,2018-01-13,,0.287
ZCH03TMJ,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0022304165177047253,,2018-07-12,,0.287
ZCH03TZV,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.003423219546675682,,2018-01-13,,0.287
ZCH040KJ,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.002703439211472869,,2017-11-14,,0.287
ZCH041CP,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0033962249290198088,,2018-02-12,,0.287
ZCH0447E,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.004336965270340443,,2017-11-09,,0.287
ZCH04CGB,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0027348839212208986,,2018-04-13,,0.287
ZCH04G1T,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0018191514536738396,,2018-01-05,,0.287
ZCH04SJG,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.039823368191719055,,2017-11-14,,0.287
ZCH04XCN,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.002309246687218547,,2019-03-21,,0.287
ZCH04XJL,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00763314962387085,,2018-02-24,,0.287
ZCH04Y9C,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.04328754171729088,,2017-11-14,,0.287
ZCH04YA5,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.003281812882050872,,2018-02-12,,0.287
ZCH04Z2K,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0027877262327820063,,2017-11-14,,0.287
ZCH04ZSX,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.020412223413586617,,2019-04-16,,0.287
ZCH050Z2,0,1,2019-12-12,,,Censored Early,0,0,1,1,0,0,0.45885202288627625,0.31555628776550293,2017-10-30,773.0,0.287
ZCH053C1,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0040097907185554504,,2017-11-09,,0.287
ZCH053S1,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.007855163887143135,,2017-11-09,,0.287
ZCH053V0,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0020963356364518404,,2017-12-20,,0.287
ZCH054W4,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0032318485900759697,,2018-04-27,,0.287
ZCH0569G,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.005160543601959944,,2017-11-09,,0.287
ZCH056AP,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.002791088540107012,,2017-12-21,,0.287
ZCH056CW,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0015803944552317262,,2017-12-21,,0.287
ZCH057V6,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.002632844727486372,,2017-12-20,,0.287
ZCH059QH,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.2300902158021927,,2018-01-05,,0.287
ZCH05B7V,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0033297024201601744,,2018-02-12,,0.287
ZCH05BYT,0,1,2019-11-18,,,Censored Early,0,0,1,1,0,0,0.3069171607494354,0.2882402837276459,2017-10-21,758.0,0.287
ZCH05CK1,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.002472551306709647,,2018-01-25,,0.287
ZCH05CM7,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.002027304144576192,,2017-12-21,,0.287
ZCH05DWC,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0031932054553180933,,2017-11-14,,0.287
ZCH05DWK,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.004479961469769478,,2017-11-09,,0.287
ZCH05EMZ,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.002335750497877598,,2018-01-05,,0.287
ZCH05GBJ,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.010908483527600765,,2017-10-21,,0.287
ZCH05GCR,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0017224523471668363,,2017-12-20,,0.287
ZCH05JHB,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.004056398756802082,,2017-11-09,,0.287
ZCH05JZ0,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.007405729964375496,,2017-11-09,,0.287
ZCH05L91,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.017560875043272972,,2017-11-09,,0.287
ZCH05NYE,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.002493040869012475,,2017-11-09,,0.287
ZCH05PJ5,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0019271483179181814,,2018-01-25,,0.287
ZCH05RJH,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.008736410178244114,,2019-04-05,,0.287
ZCH05WKW,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.004948957823216915,,2018-01-13,,0.287
ZCH05XCK,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0035441922955214977,,2018-01-25,,0.287
ZCH060HW,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00394426379352808,,2017-10-30,,0.287
ZCH060KB,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00397014245390892,,2017-10-30,,0.287
ZCH060L8,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0018773789051920176,,2017-12-21,,0.287
ZCH060PL,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.004477722570300102,,2017-11-14,,0.287
ZCH060SS,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0022912146523594856,,2018-01-05,,0.287
ZCH060TK,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.003392609767615795,,2017-12-20,,0.287
ZCH060W4,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.02825843170285225,,2017-11-09,,0.287
ZCH060X6,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.10399672389030457,,2017-10-30,,0.287
ZCH061AA,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.003232745686545968,,2017-11-06,,0.287
ZCH0626R,0,1,2019-04-11,,,Censored Early,0,0,1,1,0,0,0.41514667868614197,0.3124423027038574,2018-01-06,460.0,0.287
ZCH0655R,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.006971301045268774,,2017-10-30,,0.287
ZCH0657H,1,1,2019-02-01,2019-11-15,287.0,Early,0,1,0,1,0,0,0.38815122842788696,0.30707842111587524,2017-10-30,459.0,0.287
ZCH065A1,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.004173558671027422,,2018-02-12,,0.287
ZCH065AT,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.005192440934479237,,2017-10-30,,0.287
ZCH065DF,1,1,2018-08-02,2018-08-02,0.0,On time,1,0,0,0,0,0,0.3482967019081116,0.3482967019081116,2017-10-30,276.0,0.287
ZCH065FR,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.13093377649784088,,2017-10-30,,0.287
ZCH065MN,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.003054340137168765,,2017-11-14,,0.287
ZCH065N3,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.012884976342320442,,2017-11-14,,0.287
ZCH065S8,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.005331092514097691,,2017-10-30,,0.287
ZCH065SX,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00314796413294971,,2017-12-20,,0.287
ZCH065X8,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00578438863158226,,2017-10-30,,0.287
