serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,category,is_hit,is_fp_early,is_fp_cens,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed,threshold_used
ZCH016HE,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.015254206955432892,,2019-04-27,,0.089
ZCH01MGW,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0023652496747672558,,2017-10-30,,0.089
ZCH01MV4,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0021716137416660786,,2019-04-12,,0.089
ZCH01V00,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0018164814682677388,,2018-02-12,,0.089
ZCH01V42,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0015360277611762285,,2018-02-12,,0.089
ZCH01V78,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0021481947042047977,,2017-11-09,,0.089
ZCH01VD8,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001544175436720252,,2018-02-12,,0.089
ZCH01ZFG,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0017726885853335261,,2018-02-12,,0.089
ZCH01ZKC,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.010805918835103512,,2018-02-12,,0.089
ZCH0271S,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0026410270947963,,2018-03-17,,0.089
ZCH027W4,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0018204950029030442,,2019-04-11,,0.089
ZCH028CT,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0033977841958403587,,2018-06-18,,0.089
ZCH028J7,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0021924430038779974,,2017-11-09,,0.089
ZCH02AYF,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.005282200872898102,,2017-11-09,,0.089
ZCH02TES,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001557398121803999,,2018-02-12,,0.089
ZCH02Z5J,1,0,,2019-03-29,,Missed,0,0,0,0,1,0,0.0011302140774205327,,2018-02-12,,0.089
ZCH02ZTL,1,1,2019-12-24,2021-06-19,543.0,Early,0,1,0,1,0,0,0.4585306942462921,0.4065127968788147,2018-02-12,680.0,0.089
ZCH030T1,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0013614167692139745,,2018-02-12,,0.089
ZCH036VN,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0013764203758910298,,2018-02-12,,0.089
ZCH039JD,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.011866425164043903,,2018-07-01,,0.089
ZCH03B9D,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00227047735825181,,2018-02-12,,0.089
ZCH03BB5,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0020043174736201763,,2018-02-12,,0.089
ZCH03BT6,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001391218276694417,,2018-02-12,,0.089
ZCH03C9C,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0015715087065473199,,2018-02-12,,0.089
ZCH03CEE,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016054522711783648,,2018-02-12,,0.089
ZCH03CFS,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0015055319527164102,,2018-02-12,,0.089
ZCH03K2S,1,0,,2017-12-25,,Missed,0,0,0,0,1,0,0.007554695475846529,,2017-11-09,,0.089
ZCH03T80,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0018356344662606716,,2018-01-13,,0.089
ZCH03TMJ,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00225521600805223,,2018-07-12,,0.089
ZCH03TZV,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0018327038269490004,,2018-01-13,,0.089
ZCH040KJ,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0018257744377478957,,2017-11-14,,0.089
ZCH041CP,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0014890932943671942,,2018-02-12,,0.089
ZCH0447E,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0022541668731719255,,2017-11-09,,0.089
ZCH04CGB,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0013193079503253102,,2018-04-13,,0.089
ZCH04G1T,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001923255273140967,,2018-01-05,,0.089
ZCH04SJG,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0018081797752529383,,2017-11-14,,0.089
ZCH04XCN,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0037284702993929386,,2019-03-21,,0.089
ZCH04XJL,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0026410270947963,,2018-02-24,,0.089
ZCH04Y9C,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.009071568958461285,,2017-11-14,,0.089
ZCH04YA5,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001679879380390048,,2018-02-12,,0.089
ZCH04Z2K,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016874164575710893,,2017-11-14,,0.089
ZCH04ZSX,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.06321665644645691,,2019-04-16,,0.089
ZCH050Z2,0,1,2019-12-08,,,Censored Early,0,0,1,1,0,0,0.304530531167984,0.304530531167984,2017-10-30,769.0,0.089
ZCH053C1,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.002495592925697565,,2017-11-09,,0.089
ZCH053S1,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.011766198091208935,,2017-11-09,,0.089
ZCH053V0,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.004867329262197018,,2017-12-20,,0.089
ZCH054W4,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.002002487890422344,,2018-04-27,,0.089
ZCH0569G,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0025332551449537277,,2017-11-09,,0.089
ZCH056AP,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.002059012185782194,,2017-12-21,,0.089
ZCH056CW,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00208427757024765,,2017-12-21,,0.089
ZCH057V6,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.002548636170104146,,2017-12-20,,0.089
ZCH059QH,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.020991971716284752,,2018-01-05,,0.089
ZCH05B7V,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0014062325935810804,,2018-02-12,,0.089
ZCH05BYT,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.029564080759882927,,2017-10-21,,0.089
ZCH05CK1,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0019325726898387074,,2018-01-25,,0.089
ZCH05CM7,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0020149280317127705,,2017-12-21,,0.089
ZCH05DWC,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0018765035783872008,,2017-11-14,,0.089
ZCH05DWK,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0025560217909514904,,2017-11-09,,0.089
ZCH05EMZ,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0017991283675655723,,2018-01-05,,0.089
ZCH05GBJ,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0030834414064884186,,2017-10-21,,0.089
ZCH05GCR,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0022496243473142385,,2017-12-20,,0.089
ZCH05JHB,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.002365033607929945,,2017-11-09,,0.089
ZCH05JZ0,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0058961897157132626,,2017-11-09,,0.089
ZCH05L91,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00609274348244071,,2017-11-09,,0.089
ZCH05NYE,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0023901478853076696,,2017-11-09,,0.089
ZCH05PJ5,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0014702512416988611,,2018-01-25,,0.089
ZCH05RJH,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.004699669778347015,,2019-04-05,,0.089
ZCH05WKW,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.002189815742895007,,2018-01-13,,0.089
ZCH05XCK,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001983382273465395,,2018-01-25,,0.089
ZCH060HW,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0021004066802561283,,2017-10-30,,0.089
ZCH060KB,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.006239260546863079,,2017-10-30,,0.089
ZCH060L8,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0017766933888196945,,2017-12-21,,0.089
ZCH060PL,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0020162975415587425,,2017-11-14,,0.089
ZCH060SS,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0017491449834778905,,2018-01-05,,0.089
ZCH060TK,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0035020201466977596,,2017-12-20,,0.089
ZCH060W4,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.02750691957771778,,2017-11-09,,0.089
ZCH060X6,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.007579080760478973,,2017-10-30,,0.089
ZCH061AA,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.002258986234664917,,2017-11-06,,0.089
ZCH0626R,0,1,2019-04-09,,,Censored Early,0,0,1,1,0,0,0.4883492887020111,0.43595945835113525,2018-01-06,458.0,0.089
ZCH0655R,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0028494936414062977,,2017-10-30,,0.089
ZCH0657H,1,1,2019-01-30,2019-11-15,289.0,Early,0,1,0,1,0,0,0.13346543908119202,0.12205153703689575,2017-10-30,457.0,0.089
ZCH065A1,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0015434978995472193,,2018-02-12,,0.089
ZCH065AT,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.003084304742515087,,2017-10-30,,0.089
ZCH065DF,1,1,2018-07-29,2018-08-02,4.0,On time,1,0,0,0,0,0,0.12873180210590363,0.10685339570045471,2017-10-30,272.0,0.089
ZCH065FR,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.019727908074855804,,2017-10-30,,0.089
ZCH065MN,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0018159592291340232,,2017-11-14,,0.089
ZCH065N3,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0017871377058327198,,2017-11-14,,0.089
ZCH065S8,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0028486617375165224,,2017-10-30,,0.089
ZCH065SX,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0017622193554416299,,2017-12-20,,0.089
ZCH065X8,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0029774068389087915,,2017-10-30,,0.089
ZCH065XB,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.005551825277507305,,2018-01-17,,0.089
ZCH065ZG,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0014052392216399312,,2018-02-12,,0.089
