serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,category,is_hit,is_fp_early,is_fp_cens,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed,threshold_used
2AG61PSY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00047585865831933916,,2019-05-27,,0.214
2AG8AVRY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0004593232006300241,,2019-08-14,,0.214
2AGEGU7Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007913370500318706,,2019-05-27,,0.214
2AGEU1JY,0,1,2025-05-20,,,Censored Early,0,0,1,1,0,0,0.2539326548576355,0.2539326548576355,2019-06-01,2180.0,0.214
2AGG48NY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00037389027420431376,,2019-05-27,,0.214
2AGG7H1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0004208924656268209,,2019-05-27,,0.214
2AGGHGJY,1,0,,2024-11-19,,Missed,0,0,0,0,1,0,0.13763399422168732,,2019-05-16,,0.214
2AGGHLEY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007309821667149663,,2019-06-01,,0.214
2AGGHM0Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0004115455085411668,,2019-05-27,,0.214
2AGGHMUY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0010073469020426273,,2019-05-16,,0.214
2AGGHR1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0014834321336820722,,2019-05-27,,0.214
2AGGHR7Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0004020937194582075,,2019-05-27,,0.214
2AGGL0UY,1,1,2022-02-27,2022-02-27,0.0,On time,1,0,0,0,0,0,0.34754130244255066,0.34754130244255066,2019-05-27,1007.0,0.214
2AGGR3NY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.041384246200323105,,2019-05-27,,0.214
2AGGZNJY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.000704132136888802,,2019-05-27,,0.214
2AGH31BY,1,0,,2023-11-01,,Missed,0,0,0,0,1,0,0.05563841387629509,,2019-05-27,,0.214
2AGH31PY,1,0,,2024-11-18,,Missed,0,0,0,0,1,0,0.06254734843969345,,2019-05-27,,0.214
2AGH33SY,1,1,2025-03-02,2025-05-08,67.0,Early,0,1,0,1,0,0,0.24264538288116455,0.22180353105068207,2019-05-27,2106.0,0.214
2AGH34HY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0712069571018219,,2019-05-27,,0.214
2AGH34PY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016762654995545745,,2019-05-27,,0.214
2AGH35GY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0006718432996422052,,2019-05-27,,0.214
2AGHB9XY,1,0,,2024-12-02,,Missed,0,0,0,0,1,0,0.04591533914208412,,2019-05-27,,0.214
2AGHDYHY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0008319300250150263,,2019-05-27,,0.214
2AGHEP9Y,1,0,,2024-07-26,,Missed,0,0,0,0,1,0,0.02966303564608097,,2019-05-27,,0.214
2AGHGR1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.004041753709316254,,2019-05-27,,0.214
2AGHGRLY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009358876850455999,,2019-05-27,,0.214
2AGHGRRY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0005562990554608405,,2019-05-27,,0.214
2AGHJD4Y,0,1,2025-09-04,,,Censored Early,0,0,1,1,0,0,0.2429518699645996,0.2429518699645996,2019-06-01,2287.0,0.214
2AGHK55Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00041407981188967824,,2019-05-27,,0.214
2AGHK8MY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00046755129005759954,,2019-05-27,,0.214
2AGHLEUY,1,0,,2023-11-06,,Missed,0,0,0,0,1,0,0.028738606721162796,,2019-05-27,,0.214
2AGHLGTY,1,0,,2025-08-05,,Missed,0,0,0,0,1,0,0.15515656769275665,,2019-05-27,,0.214
2AGHLKHY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0008784629753790796,,2019-05-27,,0.214
2AGHLMXY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0008692402625456452,,2019-05-27,,0.214
2AGHLN0Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0004976836498826742,,2019-05-27,,0.214
2AGHMUTY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00048689034883864224,,2019-05-27,,0.214
2AGHMUYY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0015213469741865993,,2019-06-01,,0.214
2AGHMW5Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0400395393371582,,2019-05-27,,0.214
2AGHMXGY,1,0,,2023-05-14,,Missed,0,0,0,0,1,0,0.021427711471915245,,2019-05-27,,0.214
2AGHMYTY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.06615684181451797,,2019-05-27,,0.214
2AGHMZMY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0005422893445938826,,2019-05-27,,0.214
2AGHN0TY,1,1,2020-08-26,2020-10-22,57.0,Early,0,1,0,1,0,0,0.5456742644309998,0.25200802087783813,2019-05-27,457.0,0.214
2AGHN0WY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012079288717359304,,2019-05-27,,0.214
2AGHN16Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0006052972748875618,,2019-05-27,,0.214
2AGHN2AY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00046013895189389586,,2019-05-27,,0.214
2AGHN3XY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007959039648994803,,2019-05-27,,0.214
2AGHPDKY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0006519933231174946,,2019-05-27,,0.214
2AGHSJ4Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0004035767924506217,,2019-05-27,,0.214
2AGHSS9Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016819901065900922,,2019-05-27,,0.214
2AGHTBYY,1,1,2024-07-17,2025-01-25,192.0,Early,0,1,0,1,0,0,0.47663217782974243,0.24506007134914398,2019-05-27,1878.0,0.214
2AGHTGEY,1,0,,2023-03-14,,Missed,0,0,0,0,1,0,0.14560970664024353,,2019-05-27,,0.214
2AGHTKBY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.013197511434555054,,2019-05-27,,0.214
2AGLY65Y,1,0,,2023-11-20,,Missed,0,0,0,0,1,0,0.023934220895171165,,2019-08-13,,0.214
2AGM231Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012039635330438614,,2019-05-04,,0.214
2AGM23NY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0011504808207973838,,2019-05-04,,0.214
2AGM5UVY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0800045058131218,,2019-05-16,,0.214
2AGM5V7Y,1,1,2024-12-22,2025-12-05,348.0,Early,0,1,0,1,0,0,0.2795797884464264,0.2243630290031433,2019-05-16,2047.0,0.214
2AGM5VBY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.05914348363876343,,2019-05-16,,0.214
2AGM5VHY,1,0,,2025-01-18,,Missed,0,0,0,0,1,0,0.012863021343946457,,2019-08-14,,0.214
2AGM5W9Y,1,0,,2025-01-16,,Missed,0,0,0,0,1,0,0.04041152819991112,,2019-05-16,,0.214
2AGM5YEY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.014889408834278584,,2019-05-04,,0.214
2AGM8EMY,1,0,,2024-10-29,,Missed,0,0,0,0,1,0,0.08366820961236954,,2019-05-16,,0.214
2AGM8EUY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007686675526201725,,2019-05-27,,0.214
2AGM8J2Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00323434267193079,,2019-05-16,,0.214
2AGM8JAY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0011196896666660905,,2019-05-16,,0.214
2AGM8LNY,0,1,2024-10-25,,,Censored Early,0,0,1,1,0,0,0.2293861210346222,0.2257806658744812,2019-05-04,2001.0,0.214
2AGM8RJY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.020041994750499725,,2019-08-13,,0.214
2AGM8RTY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.032168302685022354,,2019-05-16,,0.214
2AGM8UNY,1,1,2025-10-22,2026-03-12,141.0,Early,0,1,0,1,0,0,0.3947504758834839,0.24187856912612915,2019-08-13,2262.0,0.214
2AGM8V7Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0022643436677753925,,2019-05-16,,0.214
2AGM9MXY,1,0,,2025-09-21,,Missed,0,0,0,0,1,0,0.02592223510146141,,2019-05-04,,0.214
2AGM9PJY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.05354733392596245,,2019-05-04,,0.214
2AGM9RGY,1,0,,2022-12-23,,Missed,0,0,0,0,1,0,0.002405216684564948,,2019-05-16,,0.214
2AGM9S6Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.01055015530437231,,2019-05-16,,0.214
2AGM9SDY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007039140909910202,,2019-05-04,,0.214
2AGM9U1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0005354913300834596,,2019-05-16,,0.214
2AGMDJKY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001150609110482037,,2019-05-04,,0.214
2AGMDUAY,1,0,,2023-02-04,,Missed,0,0,0,0,1,0,0.002744357567280531,,2019-05-16,,0.214
2AGMDY1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.027337409555912018,,2019-08-14,,0.214
2AGME0XY,1,0,,2024-05-29,,Missed,0,0,0,0,1,0,0.16528642177581787,,2019-05-16,,0.214
2AGME3BY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.01016878429800272,,2019-05-16,,0.214
2AGME9PY,1,0,,2024-08-06,,Missed,0,0,0,0,1,0,0.16604676842689514,,2019-08-13,,0.214
2AGMGAYY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0013385778293013573,,2019-05-16,,0.214
2AGMGDPY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.002590352203696966,,2019-08-13,,0.214
2AGMGKLY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00046922513865865767,,2019-08-13,,0.214
2AGMGXEY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0004726719344034791,,2019-08-14,,0.214
2AGMH2YY,1,0,,2024-12-10,,Missed,0,0,0,0,1,0,0.07934418320655823,,2019-05-16,,0.214
2AGMH3JY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009112874395214021,,2019-05-16,,0.214
2AGMHK6Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0079972418025136,,2019-05-04,,0.214
2AGMHPEY,1,0,,2024-06-25,,Missed,0,0,0,0,1,0,0.016034504398703575,,2019-06-01,,0.214
