serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,category,is_hit,is_fp_early,is_fp_cens,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed,threshold_used
2AG61PSY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0004321461310610175,,2019-05-27,,0.13
2AG8AVRY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0025458435993641615,,2019-08-14,,0.13
2AGEGU7Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001338622416369617,,2019-05-27,,0.13
2AGEU1JY,0,1,2025-08-12,,,Censored Early,0,0,1,1,0,0,0.21413929760456085,0.13454701006412506,2019-06-01,2264.0,0.13
2AGG48NY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00024183640198316425,,2019-05-27,,0.13
2AGG7H1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00038329820381477475,,2019-05-27,,0.13
2AGGHGJY,1,0,,2024-11-19,,Missed,0,0,0,0,1,0,0.08819924294948578,,2019-05-16,,0.13
2AGGHLEY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0008469869499094784,,2019-06-01,,0.13
2AGGHM0Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0003900723240803927,,2019-05-27,,0.13
2AGGHMUY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007511510048061609,,2019-05-16,,0.13
2AGGHR1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.004432023037225008,,2019-05-27,,0.13
2AGGHR7Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00033687922405079007,,2019-05-27,,0.13
2AGGL0UY,1,1,2022-02-26,2022-02-27,1.0,On time,1,0,0,0,0,0,0.4199221432209015,0.16447216272354126,2019-05-27,1006.0,0.13
2AGGR3NY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.02452729642391205,,2019-05-27,,0.13
2AGGZNJY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016725024906918406,,2019-05-27,,0.13
2AGH31BY,1,0,,2023-11-01,,Missed,0,0,0,0,1,0,0.05978423357009888,,2019-05-27,,0.13
2AGH31PY,1,0,,2024-11-18,,Missed,0,0,0,0,1,0,0.0737128034234047,,2019-05-27,,0.13
2AGH33SY,1,1,2025-02-10,2025-05-08,87.0,Early,0,1,0,1,0,0,0.3563770353794098,0.130212664604187,2019-05-27,2086.0,0.13
2AGH34HY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.06545944511890411,,2019-05-27,,0.13
2AGH34PY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0027098606806248426,,2019-05-27,,0.13
2AGH35GY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0004974351031705737,,2019-05-27,,0.13
2AGHB9XY,1,0,,2024-12-02,,Missed,0,0,0,0,1,0,0.041568905115127563,,2019-05-27,,0.13
2AGHDYHY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0014316890155896544,,2019-05-27,,0.13
2AGHEP9Y,1,0,,2024-07-26,,Missed,0,0,0,0,1,0,0.023309960961341858,,2019-05-27,,0.13
2AGHGR1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0032461208757013083,,2019-05-27,,0.13
2AGHGRLY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00044694819371216,,2019-05-27,,0.13
2AGHGRRY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0006775612127967179,,2019-05-27,,0.13
2AGHJD4Y,0,1,2025-07-07,,,Censored Early,0,0,1,1,0,0,0.516900897026062,0.13726870715618134,2019-06-01,2228.0,0.13
2AGHK55Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0005390119040384889,,2019-05-27,,0.13
2AGHK8MY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00048250422696582973,,2019-05-27,,0.13
2AGHLEUY,1,0,,2023-11-06,,Missed,0,0,0,0,1,0,0.03304320201277733,,2019-05-27,,0.13
2AGHLGTY,1,1,2025-03-01,2025-08-05,157.0,Early,0,1,0,1,0,0,0.13821816444396973,0.13821816444396973,2019-05-27,2105.0,0.13
2AGHLKHY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001287356368266046,,2019-05-27,,0.13
2AGHLMXY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.000900705752428621,,2019-05-27,,0.13
2AGHLN0Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.000703238882124424,,2019-05-27,,0.13
2AGHMUTY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.000423190911533311,,2019-05-27,,0.13
2AGHMUYY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0021727217826992273,,2019-06-01,,0.13
2AGHMW5Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.048052266240119934,,2019-05-27,,0.13
2AGHMXGY,1,0,,2023-05-14,,Missed,0,0,0,0,1,0,0.01649080403149128,,2019-05-27,,0.13
2AGHMYTY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.10786886513233185,,2019-05-27,,0.13
2AGHMZMY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00044155988143756986,,2019-05-27,,0.13
2AGHN0TY,1,1,2020-07-27,2020-10-22,87.0,Early,0,1,0,1,0,0,0.5164214372634888,0.13186587393283844,2019-05-27,427.0,0.13
2AGHN0WY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.002129473490640521,,2019-05-27,,0.13
2AGHN16Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012693052412942052,,2019-05-27,,0.13
2AGHN2AY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00033423109562136233,,2019-05-27,,0.13
2AGHN3XY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0013634201604872942,,2019-05-27,,0.13
2AGHPDKY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0005145182367414236,,2019-05-27,,0.13
2AGHSJ4Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0002461894182488322,,2019-05-27,,0.13
2AGHSS9Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0028152274899184704,,2019-05-27,,0.13
2AGHTBYY,1,1,2023-09-16,2025-01-25,497.0,Early,0,1,0,1,0,0,0.5115458369255066,0.16896378993988037,2019-05-27,1573.0,0.13
2AGHTGEY,1,1,2023-02-02,2023-03-14,40.0,Early,0,1,0,1,0,0,0.19782857596874237,0.1398671269416809,2019-05-27,1347.0,0.13
2AGHTKBY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.012750829569995403,,2019-05-27,,0.13
2AGLY65Y,1,0,,2023-11-20,,Missed,0,0,0,0,1,0,0.01042852457612753,,2019-08-13,,0.13
2AGM231Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007590576424263418,,2019-05-04,,0.13
2AGM23NY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007603868725709617,,2019-05-04,,0.13
2AGM5UVY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.09158235043287277,,2019-05-16,,0.13
2AGM5V7Y,1,1,2024-12-23,2025-12-05,347.0,Early,0,1,0,1,0,0,0.24764148890972137,0.18213795125484467,2019-05-16,2048.0,0.13
2AGM5VBY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.060419049113988876,,2019-05-16,,0.13
2AGM5VHY,1,0,,2025-01-18,,Missed,0,0,0,0,1,0,0.0010063301306217909,,2019-08-14,,0.13
2AGM5W9Y,1,0,,2025-01-16,,Missed,0,0,0,0,1,0,0.01466649305075407,,2019-05-16,,0.13
2AGM5YEY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.009658122435212135,,2019-05-04,,0.13
2AGM8EMY,1,0,,2024-10-29,,Missed,0,0,0,0,1,0,0.07173477113246918,,2019-05-16,,0.13
2AGM8EUY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007683723815716803,,2019-05-27,,0.13
2AGM8J2Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.002114702947437763,,2019-05-16,,0.13
2AGM8JAY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0005925385630689561,,2019-05-16,,0.13
2AGM8LNY,0,1,2024-10-26,,,Censored Early,0,0,1,1,0,0,0.15777097642421722,0.1438988596200943,2019-05-04,2002.0,0.13
2AGM8RJY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.027862099930644035,,2019-08-13,,0.13
2AGM8RTY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.021079998463392258,,2019-05-16,,0.13
2AGM8UNY,1,1,2025-10-25,2026-03-12,138.0,Early,0,1,0,1,0,0,0.30804508924484253,0.137814000248909,2019-08-13,2265.0,0.13
2AGM8V7Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0011639234144240618,,2019-05-16,,0.13
2AGM9MXY,1,0,,2025-09-21,,Missed,0,0,0,0,1,0,0.020980656147003174,,2019-05-04,,0.13
2AGM9PJY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.09202051162719727,,2019-05-04,,0.13
2AGM9RGY,1,0,,2022-12-23,,Missed,0,0,0,0,1,0,0.0006639035418629646,,2019-05-16,,0.13
2AGM9S6Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.005079424474388361,,2019-05-16,,0.13
2AGM9SDY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007188500021584332,,2019-05-04,,0.13
2AGM9U1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0005924487486481667,,2019-05-16,,0.13
2AGMDJKY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0008109424379654229,,2019-05-04,,0.13
2AGMDUAY,1,0,,2023-02-04,,Missed,0,0,0,0,1,0,0.005338506307452917,,2019-05-16,,0.13
2AGMDY1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.05990002304315567,,2019-08-14,,0.13
2AGME0XY,1,1,2024-01-18,2024-05-29,132.0,Early,0,1,0,1,0,0,0.15850958228111267,0.14526328444480896,2019-05-16,1708.0,0.13
2AGME3BY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.004528971388936043,,2019-05-16,,0.13
2AGME9PY,1,0,,2024-08-06,,Missed,0,0,0,0,1,0,0.07892050594091415,,2019-08-13,,0.13
2AGMGAYY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0006234700558707118,,2019-05-16,,0.13
2AGMGDPY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.005974357947707176,,2019-08-13,,0.13
2AGMGKLY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0004373773408588022,,2019-08-13,,0.13
2AGMGXEY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0004455292073544115,,2019-08-14,,0.13
2AGMH2YY,1,0,,2024-12-10,,Missed,0,0,0,0,1,0,0.050087954849004745,,2019-05-16,,0.13
2AGMH3JY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007042690413072705,,2019-05-16,,0.13
2AGMHK6Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.007163459900766611,,2019-05-04,,0.13
2AGMHPEY,1,0,,2024-06-25,,Missed,0,0,0,0,1,0,0.016458909958600998,,2019-06-01,,0.13
2AGMHRYY,1,0,,2024-05-16,,Missed,0,0,0,0,1,0,0.12424875795841217,,2019-05-16,,0.13
2AGMHTLY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0006091754185035825,,2019-05-04,,0.13
2AGMHU7Y,1,0,,2024-07-08,,Missed,0,0,0,0,1,0,0.008281555026769638,,2019-05-04,,0.13
2AGMHVTY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0005305876838974655,,2019-05-16,,0.13
2AGMHWAY,1,0,,2023-09-22,,Missed,0,0,0,0,1,0,0.12624967098236084,,2019-08-14,,0.13
2AGMHXDY,1,1,2025-05-31,2025-06-02,2.0,On time,1,0,0,0,0,0,0.28713297843933105,0.17584609985351562,2019-08-13,2118.0,0.13
2AGMHY3Y,1,0,,2025-11-18,,Missed,0,0,0,0,1,0,0.030317014083266258,,2019-08-14,,0.13
2AGMHY5Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007332537788897753,,2019-08-13,,0.13
2AGMJ35Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007533528259955347,,2019-05-04,,0.13
2AGMJ3JY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.000770251324865967,,2019-05-16,,0.13
2AGMJ3TY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0008283083443529904,,2019-08-14,,0.13
2AGMJ47Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0006671001901850104,,2019-06-01,,0.13
2AGMJ5BY,1,0,,2021-05-03,,Missed,0,0,0,0,1,0,0.00012716870696749538,,2019-05-04,,0.13
2AGMKV4Y,1,1,2026-01-20,2026-01-28,8.0,On time,1,0,0,0,0,0,0.5182685256004333,0.19625531136989594,2019-05-04,2453.0,0.13
2AGMKVHY,1,0,,2023-05-06,,Missed,0,0,0,0,1,0,0.08797674626111984,,2019-08-13,,0.13
2AGMKVTY,1,0,,2024-12-04,,Missed,0,0,0,0,1,0,0.06351831555366516,,2019-08-14,,0.13
2AGMLMLY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.09665943682193756,,2019-08-14,,0.13
2AGMLSZY,1,1,2020-07-19,2020-07-30,11.0,On time,1,0,0,0,0,0,0.5229853987693787,0.1381940394639969,2019-05-16,430.0,0.13
2AGMLT7Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.010421877726912498,,2019-05-16,,0.13
2AGMLWNY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0739947035908699,,2019-08-14,,0.13
2AGMLZLY,1,1,2026-02-11,2026-02-11,0.0,On time,1,0,0,0,0,0,0.21501748263835907,0.21501748263835907,2019-05-16,2463.0,0.13
2AGMM0UY,0,1,2020-01-24,,,Censored Early,0,0,1,1,0,0,0.13328172266483307,0.13328172266483307,2019-05-16,253.0,0.13
2AGMMNKY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.051968637853860855,,2019-06-01,,0.13
2AGMMU1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0006209576968103647,,2019-05-16,,0.13
2AGMMU4Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.000753249041736126,,2019-08-14,,0.13
2AGMNB7Y,1,0,,2023-03-30,,Missed,0,0,0,0,1,0,0.07201991975307465,,2019-05-16,,0.13
2AGMNBEY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0006553502753376961,,2019-05-16,,0.13
2AGMND4Y,1,1,2025-10-12,2025-10-27,15.0,On time,1,0,0,0,0,0,0.5182220935821533,0.1456432193517685,2019-05-04,2353.0,0.13
2AGMNE1Y,1,1,2025-07-05,2025-11-26,144.0,Early,0,1,0,1,0,0,0.5208563804626465,0.14294016361236572,2019-05-16,2242.0,0.13
2AGMNEBY,1,1,2023-02-22,2024-08-05,530.0,Early,0,1,0,1,0,0,0.1759115606546402,0.15128298103809357,2019-05-04,1390.0,0.13
2AGMNG0Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.12009496241807938,,2019-05-16,,0.13
2AGMNJKY,1,1,2025-09-16,2025-09-29,13.0,On time,1,0,0,0,0,0,0.24216552078723907,0.1493545025587082,2019-05-16,2315.0,0.13
2AGMNM8Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.04082315415143967,,2019-08-14,,0.13
2AGMNMWY,1,0,,2023-05-10,,Missed,0,0,0,0,1,0,0.029250115156173706,,2019-05-16,,0.13
2AGMNTXY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0005290564731694758,,2019-05-16,,0.13
2AGMNUVY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0008443253464065492,,2019-05-04,,0.13
2AGMNWBY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00052079395391047,,2019-08-13,,0.13
2AGMNXRY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.11157995462417603,,2019-08-13,,0.13
2AGMP7ZY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.000904292450286448,,2019-08-14,,0.13
2AGMPBWY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.027096541598439217,,2019-05-16,,0.13
2AGMPD8Y,1,0,,2023-11-21,,Missed,0,0,0,0,1,0,0.00021055775869172066,,2019-08-13,,0.13
2AGMPK3Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.013821442611515522,,2019-05-04,,0.13
2AGMPL7Y,1,0,,2025-02-27,,Missed,0,0,0,0,1,0,0.08153504133224487,,2019-05-16,,0.13
2AGMPP1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.003046077908948064,,2019-05-16,,0.13
2AGMPP4Y,1,1,2025-01-10,2025-09-23,256.0,Early,0,1,0,1,0,0,0.5143469572067261,0.1465025395154953,2019-05-16,2066.0,0.13
2AGMPPGY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001033381326124072,,2019-05-16,,0.13
2AGMPSSY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0005650866078212857,,2019-05-16,,0.13
2AGMPT2Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009119170717895031,,2019-05-16,,0.13
2AGMPZ8Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007676632376387715,,2019-08-14,,0.13
2AGMS6PY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0003198210324626416,,2019-08-14,,0.13
2AGMSHHY,1,0,,2022-08-12,,Missed,0,0,0,0,1,0,8.0196674389299e-05,,2019-05-04,,0.13
2AGMTK0Y,1,1,2025-08-30,2025-08-30,0.0,On time,1,0,0,0,0,0,0.5158795714378357,0.5158795714378357,2019-05-16,2298.0,0.13
2AGMTL0Y,1,0,,2023-04-17,,Missed,0,0,0,0,1,0,0.0005195187404751778,,2019-05-04,,0.13
2AGMTXAY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0005008263979107141,,2019-08-13,,0.13
2AGMUBMY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0008360695210285485,,2019-06-01,,0.13
2AGMUBRY,1,0,,2024-08-04,,Missed,0,0,0,0,1,0,0.004089502617716789,,2019-08-13,,0.13
2AGMV9UY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0005423217080533504,,2019-08-13,,0.13
2AGMVDDY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0015782506670802832,,2019-05-16,,0.13
2AGMWHVY,1,0,,2024-07-19,,Missed,0,0,0,0,1,0,0.04425232484936714,,2019-05-16,,0.13
2AGMZLMY,1,1,2023-04-07,2023-05-16,39.0,Early,0,1,0,1,0,0,0.17474991083145142,0.1374262422323227,2019-08-13,1333.0,0.13
2AGN038Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0006646972033195198,,2019-08-13,,0.13
2AGN03MY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0022575624752789736,,2019-08-13,,0.13
2AGN05MY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007984821568243206,,2019-08-13,,0.13
2AGN071Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.004983295686542988,,2019-08-13,,0.13
2AGN07AY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0036342060193419456,,2019-08-14,,0.13
2AGN17RY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00034805035102181137,,2019-08-13,,0.13
