serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,category,is_hit,is_fp_early,is_fp_cens,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed,threshold_used
2AG61PSY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012657539919018745,,2019-05-27,,0.406
2AG8AVRY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0037685169372707605,,2019-08-14,,0.406
2AGEGU7Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012657539919018745,,2019-05-27,,0.406
2AGEU1JY,0,1,2025-08-04,,,Censored Early,0,0,1,1,0,0,0.7966008186340332,0.7966008186340332,2019-06-01,2256.0,0.406
2AGG48NY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012657539919018745,,2019-05-27,,0.406
2AGG7H1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012657539919018745,,2019-05-27,,0.406
2AGGHGJY,1,1,2024-11-16,2024-11-19,3.0,On time,1,0,0,0,0,0,0.9330263733863831,0.9330263733863831,2019-05-16,2011.0,0.406
2AGGHLEY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012657539919018745,,2019-06-01,,0.406
2AGGHM0Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012519903248175979,,2019-05-27,,0.406
2AGGHMUY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012657539919018745,,2019-05-16,,0.406
2AGGHR1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.006074423901736736,,2019-05-27,,0.406
2AGGHR7Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0017240765737369657,,2019-05-27,,0.406
2AGGL0UY,1,0,,2022-02-27,,Missed,0,0,0,0,1,0,0.0014018213842064142,,2019-05-27,,0.406
2AGGR3NY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.05513296648859978,,2019-05-27,,0.406
2AGGZNJY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0025264709256589413,,2019-05-27,,0.406
2AGH31BY,1,0,,2023-11-01,,Missed,0,0,0,0,1,0,0.03189218416810036,,2019-05-27,,0.406
2AGH31PY,1,0,,2024-11-18,,Missed,0,0,0,0,1,0,0.28947141766548157,,2019-05-27,,0.406
2AGH33SY,1,1,2025-02-15,2025-05-08,82.0,Early,0,1,0,1,0,0,0.7920653223991394,0.7920653223991394,2019-05-27,2091.0,0.406
2AGH34HY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.04105240851640701,,2019-05-27,,0.406
2AGH34PY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012657539919018745,,2019-05-27,,0.406
2AGH35GY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012657539919018745,,2019-05-27,,0.406
2AGHB9XY,1,0,,2024-12-02,,Missed,0,0,0,0,1,0,0.07062380760908127,,2019-05-27,,0.406
2AGHDYHY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016668472671881318,,2019-05-27,,0.406
2AGHEP9Y,1,0,,2024-07-26,,Missed,0,0,0,0,1,0,0.01696002669632435,,2019-05-27,,0.406
2AGHGR1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.019078580662608147,,2019-05-27,,0.406
2AGHGRLY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0017240765737369657,,2019-05-27,,0.406
2AGHGRRY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012657539919018745,,2019-05-27,,0.406
2AGHJD4Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.2697261869907379,,2019-06-01,,0.406
2AGHK55Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012657539919018745,,2019-05-27,,0.406
2AGHK8MY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0020820244681090117,,2019-05-27,,0.406
2AGHLEUY,1,0,,2023-11-06,,Missed,0,0,0,0,1,0,0.009090821258723736,,2019-05-27,,0.406
2AGHLGTY,1,1,2025-02-27,2025-08-05,159.0,Early,0,1,0,1,0,0,0.7915571928024292,0.7915571928024292,2019-05-27,2103.0,0.406
2AGHLKHY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012657539919018745,,2019-05-27,,0.406
2AGHLMXY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012657539919018745,,2019-05-27,,0.406
2AGHLN0Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012657539919018745,,2019-05-27,,0.406
2AGHMUTY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012657539919018745,,2019-05-27,,0.406
2AGHMUYY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012657539919018745,,2019-06-01,,0.406
2AGHMW5Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.007382799871265888,,2019-05-27,,0.406
2AGHMXGY,1,0,,2023-05-14,,Missed,0,0,0,0,1,0,0.006068487651646137,,2019-05-27,,0.406
2AGHMYTY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.017470676451921463,,2019-05-27,,0.406
2AGHMZMY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.008306345902383327,,2019-05-27,,0.406
2AGHN0TY,1,0,,2020-10-22,,Missed,0,0,0,0,1,0,0.3856857419013977,,2019-05-27,,0.406
2AGHN0WY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012657539919018745,,2019-05-27,,0.406
2AGHN16Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012519903248175979,,2019-05-27,,0.406
2AGHN2AY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012657539919018745,,2019-05-27,,0.406
2AGHN3XY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012657539919018745,,2019-05-27,,0.406
2AGHPDKY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012657539919018745,,2019-05-27,,0.406
2AGHSJ4Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012657539919018745,,2019-05-27,,0.406
2AGHSS9Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012657539919018745,,2019-05-27,,0.406
2AGHTBYY,1,1,2024-07-12,2025-01-25,197.0,Early,0,1,0,1,0,0,0.8105325102806091,0.7915571928024292,2019-05-27,1873.0,0.406
2AGHTGEY,1,0,,2023-03-14,,Missed,0,0,0,0,1,0,0.17426881194114685,,2019-05-27,,0.406
2AGHTKBY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00801058392971754,,2019-05-27,,0.406
2AGLY65Y,1,0,,2023-11-20,,Missed,0,0,0,0,1,0,0.027517296373844147,,2019-08-13,,0.406
2AGM231Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012657539919018745,,2019-05-04,,0.406
2AGM23NY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012657539919018745,,2019-05-04,,0.406
2AGM5UVY,0,1,2025-07-08,,,Censored Early,0,0,1,1,0,0,0.7964979410171509,0.7964979410171509,2019-05-16,2245.0,0.406
2AGM5V7Y,1,1,2025-01-25,2025-12-05,314.0,Early,0,1,0,1,0,0,0.7964979410171509,0.7964979410171509,2019-05-16,2081.0,0.406
2AGM5VBY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.4051866829395294,,2019-05-16,,0.406
2AGM5VHY,1,0,,2025-01-18,,Missed,0,0,0,0,1,0,0.01427773293107748,,2019-08-14,,0.406
2AGM5W9Y,1,0,,2025-01-16,,Missed,0,0,0,0,1,0,0.01427773293107748,,2019-05-16,,0.406
2AGM5YEY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.007405047304928303,,2019-05-04,,0.406
2AGM8EMY,1,0,,2024-10-29,,Missed,0,0,0,0,1,0,0.14615072309970856,,2019-05-16,,0.406
2AGM8EUY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012657539919018745,,2019-05-27,,0.406
2AGM8J2Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0014018213842064142,,2019-05-16,,0.406
2AGM8JAY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012657539919018745,,2019-05-16,,0.406
2AGM8LNY,0,1,2026-02-07,,,Censored Early,0,0,1,1,0,0,0.46706515550613403,0.46706515550613403,2019-05-04,2471.0,0.406
2AGM8RJY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.01993844471871853,,2019-08-13,,0.406
2AGM8RTY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.22031207382678986,,2019-05-16,,0.406
2AGM8UNY,1,1,2025-10-14,2026-03-12,149.0,Early,0,1,0,1,0,0,0.7915571928024292,0.7915571928024292,2019-08-13,2254.0,0.406
2AGM8V7Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0014018213842064142,,2019-05-16,,0.406
2AGM9MXY,1,0,,2025-09-21,,Missed,0,0,0,0,1,0,0.02665018104016781,,2019-05-04,,0.406
2AGM9PJY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.02767152711749077,,2019-05-04,,0.406
2AGM9RGY,1,0,,2022-12-23,,Missed,0,0,0,0,1,0,0.0012545729987323284,,2019-05-16,,0.406
2AGM9S6Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0042545851320028305,,2019-05-16,,0.406
2AGM9SDY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012657539919018745,,2019-05-04,,0.406
2AGM9U1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012657539919018745,,2019-05-16,,0.406
2AGMDJKY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0015521433670073748,,2019-05-04,,0.406
2AGMDUAY,1,0,,2023-02-04,,Missed,0,0,0,0,1,0,0.011557212099432945,,2019-05-16,,0.406
2AGMDY1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00500867236405611,,2019-08-14,,0.406
2AGME0XY,1,1,2024-03-16,2024-05-29,74.0,Early,0,1,0,1,0,0,0.8963423371315002,0.8963423371315002,2019-05-16,1766.0,0.406
2AGME3BY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.003582482459023595,,2019-05-16,,0.406
2AGME9PY,1,0,,2024-08-06,,Missed,0,0,0,0,1,0,0.08956228941679001,,2019-08-13,,0.406
2AGMGAYY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012657539919018745,,2019-05-16,,0.406
2AGMGDPY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012954132398590446,,2019-08-13,,0.406
2AGMGKLY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0018815213115885854,,2019-08-13,,0.406
2AGMGXEY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012657539919018745,,2019-08-14,,0.406
2AGMH2YY,1,0,,2024-12-10,,Missed,0,0,0,0,1,0,0.03916073217988014,,2019-05-16,,0.406
