serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,category,is_hit,is_fp_early,is_fp_cens,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed,threshold_used
2AG61PSY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-05-27,,0.971
2AG8AVRY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00561168300027843,,2019-08-14,,0.971
2AGEGU7Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-05-27,,0.971
2AGEU1JY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.17451361587497746,,2019-06-01,,0.971
2AGG48NY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-05-27,,0.971
2AGG7H1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-05-27,,0.971
2AGGHGJY,1,0,,2024-11-19,,Missed,0,0,0,0,1,0,0.6570643039948229,,2019-05-16,,0.971
2AGGHLEY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-06-01,,0.971
2AGGHM0Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-05-27,,0.971
2AGGHMUY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-05-16,,0.971
2AGGHR1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.006241204124743535,,2019-05-27,,0.971
2AGGHR7Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0008844521703607437,,2019-05-27,,0.971
2AGGL0UY,1,1,2022-02-23,2022-02-27,4.0,On time,1,0,0,0,0,0,0.999999999996058,0.9999999999960014,2019-05-27,1003.0,0.971
2AGGR3NY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.05675744914212918,,2019-05-27,,0.971
2AGGZNJY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001002843563537591,,2019-05-27,,0.971
2AGH31BY,1,0,,2023-11-01,,Missed,0,0,0,0,1,0,0.04125816309755032,,2019-05-27,,0.971
2AGH31PY,1,0,,2024-11-18,,Missed,0,0,0,0,1,0,0.5209645517051291,,2019-05-27,,0.971
2AGH33SY,1,0,,2025-05-08,,Missed,0,0,0,0,1,0,0.5754084330384163,,2019-05-27,,0.971
2AGH34HY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.08796070713927676,,2019-05-27,,0.971
2AGH34PY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-05-27,,0.971
2AGH35GY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-05-27,,0.971
2AGHB9XY,1,0,,2024-12-02,,Missed,0,0,0,0,1,0,0.04854795978441315,,2019-05-27,,0.971
2AGHDYHY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0008631785391076216,,2019-05-27,,0.971
2AGHEP9Y,1,0,,2024-07-26,,Missed,0,0,0,0,1,0,0.025425216911768966,,2019-05-27,,0.971
2AGHGR1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.010160211667960207,,2019-05-27,,0.971
2AGHGRLY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009560144731761602,,2019-05-27,,0.971
2AGHGRRY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-05-27,,0.971
2AGHJD4Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.6591307459137685,,2019-06-01,,0.971
2AGHK55Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-05-27,,0.971
2AGHK8MY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009388405887738604,,2019-05-27,,0.971
2AGHLEUY,1,0,,2023-11-06,,Missed,0,0,0,0,1,0,0.011350069615411252,,2019-05-27,,0.971
2AGHLGTY,1,0,,2025-08-05,,Missed,0,0,0,0,1,0,0.5486327822892315,,2019-05-27,,0.971
2AGHLKHY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-05-27,,0.971
2AGHLMXY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-05-27,,0.971
2AGHLN0Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-05-27,,0.971
2AGHMUTY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-05-27,,0.971
2AGHMUYY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-06-01,,0.971
