threshold,precision,recall,f1,far,on_time_share,mean_lead_time,median_lead_time,std_lead_time,hits,N_on_time,N_early,N_missed,N_censored_early,N_censored_no_alarm
0.01,0.10344827586206896,0.1111111111111111,0.10714285714285715,0.062436028659160696,0.1592920353982301,279.4159292035398,163.0,323.5719811771372,113,18,95,49,61,916
0.02,0.11180124223602485,0.1111111111111111,0.11145510835913312,0.05834186284544524,0.17307692307692307,269.50961538461536,156.0,329.14869784363384,104,18,86,58,57,920
0.03,0.12396694214876033,0.09259259259259259,0.10600706713780918,0.04605936540429888,0.19736842105263158,222.21052631578948,135.5,290.3188046101204,76,15,61,86,45,932
0.04,0.09649122807017543,0.06790123456790123,0.07971014492753623,0.044012282497441144,0.15492957746478872,230.59154929577466,141.0,294.78780037940726,71,11,60,91,43,934
0.05,0.08571428571428572,0.05555555555555555,0.06741573033707865,0.03991811668372569,0.13636363636363635,239.77272727272728,143.0,302.4602050185028,66,9,57,96,39,938
0.06,0.09,0.05555555555555555,0.06870229007633587,0.0368474923234391,0.140625,240.734375,142.0,307.07975563094254,64,9,55,98,36,941
0.07,0.08421052631578947,0.04938271604938271,0.0622568093385214,0.033776867963152504,0.12903225806451613,247.43548387096774,143.0,309.64670924675835,62,8,54,100,33,944
0.08,0.08602150537634409,0.04938271604938271,0.06274509803921569,0.03172978505629478,0.12903225806451613,247.43548387096774,143.0,309.64670924675835,62,8,54,100,31,946
0.09,0.08602150537634409,0.04938271604938271,0.06274509803921569,0.03172978505629478,0.12903225806451613,246.5483870967742,143.0,309.6882239378592,62,8,54,100,31,946
0.1,0.09195402298850575,0.04938271604938271,0.06425702811244981,0.02968270214943705,0.13793103448275862,250.4655172413793,143.0,319.7412863398309,58,8,50,104,29,948
0.11,0.09195402298850575,0.04938271604938271,0.06425702811244981,0.02968270214943705,0.13793103448275862,250.4655172413793,143.0,319.7412863398309,58,8,50,104,29,948
0.12,0.09195402298850575,0.04938271604938271,0.06425702811244981,0.02968270214943705,0.13793103448275862,250.05172413793105,143.0,319.43216982282325,58,8,50,104,29,948
0.13,0.09195402298850575,0.04938271604938271,0.06425702811244981,0.02968270214943705,0.13793103448275862,250.05172413793105,143.0,319.43216982282325,58,8,50,104,29,948
0.14,0.09195402298850575,0.04938271604938271,0.06425702811244981,0.02968270214943705,0.13793103448275862,241.72413793103448,143.0,315.69238590882827,58,8,50,104,29,948
0.15,0.0975609756097561,0.04938271604938271,0.06557377049180328,0.027635619242579325,0.14545454545454545,237.87272727272727,143.0,320.8778331416068,55,8,47,107,27,950
0.16,0.0975609756097561,0.04938271604938271,0.06557377049180328,0.027635619242579325,0.14545454545454545,237.87272727272727,143.0,320.8778331416068,55,8,47,107,27,950
0.17,0.10666666666666667,0.04938271604938271,0.06751054852320675,0.02456499488229273,0.1568627450980392,245.80392156862746,143.0,331.1076490791763,51,8,43,111,24,953
0.18,0.10666666666666667,0.04938271604938271,0.06751054852320675,0.02456499488229273,0.1568627450980392,245.80392156862746,143.0,331.1076490791763,51,8,43,111,24,953
0.19,0.10666666666666667,0.04938271604938271,0.06751054852320675,0.02456499488229273,0.1568627450980392,245.50980392156862,143.0,331.1930526734781,51,8,43,111,24,953
0.2,0.10666666666666667,0.04938271604938271,0.06751054852320675,0.02456499488229273,0.1568627450980392,245.50980392156862,143.0,331.1930526734781,51,8,43,111,24,953
0.21,0.10666666666666667,0.04938271604938271,0.06751054852320675,0.02456499488229273,0.1568627450980392,245.50980392156862,143.0,331.1930526734781,51,8,43,111,24,953
0.22,0.13513513513513514,0.06172839506172839,0.0847457627118644,0.02354145342886387,0.19607843137254902,236.05882352941177,141.0,333.9363219657719,51,10,41,111,23,954
0.23,0.13513513513513514,0.06172839506172839,0.0847457627118644,0.02354145342886387,0.19607843137254902,236.05882352941177,141.0,333.9363219657719,51,10,41,111,23,954
0.24,0.136986301369863,0.06172839506172839,0.0851063829787234,0.022517911975435005,0.19607843137254902,236.05882352941177,141.0,333.9363219657719,51,10,41,111,22,955
0.25,0.1388888888888889,0.06172839506172839,0.08547008547008547,0.022517911975435005,0.2,235.92,125.5,337.257696131608,50,10,40,112,22,955
0.26,0.1388888888888889,0.06172839506172839,0.08547008547008547,0.022517911975435005,0.2,235.92,125.5,337.257696131608,50,10,40,112,22,955
0.27,0.1388888888888889,0.06172839506172839,0.08547008547008547,0.022517911975435005,0.2,233.74,125.5,336.1916007279182,50,10,40,112,22,955
0.28,0.1388888888888889,0.06172839506172839,0.08547008547008547,0.022517911975435005,0.2,233.74,125.5,336.1916007279182,50,10,40,112,22,955
