threshold,precision,recall,f1,far,on_time_share,mean_lead_time,median_lead_time,std_lead_time,hits,N_on_time,N_early,N_missed,N_censored_early,N_censored_no_alarm
0.01,0.03088803088803089,0.04938271604938271,0.03800475059382424,0.12794268167860798,0.05970149253731343,439.0074626865672,365.5,334.11079349875547,134,8,126,28,125,852
0.02,0.03571428571428571,0.04938271604938271,0.04145077720207254,0.10030706243602866,0.06349206349206349,390.4047619047619,332.0,313.4839855298408,126,8,118,36,98,879
0.03,0.04145077720207254,0.04938271604938271,0.04507042253521126,0.07881269191402251,0.06896551724137931,355.4655172413793,286.5,305.7261122434443,116,8,108,46,77,900
0.04,0.05625,0.05555555555555555,0.055900621118012424,0.05527123848515865,0.08490566037735849,326.04716981132077,247.0,305.7204723419273,106,9,97,56,54,923
0.05,0.09027777777777778,0.08024691358024691,0.08496732026143791,0.042988741044012284,0.12745098039215685,288.11764705882354,170.0,304.9499249834387,102,13,89,60,42,935
0.06,0.1,0.08024691358024691,0.08904109589041097,0.03582395087001024,0.1368421052631579,265.5684210526316,165.0,281.14748527499637,95,13,82,67,35,942
0.07,0.1322314049586777,0.09876543209876543,0.11307420494699646,0.033776867963152504,0.18181818181818182,240.27272727272728,147.5,272.06085245403557,88,16,72,74,33,944
0.08,0.14953271028037382,0.09876543209876543,0.11895910780669144,0.028659160696008188,0.20253164556962025,182.9240506329114,97.0,222.4780900691292,79,16,63,83,28,949
0.09,0.2553191489361702,0.14814814814814814,0.18749999999999997,0.021494370522006142,0.3287671232876712,159.36986301369862,81.0,206.67700343602888,73,24,49,89,21,956
0.1,0.25301204819277107,0.12962962962962962,0.17142857142857146,0.01842374616171955,0.3230769230769231,159.07692307692307,80.0,206.10343241215318,65,21,44,97,18,959
0.11,0.26582278481012656,0.12962962962962962,0.17427385892116182,0.017400204708290685,0.3387096774193548,146.19354838709677,73.5,204.3897951108946,62,21,41,100,17,960
0.12,0.28378378378378377,0.12962962962962962,0.17796610169491522,0.014329580348004094,0.35,137.55,72.0,171.9779467451181,60,21,39,102,14,963
0.13,0.3382352941176471,0.1419753086419753,0.2,0.012282497441146366,0.4107142857142857,127.82142857142857,58.0,164.81029214815194,56,23,33,106,12,965
0.14,0.3548387096774194,0.13580246913580246,0.19642857142857142,0.011258955987717503,0.43137254901960786,128.7450980392157,57.0,171.32904280169004,51,22,29,111,11,966
0.15,0.375,0.12962962962962962,0.19266055045871555,0.011258955987717503,0.4666666666666667,117.08888888888889,41.0,166.14716665551154,45,21,24,117,11,966
0.16,0.36538461538461536,0.11728395061728394,0.17757009345794392,0.01023541453428864,0.4523809523809524,122.5952380952381,39.0,170.17149046711808,42,19,23,120,10,967
0.17,0.4,0.12345679012345678,0.18867924528301885,0.01023541453428864,0.5,121.6,33.0,174.0242511835635,40,20,20,122,10,967
0.18,0.4444444444444444,0.12345679012345678,0.19323671497584538,0.009211873080859774,0.5555555555555556,110.88888888888889,22.0,171.7837428890978,36,20,16,126,9,968
0.19,0.4888888888888889,0.13580246913580246,0.21256038647342995,0.009211873080859774,0.6111111111111112,106.11111111111111,13.0,172.95885473747438,36,22,14,126,9,968
0.2,0.5,0.13580246913580246,0.21359223300970875,0.008188331627430911,0.6111111111111112,103.72222222222223,13.0,172.04934872024864,36,22,14,126,8,969
0.21,0.5,0.13580246913580246,0.21359223300970875,0.008188331627430911,0.6111111111111112,95.61111111111111,12.0,168.2401190391905,36,22,14,126,8,969
0.22,0.5121951219512195,0.12962962962962962,0.20689655172413793,0.006141248720573183,0.6,96.11428571428571,12.0,170.1336905291284,35,21,14,127,6,971
0.23,0.5384615384615384,0.12962962962962962,0.208955223880597,0.00511770726714432,0.6176470588235294,97.67647058823529,16.0,172.0397902997059,34,21,13,128,5,972
0.24,0.5263157894736842,0.12345679012345678,0.2,0.00511770726714432,0.6060606060606061,99.72727272727273,18.0,173.01870151628165,33,20,13,129,5,972
0.25,0.5263157894736842,0.12345679012345678,0.2,0.00511770726714432,0.6060606060606061,98.63636363636364,16.0,172.71448118504506,33,20,13,129,5,972
0.26,0.5135135135135135,0.11728395061728394,0.19095477386934673,0.00511770726714432,0.59375,100.59375,18.0,171.5945183009571,32,19,13,130,5,972
0.27,0.5135135135135135,0.11728395061728394,0.19095477386934673,0.00511770726714432,0.59375,98.40625,11.5,171.49778777272172,32,19,13,130,5,972
0.28,0.5135135135135135,0.11728395061728394,0.19095477386934673,0.00511770726714432,0.59375,97.96875,11.5,171.63232584055226,32,19,13,130,5,972
0.29,0.5,0.10493827160493827,0.173469387755102,0.0040941658137154556,0.5666666666666667,103.93333333333334,20.0,175.39592038838558,30,17,13,132,4,973
0.3,0.48484848484848486,0.09876543209876543,0.1641025641025641,0.0040941658137154556,0.5517241379310345,106.79310344827586,28.0,175.12840201925238,29,16,13,133,4,973
0.31,0.46875,0.09259259259259259,0.15463917525773196,0.0040941658137154556,0.5357142857142857,110.21428571428571,28.5,176.4625328793738,28,15,13,134,4,973
0.32,0.5161290322580645,0.09876543209876543,0.16580310880829016,0.0040941658137154556,0.5925925925925926,96.74074074074075,28.0,165.3370502701796,27,16,11,135,4,973
0.33,0.5333333333333333,0.09876543209876543,0.16666666666666666,0.0040941658137154556,0.6153846153846154,96.65384615384616,19.5,168.42070544819788,26,16,10,136,4,973
0.34,0.5555555555555556,0.09259259259259259,0.15873015873015875,0.0030706243602865915,0.625,90.33333333333333,18.0,167.02735970160364,24,15,9,138,3,974
0.35,0.5555555555555556,0.09259259259259259,0.15873015873015875,0.0030706243602865915,0.625,89.79166666666667,17.0,167.06111136513954,24,15,9,138,3,974
0.36,0.5416666666666666,0.08024691358024691,0.13978494623655913,0.0030706243602865915,0.6190476190476191,94.47619047619048,10.0,176.54073293573788,21,13,8,141,3,974
0.37,0.5217391304347826,0.07407407407407407,0.12972972972972974,0.0030706243602865915,0.6,98.7,18.5,179.65386163397656,20,12,8,142,3,974
0.38,0.5454545454545454,0.07407407407407407,0.13043478260869565,0.0020470829068577278,0.6,97.9,12.5,179.96663579674984,20,12,8,142,2,975
0.39,0.5454545454545454,0.07407407407407407,0.13043478260869565,0.0020470829068577278,0.6,97.75,12.5,179.94551258644935,20,12,8,142,2,975
0.4,0.5454545454545454,0.07407407407407407,0.13043478260869565,0.0020470829068577278,0.6,97.6,12.0,179.80806433527948,20,12,8,142,2,975
0.41,0.5909090909090909,0.08024691358024691,0.14130434782608695,0.0020470829068577278,0.65,96.05,7.0,180.4473538182259,20,13,7,142,2,975
0.42,0.5714285714285714,0.07407407407407407,0.13114754098360656,0.0020470829068577278,0.631578947368421,100.42105263157895,8.0,183.87046807595536,19,12,7,143,2,975
0.43,0.6,0.07407407407407407,0.13186813186813187,0.0010235414534288639,0.631578947368421,98.73684210526316,7.0,183.89466152500492,19,12,7,143,1,976
0.44,0.6,0.07407407407407407,0.13186813186813187,0.0010235414534288639,0.631578947368421,98.57894736842105,7.0,183.81836452252008,19,12,7,143,1,976
0.45,0.6,0.07407407407407407,0.13186813186813187,0.0010235414534288639,0.631578947368421,78.94736842105263,7.0,121.65156181929927,19,12,7,143,1,976
0.46,0.6,0.07407407407407407,0.13186813186813187,0.0010235414534288639,0.631578947368421,78.26315789473684,6.0,121.08885041691848,19,12,7,143,1,976
0.47,0.631578947368421,0.07407407407407407,0.13259668508287292,0.0010235414534288639,0.6666666666666666,71.44444444444444,5.5,120.64328605080269,18,12,6,144,1,976
