dataset,model,window,peak,tau_peak,rec_at_min_tau,drop,rel_drop,early_at_min_tau
HGST,LGBM,30,1.0,0.0001,1.0,0.0,0.0,0.0
HGST,LGBM,45,0.19753086419753085,0.010472251898884344,0.012345679012345678,0.18518518518518517,0.9375,0.9876543209876543
HGST,LGBM,60,0.18518518518518517,0.00920296680876041,0.012345679012345678,0.1728395061728395,0.9333333333333333,0.9876543209876543
HGST,LGBM,90,0.17901234567901234,0.007374549090259547,0.012345679012345678,0.16666666666666666,0.9310344827586207,0.9876543209876543
HGST,LGBM,180,0.1419753086419753,0.015717837177731626,0.0,0.1419753086419753,1.0,1.0
HGST,LGBM,365,0.13580246913580246,0.015717837177731626,0.0,0.13580246913580246,1.0,1.0
HGST,LGBM,730,0.12345679012345678,0.015717837177731626,0.0,0.12345679012345678,1.0,1.0
HGST,LGBM,-1,0.12345679012345678,0.015717837177731626,0.0,0.12345679012345678,1.0,1.0
HGST,XGB,30,1.0,0.0001,1.0,0.0,0.0,0.0
HGST,XGB,45,0.2654320987654321,0.051217554433642364,0.012345679012345678,0.25308641975308643,0.9534883720930233,0.9876543209876543
HGST,XGB,60,0.24074074074074073,0.06510693555481455,0.012345679012345678,0.22839506172839505,0.9487179487179487,0.9876543209876543
HGST,XGB,90,0.2345679012345679,0.06510693555481455,0.012345679012345678,0.2222222222222222,0.9473684210526315,0.9876543209876543
HGST,XGB,180,0.19753086419753085,0.06510693555481455,0.0,0.19753086419753085,1.0,1.0
HGST,XGB,365,0.1728395061728395,0.07830465404301183,0.0,0.1728395061728395,1.0,1.0
HGST,XGB,730,0.16049382716049382,0.06391624053343999,0.0,0.16049382716049382,1.0,1.0
HGST,XGB,-1,0.16049382716049382,0.07830465404301183,0.0,0.16049382716049382,1.0,1.0
HGST,LSTM,30,0.9938271604938271,0.0001,0.9938271604938271,0.0,0.0,0.0
HGST,LSTM,45,0.17901234567901234,0.08910453324821513,0.024691358024691357,0.15432098765432098,0.8620689655172413,0.9691358024691358
HGST,LSTM,60,0.17901234567901234,0.08910453324821513,0.024691358024691357,0.15432098765432098,0.8620689655172413,0.9691358024691358
HGST,LSTM,90,0.17901234567901234,0.08910453324821513,0.024691358024691357,0.15432098765432098,0.8620689655172413,0.9691358024691358
HGST,LSTM,180,0.16049382716049382,0.08910453324821513,0.006172839506172839,0.15432098765432098,0.9615384615384616,0.9876543209876543
HGST,LSTM,365,0.15432098765432098,0.08910453324821513,0.0,0.15432098765432098,1.0,0.9938271604938271
HGST,LSTM,730,0.14814814814814814,0.08910453324821513,0.0,0.14814814814814814,1.0,1.0
HGST,LSTM,-1,0.14814814814814814,0.08910453324821513,0.0,0.14814814814814814,1.0,1.0
HGST,GRU,30,0.9938271604938271,0.0001,0.9938271604938271,0.0,0.0,0.0
HGST,GRU,45,0.2222222222222222,0.0924553109823357,0.024691358024691357,0.19753086419753085,0.8888888888888888,0.9691358024691358
HGST,GRU,60,0.20987654320987653,0.0924553109823357,0.024691358024691357,0.18518518518518517,0.8823529411764706,0.9691358024691358
HGST,GRU,90,0.19753086419753085,0.17639772753140434,0.024691358024691357,0.1728395061728395,0.875,0.9691358024691358
HGST,GRU,180,0.1728395061728395,0.17639772753140434,0.006172839506172839,0.16666666666666666,0.9642857142857143,0.9876543209876543
HGST,GRU,365,0.16666666666666666,0.17639772753140434,0.0,0.16666666666666666,1.0,1.0
HGST,GRU,730,0.16666666666666666,0.17639772753140434,0.0,0.16666666666666666,1.0,1.0
HGST,GRU,-1,0.16666666666666666,0.17639772753140434,0.0,0.16666666666666666,1.0,1.0
Seagate,LGBM,30,1.0,0.0001,1.0,0.0,0.0,0.0
Seagate,LGBM,45,0.3422222222222222,0.024030428944069673,0.022222222222222223,0.32,0.9350649350649352,0.9777777777777777
Seagate,LGBM,60,0.3377777777777778,0.024030428944069673,0.022222222222222223,0.3155555555555556,0.9342105263157895,0.9777777777777777
Seagate,LGBM,90,0.3288888888888889,0.0031549900649580887,0.022222222222222223,0.3066666666666667,0.9324324324324325,0.9777777777777777
Seagate,LGBM,180,0.3244444444444444,0.0031549900649580887,0.022222222222222223,0.3022222222222222,0.9315068493150686,0.9777777777777777
Seagate,LGBM,365,0.31555555555555553,0.0031549900649580887,0.022222222222222223,0.29333333333333333,0.9295774647887325,0.9777777777777777
Seagate,LGBM,730,0.31555555555555553,0.0031549900649580887,0.022222222222222223,0.29333333333333333,0.9295774647887325,0.9777777777777777
Seagate,LGBM,-1,0.31555555555555553,0.0031549900649580887,0.022222222222222223,0.29333333333333333,0.9295774647887325,0.9777777777777777
Seagate,XGB,30,1.0,0.0001,1.0,0.0,0.0,0.0
Seagate,XGB,45,0.3377777777777778,0.009908136566858666,0.022222222222222223,0.3155555555555556,0.9342105263157895,0.9777777777777777
Seagate,XGB,60,0.3377777777777778,0.009908136566858666,0.022222222222222223,0.3155555555555556,0.9342105263157895,0.9777777777777777
Seagate,XGB,90,0.3333333333333333,0.011916598430985588,0.022222222222222223,0.3111111111111111,0.9333333333333333,0.9777777777777777
Seagate,XGB,180,0.3288888888888889,0.0050049391027009536,0.022222222222222223,0.3066666666666667,0.9324324324324325,0.9777777777777777
Seagate,XGB,365,0.3244444444444444,0.0050049391027009536,0.022222222222222223,0.3022222222222222,0.9315068493150686,0.9777777777777777
Seagate,XGB,730,0.32,0.007239681140910877,0.022222222222222223,0.2977777777777778,0.9305555555555556,0.9777777777777777
Seagate,XGB,-1,0.32,0.007239681140910877,0.022222222222222223,0.2977777777777778,0.9305555555555556,0.9777777777777777
Seagate,LSTM,30,1.0,0.0001,1.0,0.0,0.0,0.0
Seagate,LSTM,45,0.3511111111111111,0.033500408299131326,0.022222222222222223,0.3288888888888889,0.9367088607594938,0.9777777777777777
Seagate,LSTM,60,0.3377777777777778,0.0273447367973758,0.022222222222222223,0.3155555555555556,0.9342105263157895,0.9777777777777777
Seagate,LSTM,90,0.3244444444444444,0.033500408299131326,0.022222222222222223,0.3022222222222222,0.9315068493150686,0.9777777777777777
Seagate,LSTM,180,0.3111111111111111,0.033500408299131326,0.022222222222222223,0.2888888888888889,0.9285714285714286,0.9777777777777777
Seagate,LSTM,365,0.28444444444444444,0.013312159025043077,0.022222222222222223,0.26222222222222225,0.9218750000000001,0.9777777777777777
Seagate,LSTM,730,0.28,0.012595064642583576,0.022222222222222223,0.25777777777777783,0.9206349206349207,0.9777777777777777
Seagate,LSTM,-1,0.28,0.012595064642583576,0.022222222222222223,0.25777777777777783,0.9206349206349207,0.9777777777777777
Seagate,GRU,30,0.9911111111111112,0.0001,0.9911111111111112,0.0,0.0,0.0
Seagate,GRU,45,0.40444444444444444,0.07976339067929272,0.022222222222222223,0.38222222222222224,0.9450549450549451,0.9688888888888889
Seagate,GRU,60,0.4,0.07976339067929272,0.022222222222222223,0.3777777777777778,0.9444444444444445,0.9688888888888889
Seagate,GRU,90,0.37777777777777777,0.07976339067929272,0.022222222222222223,0.35555555555555557,0.9411764705882354,0.9688888888888889
Seagate,GRU,180,0.36444444444444446,0.07976339067929272,0.022222222222222223,0.34222222222222226,0.9390243902439025,0.9688888888888889
Seagate,GRU,365,0.3511111111111111,0.07976339067929272,0.022222222222222223,0.3288888888888889,0.9367088607594938,0.9777777777777777
