dataset,model,seed,window,tau,alarmed,burden,n_cens
HGST,LGBM,42,180,0.21283524874406276,2,0.0020470829068577278,977
HGST,LGBM,42,365,0.21283524874406276,2,0.0020470829068577278,977
HGST,LGBM,42,730,0.21283524874406276,2,0.0020470829068577278,977
HGST,LGBM,42,1095,0.21283524874406276,3,0.0030706243602865915,977
HGST,LGBM,42,1460,0.21283524874406276,5,0.00511770726714432,977
HGST,LGBM,42,-1,0.21283524874406276,24,0.02456499488229273,977
HGST,LGBM,43,180,0.08630332137232727,2,0.0020470829068577278,977
HGST,LGBM,43,365,0.08630332137232727,3,0.0030706243602865915,977
HGST,LGBM,43,730,0.08630332137232727,4,0.0040941658137154556,977
HGST,LGBM,43,1095,0.08630332137232727,4,0.0040941658137154556,977
HGST,LGBM,43,1460,0.08630332137232727,8,0.008188331627430911,977
HGST,LGBM,43,-1,0.08630332137232727,25,0.0255885363357216,977
HGST,LGBM,44,180,0.40585847512293255,1,0.0010235414534288639,977
HGST,LGBM,44,365,0.40585847512293255,2,0.0020470829068577278,977
HGST,LGBM,44,730,0.40585847512293255,2,0.0020470829068577278,977
HGST,LGBM,44,1095,0.40585847512293255,2,0.0020470829068577278,977
HGST,LGBM,44,1460,0.40585847512293255,4,0.0040941658137154556,977
HGST,LGBM,44,-1,0.40585847512293255,24,0.02456499488229273,977
HGST,LGBM,45,180,0.4039151075952191,2,0.0020470829068577278,977
HGST,LGBM,45,365,0.4039151075952191,3,0.0030706243602865915,977
HGST,LGBM,45,730,0.4039151075952191,4,0.0040941658137154556,977
HGST,LGBM,45,1095,0.4039151075952191,4,0.0040941658137154556,977
HGST,LGBM,45,1460,0.4039151075952191,6,0.006141248720573183,977
HGST,LGBM,45,-1,0.4039151075952191,24,0.02456499488229273,977
HGST,LGBM,46,180,0.5955714341713542,6,0.006141248720573183,977
HGST,LGBM,46,365,0.5955714341713542,6,0.006141248720573183,977
HGST,LGBM,46,730,0.5955714341713542,6,0.006141248720573183,977
HGST,LGBM,46,1095,0.5955714341713542,7,0.007164790174002047,977
HGST,LGBM,46,1460,0.5955714341713542,8,0.008188331627430911,977
HGST,LGBM,46,-1,0.5955714341713542,24,0.02456499488229273,977
HGST,LGBM,47,180,0.5445080327336921,1,0.0010235414534288639,977
HGST,LGBM,47,365,0.5445080327336921,2,0.0020470829068577278,977
HGST,LGBM,47,730,0.5445080327336921,3,0.0030706243602865915,977
HGST,LGBM,47,1095,0.5445080327336921,3,0.0030706243602865915,977
HGST,LGBM,47,1460,0.5445080327336921,4,0.0040941658137154556,977
HGST,LGBM,47,-1,0.5445080327336921,25,0.0255885363357216,977
HGST,LGBM,48,180,0.07170935628239766,0,0.0,977
HGST,LGBM,48,365,0.07170935628239766,1,0.0010235414534288639,977
HGST,LGBM,48,730,0.07170935628239766,1,0.0010235414534288639,977
HGST,LGBM,48,1095,0.07170935628239766,1,0.0010235414534288639,977
HGST,LGBM,48,1460,0.07170935628239766,4,0.0040941658137154556,977
HGST,LGBM,48,-1,0.07170935628239766,26,0.02661207778915046,977
HGST,LGBM,49,180,0.4364911163869921,10,0.01023541453428864,977
HGST,LGBM,49,365,0.4364911163869921,13,0.01330603889457523,977
HGST,LGBM,49,730,0.4364911163869921,13,0.01330603889457523,977
HGST,LGBM,49,1095,0.4364911163869921,13,0.01330603889457523,977
HGST,LGBM,49,1460,0.4364911163869921,17,0.017400204708290685,977
HGST,LGBM,49,-1,0.4364911163869921,27,0.027635619242579325,977
HGST,LGBM,50,180,0.404271657056591,6,0.006141248720573183,977
HGST,LGBM,50,365,0.404271657056591,8,0.008188331627430911,977
HGST,LGBM,50,730,0.404271657056591,8,0.008188331627430911,977
HGST,LGBM,50,1095,0.404271657056591,8,0.008188331627430911,977
HGST,LGBM,50,1460,0.404271657056591,9,0.009211873080859774,977
HGST,LGBM,50,-1,0.404271657056591,24,0.02456499488229273,977
HGST,LGBM,51,180,0.1783154385449741,0,0.0,977
HGST,LGBM,51,365,0.1783154385449741,1,0.0010235414534288639,977
HGST,LGBM,51,730,0.1783154385449741,1,0.0010235414534288639,977
HGST,LGBM,51,1095,0.1783154385449741,1,0.0010235414534288639,977
HGST,LGBM,51,1460,0.1783154385449741,2,0.0020470829068577278,977
HGST,LGBM,51,-1,0.1783154385449741,24,0.02456499488229273,977
HGST,LGBM,52,180,0.6672432899913706,1,0.0010235414534288639,977
HGST,LGBM,52,365,0.6672432899913706,2,0.0020470829068577278,977
HGST,LGBM,52,730,0.6672432899913706,2,0.0020470829068577278,977
HGST,LGBM,52,1095,0.6672432899913706,2,0.0020470829068577278,977
HGST,LGBM,52,1460,0.6672432899913706,3,0.0030706243602865915,977
HGST,LGBM,52,-1,0.6672432899913706,24,0.02456499488229273,977
HGST,LGBM,53,180,0.07257326808953588,1,0.0010235414534288639,977
HGST,LGBM,53,365,0.07257326808953588,2,0.0020470829068577278,977
HGST,LGBM,53,730,0.07257326808953588,2,0.0020470829068577278,977
HGST,LGBM,53,1095,0.07257326808953588,2,0.0020470829068577278,977
HGST,LGBM,53,1460,0.07257326808953588,4,0.0040941658137154556,977
HGST,LGBM,53,-1,0.07257326808953588,25,0.0255885363357216,977
HGST,LGBM,54,180,0.9128608390270672,7,0.007164790174002047,977
HGST,LGBM,54,365,0.9128608390270672,9,0.009211873080859774,977
HGST,LGBM,54,730,0.9128608390270672,9,0.009211873080859774,977
HGST,LGBM,54,1095,0.9128608390270672,10,0.01023541453428864,977
HGST,LGBM,54,1460,0.9128608390270672,11,0.011258955987717503,977
HGST,LGBM,54,-1,0.9128608390270672,24,0.02456499488229273,977
HGST,LGBM,55,180,0.701044957250257,11,0.011258955987717503,977
HGST,LGBM,55,365,0.701044957250257,14,0.014329580348004094,977
HGST,LGBM,55,730,0.701044957250257,15,0.015353121801432957,977
HGST,LGBM,55,1095,0.701044957250257,15,0.015353121801432957,977
HGST,LGBM,55,1460,0.701044957250257,15,0.015353121801432957,977
HGST,LGBM,55,-1,0.701044957250257,27,0.027635619242579325,977
HGST,LGBM,56,180,0.22052325050568403,0,0.0,977
HGST,LGBM,56,365,0.22052325050568403,1,0.0010235414534288639,977
HGST,LGBM,56,730,0.22052325050568403,1,0.0010235414534288639,977
HGST,LGBM,56,1095,0.22052325050568403,1,0.0010235414534288639,977
HGST,LGBM,56,1460,0.22052325050568403,2,0.0020470829068577278,977
HGST,LGBM,56,-1,0.22052325050568403,24,0.02456499488229273,977
HGST,LGBM,57,180,0.5286051215089489,2,0.0020470829068577278,977
HGST,LGBM,57,365,0.5286051215089489,3,0.0030706243602865915,977
HGST,LGBM,57,730,0.5286051215089489,3,0.0030706243602865915,977
HGST,LGBM,57,1095,0.5286051215089489,3,0.0030706243602865915,977
HGST,LGBM,57,1460,0.5286051215089489,4,0.0040941658137154556,977
HGST,LGBM,57,-1,0.5286051215089489,24,0.02456499488229273,977
HGST,LGBM,58,180,0.10469346875980708,1,0.0010235414534288639,977
