dataset,model,tau_row,tau_op,val row FAR %,val disk FAR %,row constraint met,disk constraint met
HGST,LGBM,0.019 (0.011-0.027),0.930 (0.793-0.985),0.96 (0.93-0.98),0.92 (0.92-0.92),30/30,23/30
HGST,XGB,0.026 (0.020-0.032),0.455 (0.408-0.534),0.98 (0.96-0.99),0.92 (0.92-0.92),30/30,30/30
HGST,LSTM,0.035 (0.032-0.039),0.139 (0.108-0.164),0.98 (0.98-0.99),0.92 (0.92-0.92),30/30,30/30
HGST,GRU,0.038 (0.035-0.042),0.172 (0.150-0.215),0.98 (0.98-0.99),0.92 (0.92-0.92),30/30,30/30
Seagate,LGBM,0.009 (0.008-0.011),0.050 (0.037-0.071),0.97 (0.94-0.98),0.99 (0.94-0.99),30/30,30/30
Seagate,XGB,0.017 (0.016-0.018),0.106 (0.095-0.118),0.98 (0.97-0.99),0.99 (0.99-0.99),30/30,30/30
Seagate,LSTM,0.018 (0.015-0.019),0.320 (0.295-0.340),0.98 (0.97-0.99),0.99 (0.99-0.99),30/30,30/30
Seagate,GRU,0.019 (0.016-0.021),0.311 (0.298-0.320),0.98 (0.98-0.99),0.99 (0.99-0.99),30/30,30/30
Toshiba,LGBM,0.001 (0.001-0.002),0.129 (0.124-0.133),0.38 (0.38-0.48),0.70 (0.65-0.91),30/30,30/30
Toshiba,XGB,0.001 (0.001-0.002),0.064 (0.062-0.081),0.87 (0.72-0.93),0.94 (0.83-0.99),30/30,30/30
Toshiba,LSTM,0.004 (0.004-0.005),0.169 (0.143-0.187),0.89 (0.86-0.94),0.99 (0.99-0.99),30/30,30/30
Toshiba,GRU,0.004 (0.004-0.005),0.121 (0.109-0.143),0.90 (0.87-0.93),0.99 (0.99-0.99),30/30,30/30
