Timestamp	Model	µ•¿Ã≈Õ	Seed	Threshold (Row-Opt)	Row Precision	Row Recall	Row FAR (%)	Proposed Disk Precision	Proposed Disk Recall	Proposed Disk FAR (%)	Proposed Median LT									
2026-08-05 18:00	LGBM	TOSHIBA_20MG07ACA14TA	42	0.01	0.1517	0.2249	0.11	0.6891	0.3923	0.99	65									
2026-08-05 18:02	XGB	TOSHIBA_20MG07ACA14TA	42	0.01	0.0635	0.3945	0.5	0.5072	0.6699	3.65	71									
2026-08-05 18:07	LSTM	TOSHIBA_20MG07ACA14TA	42	0.01	0.0558	0.44	0.64	0.4201	0.6411	4.96	87.5									
2026-08-05 18:15	GRU	TOSHIBA_20MG07ACA14TA	42	0.01	0.065	0.4509	0.55	0.3908	0.6507	5.69	85.5									0.675203673
2026-08-05 18:00	LGBM	TOSHIBA_20MG07ACA14TA	43	0.01	0.1615	0.2569	0.11	0.7132	0.4641	1.05	51									
2026-08-05 18:03	XGB	TOSHIBA_20MG07ACA14TA	43	0.01	0.0655	0.3844	0.47	0.5396	0.6842	3.27	67									
2026-08-05 18:08	LSTM	TOSHIBA_20MG07ACA14TA	43	0.01	0.0538	0.4403	0.66	0.4042	0.6459	5.34	92									
2026-08-05 18:16	GRU	TOSHIBA_20MG07ACA14TA	43	0.01	0.053	0.4376	0.67	0.3442	0.6555	7	93									
2026-08-05 18:00	LGBM	TOSHIBA_20MG07ACA14TA	44	0.01	0.1615	0.2536	0.11	0.7111	0.4593	1.05	47									
2026-08-05 18:04	XGB	TOSHIBA_20MG07ACA14TA	44	0.01	0.0657	0.3815	0.46	0.5018	0.6699	3.73	72.5									
2026-08-05 18:10	LSTM	TOSHIBA_20MG07ACA14TA	44	0.01	0.0543	0.4439	0.66	0.4214	0.6411	4.94	85									
2026-08-05 18:17	GRU	TOSHIBA_20MG07ACA14TA	44	0.01	0.0538	0.4495	0.68	0.3729	0.6459	6.09	87									
2026-08-05 18:01	LGBM	TOSHIBA_20MG07ACA14TA	45	0.01	0.163	0.2607	0.11	0.7132	0.4641	1.05	51									
2026-08-05 18:04	XGB	TOSHIBA_20MG07ACA14TA	45	0.01	0.0645	0.3742	0.46	0.5251	0.6507	3.3	61.5									
