column,mean_abs_ig
197,0.1617961
197_std28,0.1037343
5_std28,0.07628271
197_mean28,0.050392237
196,0.048218746
193_std28,0.03623856
9_std28,0.02644914
198,0.025474884
5,0.023667576
198_mean28,0.011955879
226,0.011785753
5_mean28,0.011597
4,0.011026634
193_mean28,0.010752778
194_mean28,0.009395173
194,0.00905485
193,0.008533927
12,0.00772788
194_std28,0.0076332516
192,0.007547835
3,0.0075127603
9_mean28,0.0067970576
222,0.0059115114
220,0.005406633
9,0.00514858
_mask,0.0048330566
199_std28,0.0010884367
199,0.0010720952
199_mean28,0.0010353167
191,0.0007346556
198_std28,0.0
