days_before,mean_abs_ig,q25,q75
13,0.014726211,0.0045038564,0.02090349
12,0.008477906,0.0034875046,0.010664703
11,0.0062142126,0.0027649524,0.007835606
10,0.005162747,0.0024048253,0.0064537064
9,0.0047944617,0.0023702527,0.0058396603
8,0.004870484,0.0023914794,0.005966234
7,0.00522827,0.0026294873,0.0066318684
6,0.0058352607,0.0031153797,0.0074895187
5,0.0068908255,0.003986477,0.008641381
4,0.008941961,0.0055131176,0.01136115
3,0.013446306,0.008404534,0.017375719
2,0.024671987,0.017728776,0.03246022
1,0.056009084,0.044107817,0.071938746
0,0.15031959,0.097232826,0.2111012
