trial,pauc,recall01,learning_rate,num_leaves,min_child_samples,subsample,colsample_bytree,reg_lambda
40,0.8961901009887956,0.7935855263157895,0.010167614791948802,15,11,0.6630588278966341,0.7572587806500343,6.0209029665716285
34,0.8953505667357354,0.8092105263157895,0.01483762366080121,19,73,0.8746113863368382,0.7651138021427945,5.48489970827384
47,0.895338804901903,0.7779605263157895,0.014284897640961145,18,5,0.6847008784229754,0.7432920499154498,7.3316415085466335
32,0.8952209674157108,0.8092105263157895,0.014408352930032649,20,77,0.8739292685413637,0.769182801125004,3.628162214536873
33,0.8948516708424152,0.7779605263157895,0.015700401776583408,19,79,0.873223847838172,0.7471715562207615,5.648613350484782
38,0.8945575808999606,0.7935855263157895,0.023357899564595216,15,50,0.8020359847960531,0.7590687435290054,6.765136844920945
42,0.8945129811699946,0.7779605263157895,0.01042729382265635,25,13,0.645148640878197,0.6942595245928758,6.712508118896716
35,0.8942394723838782,0.7935855263157895,0.013105204275507234,19,78,0.7643383775265846,0.7575599922034717,5.86273650092787
46,0.8939057923510998,0.7935855263157895,0.01205217062264458,23,6,0.8342304418681727,0.7766271313978347,5.3583514112041515
39,0.8939047494213902,0.7779605263157895,0.023007017873907704,16,49,0.7998872621889588,0.7222485405941821,2.157744921007442
43,0.8935983222195649,0.7779605263157895,0.025332180281556153,22,12,0.8535330213653977,0.7223985660263841,9.88638559117549
31,0.8930115087565629,0.7935855263157895,0.01689560097424318,31,72,0.8764590179556785,0.7726743025362702,4.7915318364162935
36,0.8929894218853733,0.7935855263157895,0.012396234382107301,18,187,0.7298194473630764,0.7449232557161146,1.917643016664491
20,0.8928259485793796,0.7779605263157895,0.01681564531153237,29,62,0.9353761025690503,0.7959430387670373,3.1717941223972943
16,0.892638202168232,0.7648026315789473,0.018026589178225468,61,89,0.9238926501261766,0.6485785475487182,4.234452468559646
22,0.8922247666652192,0.7623355263157895,0.032203697328055114,28,122,0.9321221074319865,0.8249647115812687,3.7556609256895768
21,0.891123930749562,0.7935855263157895,0.01741217547132388,30,70,0.9032513759606355,0.786340450997955,3.609600091770078
23,0.890446864419585,0.7648026315789473,0.033820760094279076,16,121,0.9442195646398126,0.8595563053666184,1.025072022622066
49,0.8899274862882793,0.7779605263157895,0.014210249014468124,35,5,0.5447120920472077,0.8789993464848146,2.514449018415577
44,0.8899033380893737,0.7779605263157895,0.02099590944448953,18,11,0.614528059408776,0.8493967302795717,2.607747763167568
18,0.8897786798229417,0.7779605263157895,0.01661644390788937,60,71,0.8100765158836349,0.6599717015143836,3.4397616711539767
13,0.88855716876467,0.7648026315789473,0.011647431939051161,242,94,0.8172229674594471,0.5988075118907772,7.916245029997629
30,0.8874208453627768,0.7516447368421053,0.01887699046429349,30,18,0.9716242353856925,0.7065700791134534,1.7967172343975526
15,0.8873995642492742,0.7779605263157895,0.010616913381120904,251,93,0.9062481020090284,0.6021525810562233,8.539210457843271
14,0.8872861616841343,0.7779605263157895,0.01074252287407099,241,86,0.8879717437319589,0.5941818805490874,9.93821539740283
37,0.8859466884207333,0.7672697368421053,0.014735759252066204,20,41,0.7613329034877676,0.6987103418840782,1.1282080181952345
45,0.8852041813079099,0.7648026315789473,0.015677873467834457,15,32,0.5821088190494529,0.8113055075587708,1.4484436100932419
24,0.8839306780354066,0.7648026315789473,0.04722068877118437,25,128,0.9951376589601596,0.9373825331365182,3.9721001012356045
12,0.8823866314614441,0.7672697368421053,0.012586884527125891,240,101,0.8561942632464573,0.618277780089153,2.0563150360544364
25,0.8810625272451067,0.7541118421052632,0.028823830052109554,38,66,0.9468451646520386,0.8357315146860574,1.4391369731936088
19,0.8777968623232054,0.7516447368421053,0.02058321609826586,61,33,0.7007532111409448,0.6706258240809833,0.6077350620923341
5,0.8772849508145422,0.740953947368421,0.024591256383397347,134,25,0.7842169744343243,0.5093949002181776,0.2954894558726685
26,0.8760716793088305,0.6759868421052632,0.023259983135400977,21,148,0.9279189500288583,0.7938406217303847,0.40648174489777883
29,0.872359602768856,0.756578947368421,0.02836420879268297,95,40,0.7713195653836584,0.5527257269167211,0.663870074403071
28,0.8717337822301865,0.709703947368421,0.013646928569779953,49,48,0.9241363299039751,0.957268635627432,0.1867342342005123
17,0.8712901468622389,0.694078947368421,0.03867980292659591,57,111,0.9897042476020423,0.8143985271693164,2.9996165514855675
48,0.871199461832455,0.725328947368421,0.010359808185652776,19,9,0.6759021060437048,0.7387589722265226,0.057502418596876305
41,0.8687119235593198,0.7516447368421053,0.014223439629812746,15,7,0.6416872734335667,0.758067514714591,0.001013073547288766
3,0.8682823505466689,0.6759868421052632,0.1410690937355148,176,185,0.8995792821083618,0.7307396811264659,1.324697464746845
27,0.8677403515929236,0.725328947368421,0.05154368086444734,31,29,0.8726707937586817,0.9110405482213497,4.883806013718145
8,0.8665200000137695,1.0,0.029236536416560464,41,39,0.7193007567311602,0.9941869190296131,0.0025596420901526653
1,0.8620419859708621,0.709703947368421,0.04429649570464297,187,175,0.6917207594128889,0.8958625190413323,0.13049073550362397
4,0.8602997847694036,0.709703947368421,0.014952219652829973,91,8,0.972334458524792,0.7609241608750359,0.045566719139214756
11,0.8583953110612459,0.694078947368421,0.16794623155644064,152,21,0.9519335425161262,0.505498302253224,0.7736037654075454
9,0.8521519956305533,0.680921052631579,0.020348682523113566,23,54,0.626645801269891,0.7331553864281531,0.009499535455183799
6,0.8327811442695362,0.9580592105263157,0.0801935800522185,85,162,0.8409101495517417,0.679753950286893,0.05599223654063348
2,0.8271516655601387,0.6389802631578947,0.06903521707993515,206,6,0.5435646498507704,0.5101091987201629,2.1403233140986067
