experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
tos_proposed_asfd7,TOSHIBA_20MG07ACA14TA,gru_tuned_asfd7,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.14227076254784124,29,37316,12,17,38,37278,0.41379310344827586,0.24,0.0010183299389002036,0.926858590749646,0.18313074222893344
tos_proposed_asfd7,TOSHIBA_20MG07ACA14TA,gru_tuned_asfd7,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.029819354508072327,29,37316,19,10,187,37129,0.6551724137931034,0.09223300970873786,0.005011255225640476,0.926858590749646,0.18313074222893344
tos_proposed_asfd7,TOSHIBA_20MG07ACA14TA,gru_tuned_asfd7,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.014032124681398127,29,37316,22,7,374,36942,0.7586206896551724,0.05555555555555555,0.010022510451280952,0.926858590749646,0.18313074222893344
tos_proposed_asfd7,TOSHIBA_20MG07ACA14TA,gru_tuned_asfd7,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.0007549740257672966,29,37316,25,4,1866,35450,0.8620689655172413,0.013220518244315178,0.05000535963125737,0.926858590749646,0.18313074222893344
tos_proposed_asfd7,TOSHIBA_20MG07ACA14TA,gru_tuned_asfd7,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.19319982662796595,27,37286,12,15,38,37248,0.4444444444444444,0.24,0.0010191492785495897,0.9215443786864697,0.20507700014783017
tos_proposed_asfd7,TOSHIBA_20MG07ACA14TA,gru_tuned_asfd7,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.03932261578738594,27,37286,20,7,187,37099,0.7407407407407407,0.0966183574879227,0.005015287239178244,0.9215443786864697,0.20507700014783017
tos_proposed_asfd7,TOSHIBA_20MG07ACA14TA,gru_tuned_asfd7,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.01257897824980333,27,37286,21,6,373,36913,0.7777777777777778,0.0532994923857868,0.01000375476049992,0.9215443786864697,0.20507700014783017
tos_proposed_asfd7,TOSHIBA_20MG07ACA14TA,gru_tuned_asfd7,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.0009291693277191371,27,37286,21,6,1865,35421,0.7777777777777778,0.011134676564156946,0.0500187738024996,0.9215443786864697,0.20507700014783017
tos_proposed_asfd7,TOSHIBA_20MG07ACA14TA,gru_tuned_asfd7,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.18920845150947033,18,37265,4,14,38,37227,0.2222222222222222,0.09523809523809523,0.0010197236012344023,0.9113824410751822,0.09471263634998875
tos_proposed_asfd7,TOSHIBA_20MG07ACA14TA,gru_tuned_asfd7,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.04023129805922515,18,37265,12,6,187,37078,0.6666666666666666,0.06030150753768844,0.005018113511337716,0.9113824410751822,0.09471263634998875
tos_proposed_asfd7,TOSHIBA_20MG07ACA14TA,gru_tuned_asfd7,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.01303190365433698,18,37265,13,5,373,36892,0.7222222222222222,0.03367875647668394,0.010009392191064,0.9113824410751822,0.09471263634998875
tos_proposed_asfd7,TOSHIBA_20MG07ACA14TA,gru_tuned_asfd7,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.0008813444990664709,18,37265,16,2,1864,35401,0.8888888888888888,0.00851063829787234,0.050020126123708576,0.9113824410751822,0.09471263634998875
tos_proposed_asfd7,TOSHIBA_20MG07ACA14TA,gru_tuned_asfd7,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.2104310820549752,29,37220,3,26,38,37182,0.10344827586206896,0.07317073170731707,0.0010209564750134337,0.9280809353517759,0.09688584641933612
tos_proposed_asfd7,TOSHIBA_20MG07ACA14TA,gru_tuned_asfd7,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.04450923435389956,29,37220,19,10,187,37033,0.6551724137931034,0.09223300970873786,0.0050241805480924235,0.9280809353517759,0.09688584641933612
tos_proposed_asfd7,TOSHIBA_20MG07ACA14TA,gru_tuned_asfd7,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.01261356312781569,29,37220,21,8,373,36847,0.7241379310344828,0.0532994923857868,0.0100214938205266,0.9280809353517759,0.09688584641933612
tos_proposed_asfd7,TOSHIBA_20MG07ACA14TA,gru_tuned_asfd7,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.0007319052674574776,29,37220,25,4,1861,35359,0.8620689655172413,0.013255567338282079,0.05,0.9280809353517759,0.09688584641933612
tos_proposed_asfd7,TOSHIBA_20MG07ACA14TA,gru_tuned_asfd7,sequence,42,2026-02,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.28659730529784305,24,37193,2,22,38,37155,0.08333333333333333,0.05,0.0010216976312747022,0.8637025112252306,0.04912336787834985
tos_proposed_asfd7,TOSHIBA_20MG07ACA14TA,gru_tuned_asfd7,sequence,42,2026-02,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.05972007066011451,24,37193,12,12,186,37007,0.5,0.06060606060606061,0.005000941037291964,0.8637025112252306,0.04912336787834985
tos_proposed_asfd7,TOSHIBA_20MG07ACA14TA,gru_tuned_asfd7,sequence,42,2026-02,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.016217402890324598,24,37193,18,6,372,36821,0.75,0.046153846153846156,0.010001882074583928,0.8637025112252306,0.04912336787834985
tos_proposed_asfd7,TOSHIBA_20MG07ACA14TA,gru_tuned_asfd7,sequence,42,2026-02,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.0012418383499607447,24,37193,19,5,1860,35333,0.7916666666666666,0.010111761575306013,0.05000941037291964,0.8637025112252306,0.04912336787834985
tos_proposed_asfd7,TOSHIBA_20MG07ACA14TA,gru_tuned_asfd7,sequence,42,2026-03,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.31626725110411624,35,37164,6,29,38,37126,0.17142857142857143,0.13636363636363635,0.0010224948875255625,0.9193735873425896,0.1258532849991431
tos_proposed_asfd7,TOSHIBA_20MG07ACA14TA,gru_tuned_asfd7,sequence,42,2026-03,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.06901559282093771,35,37164,24,11,186,36978,0.6857142857142857,0.11428571428571428,0.005004843396835648,0.9193735873425896,0.1258532849991431
tos_proposed_asfd7,TOSHIBA_20MG07ACA14TA,gru_tuned_asfd7,sequence,42,2026-03,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.017252746354788556,35,37164,25,10,372,36792,0.7142857142857143,0.06297229219143577,0.010009686793671296,0.9193735873425896,0.1258532849991431
tos_proposed_asfd7,TOSHIBA_20MG07ACA14TA,gru_tuned_asfd7,sequence,42,2026-03,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.0009394527092808848,35,37164,29,6,1859,35305,0.8285714285714286,0.015360169491525424,0.05002152620815843,0.9193735873425896,0.1258532849991431
