experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
tos_proposed_roll28,TOSHIBA_20MG07ACA14TA,gru_tuned_roll28,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.14283266089857316,29,37316,7,22,42,37274,0.2413793103448276,0.14285714285714285,0.0011255225640475935,0.919224350468136,0.17511048320498301
tos_proposed_roll28,TOSHIBA_20MG07ACA14TA,gru_tuned_roll28,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.012771012205630428,29,37316,19,10,214,37102,0.6551724137931034,0.0815450643776824,0.005734805445385358,0.919224350468136,0.17511048320498301
tos_proposed_roll28,TOSHIBA_20MG07ACA14TA,gru_tuned_roll28,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.004537474396638574,29,37316,24,5,426,36890,0.8275862068965517,0.05333333333333334,0.01141601457819702,0.919224350468136,0.17511048320498301
tos_proposed_roll28,TOSHIBA_20MG07ACA14TA,gru_tuned_roll28,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.00018934885447379108,29,37316,25,4,1760,35556,0.8620689655172413,0.014005602240896359,0.047164755064851537,0.919224350468136,0.17511048320498301
tos_proposed_roll28,TOSHIBA_20MG07ACA14TA,gru_tuned_roll28,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.14283266089857316,27,37286,13,14,38,37248,0.48148148148148145,0.2549019607843137,0.0010191492785495897,0.914113330194433,0.1702344466731634
tos_proposed_roll28,TOSHIBA_20MG07ACA14TA,gru_tuned_roll28,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.012771012205630428,27,37286,19,8,240,37046,0.7037037037037037,0.07335907335907337,0.006436732285576356,0.914113330194433,0.1702344466731634
tos_proposed_roll28,TOSHIBA_20MG07ACA14TA,gru_tuned_roll28,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.004537474396638574,27,37286,21,6,440,36846,0.7777777777777778,0.0455531453362256,0.011800675856889986,0.914113330194433,0.1702344466731634
tos_proposed_roll28,TOSHIBA_20MG07ACA14TA,gru_tuned_roll28,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.00018934885447379108,27,37286,23,4,1902,35384,0.8518518518518519,0.011948051948051949,0.05101110336319262,0.914113330194433,0.1702344466731634
tos_proposed_roll28,TOSHIBA_20MG07ACA14TA,gru_tuned_roll28,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.14283266089857316,18,37265,8,10,107,37158,0.4444444444444444,0.06956521739130435,0.0028713269824231853,0.8991368129164988,0.11276605957427852
tos_proposed_roll28,TOSHIBA_20MG07ACA14TA,gru_tuned_roll28,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.012771012205630428,18,37265,13,5,416,36849,0.7222222222222222,0.030303030303030304,0.011163289950355561,0.8991368129164988,0.11276605957427852
