experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
tos_proposed_roll28,TOSHIBA_20MG07ACA14TA,gru_tuned_roll28,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.14845391817390693,29,37316,7,22,38,37278,0.2413793103448276,0.15555555555555556,0.0010183299389002036,0.919224350468136,0.17511048320498301
tos_proposed_roll28,TOSHIBA_20MG07ACA14TA,gru_tuned_roll28,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.016284056939185002,29,37316,18,11,187,37129,0.6206896551724138,0.08780487804878048,0.005011255225640476,0.919224350468136,0.17511048320498301
tos_proposed_roll28,TOSHIBA_20MG07ACA14TA,gru_tuned_roll28,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.005469240783713705,29,37316,24,5,374,36942,0.8275862068965517,0.06030150753768844,0.010022510451280952,0.919224350468136,0.17511048320498301
tos_proposed_roll28,TOSHIBA_20MG07ACA14TA,gru_tuned_roll28,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.00018030989667749964,29,37316,25,4,1866,35450,0.8620689655172413,0.013220518244315178,0.05000535963125737,0.919224350468136,0.17511048320498301
tos_proposed_roll28,TOSHIBA_20MG07ACA14TA,gru_tuned_roll28,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.14390338711431624,27,37286,13,14,38,37248,0.48148148148148145,0.2549019607843137,0.0010191492785495897,0.914113330194433,0.1702344466731634
tos_proposed_roll28,TOSHIBA_20MG07ACA14TA,gru_tuned_roll28,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.019469259213655738,27,37286,18,9,187,37099,0.6666666666666666,0.08780487804878048,0.005015287239178244,0.914113330194433,0.1702344466731634
tos_proposed_roll28,TOSHIBA_20MG07ACA14TA,gru_tuned_roll28,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.005774497939273731,27,37286,20,7,373,36913,0.7407407407407407,0.05089058524173028,0.01000375476049992,0.914113330194433,0.1702344466731634
tos_proposed_roll28,TOSHIBA_20MG07ACA14TA,gru_tuned_roll28,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.00019347026318428107,27,37286,23,4,1865,35421,0.8518518518518519,0.012182203389830509,0.0500187738024996,0.914113330194433,0.1702344466731634
tos_proposed_roll28,TOSHIBA_20MG07ACA14TA,gru_tuned_roll28,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.45073165106771734,18,37265,2,16,38,37227,0.1111111111111111,0.05,0.0010197236012344023,0.8991368129164988,0.11276605957427852
tos_proposed_roll28,TOSHIBA_20MG07ACA14TA,gru_tuned_roll28,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.06780173569917684,18,37265,9,9,187,37078,0.5,0.04591836734693878,0.005018113511337716,0.8991368129164988,0.11276605957427852
tos_proposed_roll28,TOSHIBA_20MG07ACA14TA,gru_tuned_roll28,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.017853285372257388,18,37265,13,5,373,36892,0.7222222222222222,0.03367875647668394,0.010009392191064,0.8991368129164988,0.11276605957427852
tos_proposed_roll28,TOSHIBA_20MG07ACA14TA,gru_tuned_roll28,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.00019652666233014216,18,37265,16,2,1864,35401,0.8888888888888888,0.00851063829787234,0.050020126123708576,0.8991368129164988,0.11276605957427852
tos_proposed_roll28,TOSHIBA_20MG07ACA14TA,gru_tuned_roll28,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.23016602669657618,29,37220,3,26,38,37182,0.10344827586206896,0.07317073170731707,0.0010209564750134337,0.9240860493987288,0.06627646376354451
tos_proposed_roll28,TOSHIBA_20MG07ACA14TA,gru_tuned_roll28,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.028637959482147864,29,37220,14,15,187,37033,0.4827586206896552,0.06965174129353234,0.0050241805480924235,0.9240860493987288,0.06627646376354451
tos_proposed_roll28,TOSHIBA_20MG07ACA14TA,gru_tuned_roll28,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.007792129376902618,29,37220,22,7,373,36847,0.7586206896551724,0.05569620253164557,0.0100214938205266,0.9240860493987288,0.06627646376354451
tos_proposed_roll28,TOSHIBA_20MG07ACA14TA,gru_tuned_roll28,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.00020140664564678406,29,37220,24,5,1861,35359,0.8275862068965517,0.01273209549071618,0.05,0.9240860493987288,0.06627646376354451
tos_proposed_roll28,TOSHIBA_20MG07ACA14TA,gru_tuned_roll28,sequence,42,2026-02,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.26771558332442746,24,37193,7,17,38,37155,0.2916666666666667,0.15555555555555556,0.0010216976312747022,0.8821406805940186,0.2532069260709405
tos_proposed_roll28,TOSHIBA_20MG07ACA14TA,gru_tuned_roll28,sequence,42,2026-02,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.03264003172516839,24,37193,12,12,186,37007,0.5,0.06060606060606061,0.005000941037291964,0.8821406805940186,0.2532069260709405
tos_proposed_roll28,TOSHIBA_20MG07ACA14TA,gru_tuned_roll28,sequence,42,2026-02,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.007746123857796441,24,37193,15,9,372,36821,0.625,0.03875968992248062,0.010001882074583928,0.8821406805940186,0.2532069260709405
tos_proposed_roll28,TOSHIBA_20MG07ACA14TA,gru_tuned_roll28,sequence,42,2026-02,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.00020662040915340205,24,37193,19,5,1860,35333,0.7916666666666666,0.010111761575306013,0.05000941037291964,0.8821406805940186,0.2532069260709405
tos_proposed_roll28,TOSHIBA_20MG07ACA14TA,gru_tuned_roll28,sequence,42,2026-03,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.35667937964200064,35,37164,11,24,38,37126,0.3142857142857143,0.22448979591836735,0.0010224948875255625,0.907712532865907,0.19951504961118785
tos_proposed_roll28,TOSHIBA_20MG07ACA14TA,gru_tuned_roll28,sequence,42,2026-03,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.04446896070614427,35,37164,24,11,186,36978,0.6857142857142857,0.11428571428571428,0.005004843396835648,0.907712532865907,0.19951504961118785
tos_proposed_roll28,TOSHIBA_20MG07ACA14TA,gru_tuned_roll28,sequence,42,2026-03,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.011584981018677805,35,37164,27,8,372,36792,0.7714285714285715,0.06766917293233082,0.010009686793671296,0.907712532865907,0.19951504961118785
tos_proposed_roll28,TOSHIBA_20MG07ACA14TA,gru_tuned_roll28,sequence,42,2026-03,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.000253615032124798,35,37164,30,5,1859,35305,0.8571428571428571,0.015881418740074114,0.05002152620815843,0.907712532865907,0.19951504961118785
