experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
tos_tuned_lightgbm_roll28,TOSHIBA_20MG07ACA14TA,lightgbm_pauc_tuned_roll28,tabular,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.10548110285736267,29,37316,10,19,34,37282,0.3448275862068966,0.22727272727272727,0.0009111373137528138,0.9291835618261188,0.23036490260819445
tos_tuned_lightgbm_roll28,TOSHIBA_20MG07ACA14TA,lightgbm_pauc_tuned_roll28,tabular,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.017241281140468277,29,37316,21,8,189,37127,0.7241379310344828,0.1,0.005064851538214171,0.9291835618261188,0.23036490260819445
tos_tuned_lightgbm_roll28,TOSHIBA_20MG07ACA14TA,lightgbm_pauc_tuned_roll28,tabular,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.004847669087881449,29,37316,23,6,387,36929,0.7931034482758621,0.05609756097560976,0.010370886483009968,0.9291835618261188,0.23036490260819445
tos_tuned_lightgbm_roll28,TOSHIBA_20MG07ACA14TA,lightgbm_pauc_tuned_roll28,tabular,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.0002573084916889585,29,37316,24,5,2115,35201,0.8275862068965517,0.011220196353436185,0.05667810054668239,0.9291835618261188,0.23036490260819445
tos_tuned_lightgbm_roll28,TOSHIBA_20MG07ACA14TA,lightgbm_pauc_tuned_roll28,tabular,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.10548110285736267,27,37286,9,18,43,37243,0.3333333333333333,0.17307692307692307,0.0011532478678324303,0.9142792151159903,0.13887288235780698
tos_tuned_lightgbm_roll28,TOSHIBA_20MG07ACA14TA,lightgbm_pauc_tuned_roll28,tabular,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.017241281140468277,27,37286,19,8,199,37087,0.7037037037037037,0.0871559633027523,0.005337123853457062,0.9142792151159903,0.13887288235780698
tos_tuned_lightgbm_roll28,TOSHIBA_20MG07ACA14TA,lightgbm_pauc_tuned_roll28,tabular,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.004847669087881449,27,37286,19,8,411,36875,0.7037037037037037,0.044186046511627906,0.011022904039049508,0.9142792151159903,0.13887288235780698
tos_tuned_lightgbm_roll28,TOSHIBA_20MG07ACA14TA,lightgbm_pauc_tuned_roll28,tabular,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.0002573084916889585,27,37286,23,4,2321,34965,0.8518518518518519,0.009812286689419795,0.06224856514509467,0.9142792151159903,0.13887288235780698
tos_tuned_lightgbm_roll28,TOSHIBA_20MG07ACA14TA,lightgbm_pauc_tuned_roll28,tabular,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.10548110285736267,18,37265,8,10,58,37207,0.4444444444444444,0.12121212121212122,0.0015564202334630351,0.9159190184414926,0.12299589673429098
tos_tuned_lightgbm_roll28,TOSHIBA_20MG07ACA14TA,lightgbm_pauc_tuned_roll28,tabular,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.017241281140468277,18,37265,14,4,248,37017,0.7777777777777778,0.05343511450381679,0.0066550382396350465,0.9159190184414926,0.12299589673429098
