experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
tos_tuned_mlp_roll28,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_roll28,tabular,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.14577524736523864,29,37316,6,23,35,37281,0.20689655172413793,0.14634146341463414,0.0009379354700396613,0.8646323477772315,0.09904755127078056
tos_tuned_mlp_roll28,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_roll28,tabular,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.02011205822229297,29,37316,20,9,194,37122,0.6896551724137931,0.09345794392523364,0.005198842319648408,0.8646323477772315,0.09904755127078056
tos_tuned_mlp_roll28,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_roll28,tabular,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.0037506462191231713,29,37316,23,6,413,36903,0.7931034482758621,0.052752293577981654,0.011067638546468002,0.8646323477772315,0.09904755127078056
tos_tuned_mlp_roll28,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_roll28,tabular,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.00033211317349923487,29,37316,24,5,1898,35418,0.8275862068965517,0.012486992715920915,0.05086290063243649,0.8646323477772315,0.09904755127078056
tos_tuned_mlp_roll28,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_roll28,tabular,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.14577524736523864,27,37286,10,17,35,37251,0.37037037037037035,0.2222222222222222,0.0009386901249798852,0.8390141469045079,0.11440187034488566
tos_tuned_mlp_roll28,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_roll28,tabular,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.02011205822229297,27,37286,15,12,203,37083,0.5555555555555556,0.06880733944954129,0.005444402724883334,0.8390141469045079,0.11440187034488566
tos_tuned_mlp_roll28,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_roll28,tabular,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.0037506462191231713,27,37286,20,7,438,36848,0.7407407407407407,0.043668122270742356,0.01174703642117685,0.8390141469045079,0.11440187034488566
tos_tuned_mlp_roll28,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_roll28,tabular,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.00033211317349923487,27,37286,22,5,2002,35284,0.8148148148148148,0.010869565217391304,0.05369307514884943,0.8390141469045079,0.11440187034488566
tos_tuned_mlp_roll28,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_roll28,tabular,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.14577524736523864,18,37265,8,10,48,37217,0.4444444444444444,0.14285714285714285,0.0012880719173487187,0.9078521698943007,0.10746832220860587
tos_tuned_mlp_roll28,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_roll28,tabular,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.02011205822229297,18,37265,14,4,226,37039,0.7777777777777778,0.058333333333333334,0.0060646719441835506,0.9078521698943007,0.10746832220860587
tos_tuned_mlp_roll28,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_roll28,tabular,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.0037506462191231713,18,37265,15,3,454,36811,0.8333333333333334,0.031982942430703626,0.012183013551589964,0.9078521698943007,0.10746832220860587
tos_tuned_mlp_roll28,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_roll28,tabular,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.00033211317349923487,18,37265,16,2,2137,35128,0.8888888888888888,0.0074314909428704135,0.05734603515362941,0.9078521698943007,0.10746832220860587
tos_tuned_mlp_roll28,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_roll28,tabular,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.14577524736523864,29,37220,10,19,54,37166,0.3448275862068966,0.15625,0.0014508328855454057,0.9290912375623042,0.09946314350442485
tos_tuned_mlp_roll28,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_roll28,tabular,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.02011205822229297,29,37220,20,9,230,36990,0.6896551724137931,0.08,0.006179473401397098,0.9290912375623042,0.09946314350442485
tos_tuned_mlp_roll28,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_roll28,tabular,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.0037506462191231713,29,37220,23,6,493,36727,0.7931034482758621,0.044573643410852716,0.013245566899516389,0.9290912375623042,0.09946314350442485
tos_tuned_mlp_roll28,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_roll28,tabular,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.00033211317349923487,29,37220,25,4,2533,34687,0.8620689655172413,0.009773260359655981,0.06805480924234282,0.9290912375623042,0.09946314350442485
tos_tuned_mlp_roll28,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_roll28,tabular,42,2026-02,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.14577524736523864,24,37193,9,15,71,37122,0.375,0.1125,0.00190896136369747,0.8974291757409549,0.07583406225658643
tos_tuned_mlp_roll28,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_roll28,tabular,42,2026-02,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.02011205822229297,24,37193,15,9,240,36953,0.625,0.058823529411764705,0.006452827144892856,0.8974291757409549,0.07583406225658643
tos_tuned_mlp_roll28,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_roll28,tabular,42,2026-02,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.0037506462191231713,24,37193,17,7,481,36712,0.7083333333333334,0.03413654618473896,0.0129325410695561,0.8974291757409549,0.07583406225658643
tos_tuned_mlp_roll28,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_roll28,tabular,42,2026-02,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.00033211317349923487,24,37193,19,5,2680,34513,0.7916666666666666,0.007039644312708411,0.0720565697846369,0.8974291757409549,0.07583406225658643
tos_tuned_mlp_roll28,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_roll28,tabular,42,2026-03,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.14577524736523864,35,37164,16,19,69,37095,0.45714285714285713,0.18823529411764706,0.001856635453664837,0.9060273382843611,0.14134535977962234
tos_tuned_mlp_roll28,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_roll28,tabular,42,2026-03,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.02011205822229297,35,37164,24,11,278,36886,0.6857142857142857,0.07947019867549669,0.0074803573350554296,0.9060273382843611,0.14134535977962234
tos_tuned_mlp_roll28,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_roll28,tabular,42,2026-03,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.0037506462191231713,35,37164,28,7,584,36580,0.8,0.0457516339869281,0.015714131955656012,0.9060273382843611,0.14134535977962234
tos_tuned_mlp_roll28,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_roll28,tabular,42,2026-03,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.00033211317349923487,35,37164,29,6,2774,34390,0.8285714285714286,0.010346057795219408,0.07464212678936605,0.9060273382843611,0.14134535977962234
