experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
tos_tuned_mlp_roll28,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_roll28,tabular,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.14291107438503492,29,37316,6,23,38,37278,0.20689655172413793,0.13636363636363635,0.0010183299389002036,0.8646323477772315,0.09904755127078056
tos_tuned_mlp_roll28,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_roll28,tabular,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.022265670588242782,29,37316,19,10,187,37129,0.6551724137931034,0.09223300970873786,0.005011255225640476,0.8646323477772315,0.09904755127078056
tos_tuned_mlp_roll28,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_roll28,tabular,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.004863748699426647,29,37316,23,6,374,36942,0.7931034482758621,0.05793450881612091,0.010022510451280952,0.8646323477772315,0.09904755127078056
tos_tuned_mlp_roll28,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_roll28,tabular,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.0003420989232836291,29,37316,24,5,1866,35450,0.8275862068965517,0.012698412698412698,0.05000535963125737,0.8646323477772315,0.09904755127078056
tos_tuned_mlp_roll28,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_roll28,tabular,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.14475996933877397,27,37286,10,17,38,37248,0.37037037037037035,0.20833333333333334,0.0010191492785495897,0.8390141469045079,0.11440187034488566
tos_tuned_mlp_roll28,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_roll28,tabular,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.02446747552603419,27,37286,14,13,187,37099,0.5185185185185185,0.06965174129353234,0.005015287239178244,0.8390141469045079,0.11440187034488566
tos_tuned_mlp_roll28,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_roll28,tabular,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.005034331860952144,27,37286,20,7,373,36913,0.7407407407407407,0.05089058524173028,0.01000375476049992,0.8390141469045079,0.11440187034488566
tos_tuned_mlp_roll28,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_roll28,tabular,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.00035799204488284886,27,37286,22,5,1865,35421,0.8148148148148148,0.011658717541070483,0.0500187738024996,0.8390141469045079,0.11440187034488566
tos_tuned_mlp_roll28,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_roll28,tabular,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.1579289436340332,18,37265,8,10,39,37226,0.4444444444444444,0.1702127659574468,0.001046558432845834,0.9078521698943007,0.10746832220860587
tos_tuned_mlp_roll28,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_roll28,tabular,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.027432649657130433,18,37265,13,5,187,37078,0.7222222222222222,0.065,0.005018113511337716,0.9078521698943007,0.10746832220860587
tos_tuned_mlp_roll28,TOSHIBA_20MG07ACA14TA,mlp_pauc_tuned_roll28,tabular,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.006325198262929981,18,37265,15,3,373,36892,0.8333333333333334,0.03865979381443299,0.010009392191064,0.9078521698943007,0.10746832220860587
