experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
tos_tuned_xgboost_roll28,TOSHIBA_20MG07ACA14TA,xgboost_pauc_tuned_roll28,tabular,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.11123480543494318,29,37316,10,19,40,37276,0.3448275862068966,0.2,0.0010719262514738985,0.9291493710749942,0.20304579531639758
tos_tuned_xgboost_roll28,TOSHIBA_20MG07ACA14TA,xgboost_pauc_tuned_roll28,tabular,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.0176527619268744,29,37316,21,8,193,37123,0.7241379310344828,0.09813084112149532,0.005172044163361561,0.9291493710749942,0.20304579531639758
tos_tuned_xgboost_roll28,TOSHIBA_20MG07ACA14TA,xgboost_pauc_tuned_roll28,tabular,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.00504784286022192,29,37316,24,5,428,36888,0.8275862068965517,0.05309734513274336,0.011469610890770716,0.9291493710749942,0.20304579531639758
tos_tuned_xgboost_roll28,TOSHIBA_20MG07ACA14TA,xgboost_pauc_tuned_roll28,tabular,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.0005693890067050229,29,37316,25,4,1963,35353,0.8620689655172413,0.012575452716297788,0.05260478079108157,0.9291493710749942,0.20304579531639758
tos_tuned_xgboost_roll28,TOSHIBA_20MG07ACA14TA,xgboost_pauc_tuned_roll28,tabular,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.11123480543494318,27,37286,11,16,47,37239,0.4074074074074074,0.1896551724137931,0.001260526739258703,0.9195170066810898,0.15377137049992054
tos_tuned_xgboost_roll28,TOSHIBA_20MG07ACA14TA,xgboost_pauc_tuned_roll28,tabular,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.0176527619268744,27,37286,19,8,205,37081,0.7037037037037037,0.08482142857142858,0.005498042160596471,0.9195170066810898,0.15377137049992054
tos_tuned_xgboost_roll28,TOSHIBA_20MG07ACA14TA,xgboost_pauc_tuned_roll28,tabular,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.00504784286022192,27,37286,20,7,412,36874,0.7407407407407407,0.046296296296296294,0.011049723756906077,0.9195170066810898,0.15377137049992054
tos_tuned_xgboost_roll28,TOSHIBA_20MG07ACA14TA,xgboost_pauc_tuned_roll28,tabular,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.0005693890067050229,27,37286,23,4,1919,35367,0.8518518518518519,0.01184346035015448,0.051467038566754275,0.9195170066810898,0.15377137049992054
tos_tuned_xgboost_roll28,TOSHIBA_20MG07ACA14TA,xgboost_pauc_tuned_roll28,tabular,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.11123480543494318,18,37265,9,9,61,37204,0.5,0.12857142857142856,0.0016369247282973299,0.9026298134979203,0.11673684120389664
tos_tuned_xgboost_roll28,TOSHIBA_20MG07ACA14TA,xgboost_pauc_tuned_roll28,tabular,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.0176527619268744,18,37265,13,5,316,36949,0.7222222222222222,0.03951367781155015,0.008479806789212398,0.9026298134979203,0.11673684120389664
tos_tuned_xgboost_roll28,TOSHIBA_20MG07ACA14TA,xgboost_pauc_tuned_roll28,tabular,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.00504784286022192,18,37265,14,4,584,36681,0.7777777777777778,0.023411371237458192,0.015671541661076076,0.9026298134979203,0.11673684120389664
tos_tuned_xgboost_roll28,TOSHIBA_20MG07ACA14TA,xgboost_pauc_tuned_roll28,tabular,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.0005693890067050229,18,37265,16,2,2139,35126,0.8888888888888888,0.007424593967517401,0.057399704816852276,0.9026298134979203,0.11673684120389664
tos_tuned_xgboost_roll28,TOSHIBA_20MG07ACA14TA,xgboost_pauc_tuned_roll28,tabular,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.11123480543494318,29,37220,10,19,67,37153,0.3448275862068966,0.12987012987012986,0.001800107469102633,0.9490054475717541,0.13165510740115377
tos_tuned_xgboost_roll28,TOSHIBA_20MG07ACA14TA,xgboost_pauc_tuned_roll28,tabular,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.0176527619268744,29,37220,18,11,246,36974,0.6206896551724138,0.06818181818181818,0.0066093498119290705,0.9490054475717541,0.13165510740115377
tos_tuned_xgboost_roll28,TOSHIBA_20MG07ACA14TA,xgboost_pauc_tuned_roll28,tabular,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.00504784286022192,29,37220,23,6,432,36788,0.7931034482758621,0.05054945054945055,0.011606663084363245,0.9490054475717541,0.13165510740115377
tos_tuned_xgboost_roll28,TOSHIBA_20MG07ACA14TA,xgboost_pauc_tuned_roll28,tabular,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.0005693890067050229,29,37220,24,5,1805,35415,0.8275862068965517,0.013121924548933843,0.0484954325631381,0.9490054475717541,0.13165510740115377
