experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
tosfeat_asfd7,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.11616677846759038,29,37316,9,20,38,37278,0.3103448275862069,0.19148936170212766,0.0010183299389002036,0.9228887673217738,0.18819896752720494
tosfeat_asfd7,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.042792547214776384,29,37316,18,11,187,37129,0.6206896551724138,0.08780487804878048,0.005011255225640476,0.9228887673217738,0.18819896752720494
tosfeat_asfd7,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.018640493601560556,29,37316,24,5,374,36942,0.8275862068965517,0.06030150753768844,0.010022510451280952,0.9228887673217738,0.18819896752720494
tosfeat_asfd7,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.0004947755660396069,29,37316,25,4,1866,35450,0.8620689655172413,0.013220518244315178,0.05000535963125737,0.9228887673217738,0.18819896752720494
tosfeat_asfd7,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.12721085555850953,27,37286,11,16,38,37248,0.4074074074074074,0.22448979591836735,0.0010191492785495897,0.8741906901806059,0.15815373537458063
tosfeat_asfd7,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.04339647367596513,27,37286,18,9,187,37099,0.6666666666666666,0.08780487804878048,0.005015287239178244,0.8741906901806059,0.15815373537458063
tosfeat_asfd7,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.019670880958437945,27,37286,19,8,373,36913,0.7037037037037037,0.04846938775510204,0.01000375476049992,0.8741906901806059,0.15815373537458063
tosfeat_asfd7,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.0005682216724380851,27,37286,21,6,1865,35421,0.7777777777777778,0.011134676564156946,0.0500187738024996,0.8741906901806059,0.15815373537458063
tosfeat_asfd7,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.14030465888977026,18,37265,6,12,38,37227,0.3333333333333333,0.13636363636363635,0.0010197236012344023,0.9228021527498248,0.10836512746627708
tosfeat_asfd7,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.060533801913261485,18,37265,11,7,187,37078,0.6111111111111112,0.05555555555555555,0.005018113511337716,0.9228021527498248,0.10836512746627708
tosfeat_asfd7,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.024420370087027594,18,37265,14,4,373,36892,0.7777777777777778,0.03617571059431524,0.010009392191064,0.9228021527498248,0.10836512746627708
tosfeat_asfd7,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.0006182650104165075,18,37265,16,2,1864,35401,0.8888888888888888,0.00851063829787234,0.050020126123708576,0.9228021527498248,0.10836512746627708
tosfeat_asfd7,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.15673141202331625,29,37220,5,24,38,37182,0.1724137931034483,0.11627906976744186,0.0010209564750134337,0.9318465230039468,0.10039438528015493
tosfeat_asfd7,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.042633810993283776,29,37220,19,10,187,37033,0.6551724137931034,0.09223300970873786,0.0050241805480924235,0.9318465230039468,0.10039438528015493
