experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
tosfeat_diff7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.11376750972122093,29,37316,8,21,38,37278,0.27586206896551724,0.17391304347826086,0.0010183299389002036,0.9129752976443497,0.175126134442557
tosfeat_diff7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.0320362395420658,29,37316,21,8,237,37079,0.7241379310344828,0.08139534883720931,0.0063511630399828494,0.9129752976443497,0.175126134442557
tosfeat_diff7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.011094925953075435,29,37316,23,6,416,36900,0.7931034482758621,0.05239179954441914,0.011148033015328546,0.9129752976443497,0.175126134442557
tosfeat_diff7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.0005662087089149277,29,37316,25,4,1735,35581,0.8620689655172413,0.014204545454545454,0.04649480115768035,0.9129752976443497,0.175126134442557
tosfeat_diff7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.11376750972122093,27,37286,12,15,46,37240,0.4444444444444444,0.20689655172413793,0.0012337070214021347,0.8931989168807277,0.16792370559426556
tosfeat_diff7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.0320362395420658,27,37286,19,8,241,37045,0.7037037037037037,0.07307692307692308,0.006463552003432924,0.8931989168807277,0.16792370559426556
tosfeat_diff7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.011094925953075435,27,37286,21,6,444,36842,0.7777777777777778,0.04516129032258064,0.011907954728316258,0.8931989168807277,0.16792370559426556
tosfeat_diff7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.0005662087089149277,27,37286,21,6,1893,35393,0.7777777777777778,0.0109717868338558,0.050769725902483506,0.8931989168807277,0.16792370559426556
tosfeat_diff7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.11376750972122093,18,37265,4,14,51,37214,0.2222222222222222,0.07272727272727272,0.0013685764121830135,0.9235818536905347,0.058294613524655724
tosfeat_diff7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.0320362395420658,18,37265,13,5,333,36932,0.7222222222222222,0.03757225433526012,0.008935998926606736,0.9235818536905347,0.058294613524655724
tosfeat_diff7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.011094925953075435,18,37265,14,4,546,36719,0.7777777777777778,0.025,0.014651818059841674,0.9235818536905347,0.058294613524655724
tosfeat_diff7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.0005662087089149277,18,37265,16,2,2068,35197,0.8888888888888888,0.007677543186180422,0.05549443177244063,0.9235818536905347,0.058294613524655724
tosfeat_diff7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.11376750972122093,29,37220,5,24,54,37166,0.1724137931034483,0.0847457627118644,0.0014508328855454057,0.9341010580147862,0.08711260868153409
tosfeat_diff7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.0320362395420658,29,37220,18,11,206,37014,0.6206896551724138,0.08035714285714286,0.00553465878559914,0.9341010580147862,0.08711260868153409
tosfeat_diff7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.011094925953075435,29,37220,20,9,412,36808,0.6896551724137931,0.046296296296296294,0.01106931757119828,0.9341010580147862,0.08711260868153409
tosfeat_diff7,TOSHIBA_20MG07ACA14TA,gru,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.0005662087089149277,29,37220,25,4,1612,35608,0.8620689655172413,0.015271838729383017,0.043310048361096184,0.9341010580147862,0.08711260868153409
