experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
tosfeat_roll28mean,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.14934500119090155,29,37316,4,25,26,37290,0.13793103448275862,0.13333333333333333,0.0006967520634580341,0.9124005233957144,0.13992136769326352
tosfeat_roll28mean,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.022320939907804108,29,37316,18,11,189,37127,0.6206896551724138,0.08695652173913043,0.005064851538214171,0.9124005233957144,0.13992136769326352
tosfeat_roll28mean,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.0047408934868872635,29,37316,22,7,389,36927,0.7586206896551724,0.0535279805352798,0.010424482795583664,0.9124005233957144,0.13992136769326352
tosfeat_roll28mean,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,9.734947670949557e-05,29,37316,25,4,1823,35493,0.8620689655172413,0.013528138528138528,0.04885303891092293,0.9124005233957144,0.13992136769326352
tosfeat_roll28mean,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.14934500119090155,27,37286,9,18,33,37253,0.3333333333333333,0.21428571428571427,0.0008850506892667489,0.9199366855994009,0.12278349916303746
tosfeat_roll28mean,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.022320939907804108,27,37286,18,9,216,37070,0.6666666666666666,0.07692307692307693,0.00579305905701872,0.9199366855994009,0.12278349916303746
tosfeat_roll28mean,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.0047408934868872635,27,37286,20,7,437,36849,0.7407407407407407,0.0437636761487965,0.01172021670332028,0.9199366855994009,0.12278349916303746
tosfeat_roll28mean,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,9.734947670949557e-05,27,37286,21,6,1961,35325,0.7777777777777778,0.010595358224016145,0.05259346671673014,0.9199366855994009,0.12278349916303746
tosfeat_roll28mean,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.14934500119090155,18,37265,5,13,47,37218,0.2777777777777778,0.09615384615384616,0.001261237085737287,0.9327176230302487,0.07249505079435131
tosfeat_roll28mean,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.022320939907804108,18,37265,12,6,253,37012,0.6666666666666666,0.045283018867924525,0.006789212397692205,0.9327176230302487,0.07249505079435131
