experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
tosfeat_roll28mean,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.12503023575991307,29,37316,5,24,38,37278,0.1724137931034483,0.11627906976744186,0.0010183299389002036,0.9124005233957144,0.13992136769326352
tosfeat_roll28mean,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.022582410182803957,29,37316,18,11,187,37129,0.6206896551724138,0.08780487804878048,0.005011255225640476,0.9124005233957144,0.13992136769326352
tosfeat_roll28mean,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.0057270971592515455,29,37316,22,7,374,36942,0.7586206896551724,0.05555555555555555,0.010022510451280952,0.9124005233957144,0.13992136769326352
tosfeat_roll28mean,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,9.286304521083366e-05,29,37316,25,4,1866,35450,0.8620689655172413,0.013220518244315178,0.05000535963125737,0.9124005233957144,0.13992136769326352
tosfeat_roll28mean,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.1234926624968639,27,37286,9,18,38,37248,0.3333333333333333,0.19148936170212766,0.0010191492785495897,0.9199366855994009,0.12278349916303746
tosfeat_roll28mean,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.027637610584496906,27,37286,16,11,187,37099,0.5925925925925926,0.07881773399014778,0.005015287239178244,0.9199366855994009,0.12278349916303746
tosfeat_roll28mean,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.008364116121083518,27,37286,20,7,373,36913,0.7407407407407407,0.05089058524173028,0.01000375476049992,0.9199366855994009,0.12278349916303746
tosfeat_roll28mean,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.00010611557445372455,27,37286,21,6,1865,35421,0.7777777777777778,0.011134676564156946,0.0500187738024996,0.9199366855994009,0.12278349916303746
tosfeat_roll28mean,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.1838215287923739,18,37265,4,14,38,37227,0.2222222222222222,0.09523809523809523,0.0010197236012344023,0.9327176230302487,0.07249505079435131
tosfeat_roll28mean,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.036655450612306864,18,37265,10,8,187,37078,0.5555555555555556,0.050761421319796954,0.005018113511337716,0.9327176230302487,0.07249505079435131
tosfeat_roll28mean,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.009678081497550011,18,37265,14,4,373,36892,0.7777777777777778,0.03617571059431524,0.010009392191064,0.9327176230302487,0.07249505079435131
tosfeat_roll28mean,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.00010248022590530925,18,37265,16,2,1864,35401,0.8888888888888888,0.00851063829787234,0.050020126123708576,0.9327176230302487,0.07249505079435131
tosfeat_roll28mean,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.1310845879614448,29,37220,8,21,38,37182,0.27586206896551724,0.17391304347826086,0.0010209564750134337,0.9303220367247864,0.11298894129248989
tosfeat_roll28mean,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.037078709155320994,29,37220,21,8,187,37033,0.7241379310344828,0.10096153846153846,0.0050241805480924235,0.9303220367247864,0.11298894129248989
tosfeat_roll28mean,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.009773927005007843,29,37220,24,5,373,36847,0.8275862068965517,0.060453400503778336,0.0100214938205266,0.9303220367247864,0.11298894129248989
tosfeat_roll28mean,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.00011912948830285895,29,37220,25,4,1861,35359,0.8620689655172413,0.013255567338282079,0.05,0.9303220367247864,0.11298894129248989
