experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
tosfeat_roll28std,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.3502955023646426,29,37316,4,25,28,37288,0.13793103448275862,0.125,0.000750348376031729,0.9199927182940848,0.09315457558343775
tosfeat_roll28std,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.04074913024902061,29,37316,16,13,223,37093,0.5517241379310345,0.06694560669456066,0.005975988851966985,0.9199927182940848,0.09315457558343775
tosfeat_roll28std,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.008983024293557138,29,37316,24,5,415,36901,0.8275862068965517,0.05466970387243736,0.011121234859041698,0.9199927182940848,0.09315457558343775
tosfeat_roll28std,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.0002030154028034302,29,37316,25,4,1887,35429,0.8620689655172413,0.01307531380753138,0.05056812091328117,0.9199927182940848,0.09315457558343775
tosfeat_roll28std,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.3502955023646426,27,37286,7,20,31,37255,0.25925925925925924,0.18421052631578946,0.0008314112535536126,0.8897421532458812,0.123077783170571
tosfeat_roll28std,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.04074913024902061,27,37286,18,9,238,37048,0.6666666666666666,0.0703125,0.00638309284986322,0.8897421532458812,0.123077783170571
tosfeat_roll28std,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.01,0.008983024293557138,27,37286,20,7,460,36826,0.7407407407407407,0.041666666666666664,0.012337070214021348,0.8897421532458812,0.123077783170571
tosfeat_roll28std,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.05,0.0002030154028034302,27,37286,22,5,2132,35154,0.8148148148148148,0.01021355617455896,0.05717963847020329,0.8897421532458812,0.123077783170571
tosfeat_roll28std,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.001,0.3502955023646426,18,37265,4,14,64,37201,0.2222222222222222,0.058823529411764705,0.0017174292231316249,0.932003518344589,0.06718384814642811
tosfeat_roll28std,TOSHIBA_20MG07ACA14TA,gru_pauc,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,val_quantile,0.005,0.04074913024902061,18,37265,14,4,342,36923,0.7777777777777778,0.03932584269662921,0.00917751241110962,0.932003518344589,0.06718384814642811
