experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
imb_adasyn,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.9544920701980589,16,9782,2,14,12,9770,0.125,0.14285714285714285,0.0012267429973420569,0.9468794725005112,0.09552920324493508
imb_adasyn,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.9422016996145243,16,9782,5,11,41,9741,0.3125,0.10869565217391304,0.004191371907585361,0.9468794725005112,0.09552920324493508
imb_adasyn,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.9096514236927039,16,9782,10,6,113,9669,0.625,0.08130081300813008,0.011551829891637702,0.9468794725005112,0.09552920324493508
imb_adasyn,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.8158978462219239,16,9782,11,5,515,9267,0.6875,0.02091254752851711,0.0526477203025966,0.9468794725005112,0.09552920324493508
imb_adasyn,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.9544920701980589,17,9741,0,17,2,9739,0.0,0.0,0.0002053177291859152,0.937109367923332,0.02876163067627584
imb_adasyn,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.9422016996145243,17,9741,0,17,15,9726,0.0,0.0,0.001539882968894364,0.937109367923332,0.02876163067627584
imb_adasyn,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.9096514236927039,17,9741,3,14,90,9651,0.17647058823529413,0.03225806451612903,0.009239297813366184,0.937109367923332,0.02876163067627584
imb_adasyn,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.8158978462219239,17,9741,11,6,424,9317,0.6470588235294118,0.02528735632183908,0.04352735858741402,0.937109367923332,0.02876163067627584
imb_adasyn,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.9544920701980589,14,9724,0,14,2,9722,0.0,0.0,0.00020567667626491157,0.9791752365281776,0.05823483690224204
imb_adasyn,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.9422016996145243,14,9724,2,12,18,9706,0.14285714285714285,0.1,0.001851090086384204,0.9791752365281776,0.05823483690224204
imb_adasyn,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.9096514236927039,14,9724,5,9,83,9641,0.35714285714285715,0.056818181818181816,0.00853558206499383,0.9791752365281776,0.05823483690224204
imb_adasyn,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.8158978462219239,14,9724,11,3,418,9306,0.7857142857142857,0.02564102564102564,0.042986425339366516,0.9791752365281776,0.05823483690224204
