experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
imb_easy_ensemble,HGST_20HUH721212ALN604,xgboost_easy_ensemble,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.7701459965397598,16,9782,2,14,11,9771,0.125,0.15384615384615385,0.0011245144142302188,0.9697690911878962,0.09113394309533088
imb_easy_ensemble,HGST_20HUH721212ALN604,xgboost_easy_ensemble,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.7597187973123464,16,9782,6,10,62,9720,0.375,0.08823529411764706,0.00633817215293396,0.9697690911878962,0.09113394309533088
imb_easy_ensemble,HGST_20HUH721212ALN604,xgboost_easy_ensemble,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.743007510784756,16,9782,8,8,114,9668,0.5,0.06557377049180328,0.01165405847474954,0.9697690911878962,0.09113394309533088
imb_easy_ensemble,HGST_20HUH721212ALN604,xgboost_easy_ensemble,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.6769444733555499,16,9782,14,2,525,9257,0.875,0.025974025974025976,0.05367000613371499,0.9697690911878962,0.09113394309533088
imb_easy_ensemble,HGST_20HUH721212ALN604,xgboost_easy_ensemble,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.7701459965397598,17,9741,1,16,12,9729,0.058823529411764705,0.07692307692307693,0.0012319063751154912,0.9325591647191677,0.057268186852085866
imb_easy_ensemble,HGST_20HUH721212ALN604,xgboost_easy_ensemble,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.7597187973123464,17,9741,5,12,57,9684,0.29411764705882354,0.08064516129032258,0.005851555281798583,0.9325591647191677,0.057268186852085866
imb_easy_ensemble,HGST_20HUH721212ALN604,xgboost_easy_ensemble,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.743007510784756,17,9741,7,10,115,9626,0.4117647058823529,0.05737704918032787,0.011805769428190125,0.9325591647191677,0.057268186852085866
imb_easy_ensemble,HGST_20HUH721212ALN604,xgboost_easy_ensemble,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.6769444733555499,17,9741,12,5,535,9206,0.7058823529411765,0.021937842778793418,0.05492249255723232,0.9325591647191677,0.057268186852085866
imb_easy_ensemble,HGST_20HUH721212ALN604,xgboost_easy_ensemble,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.7701459965397598,14,9724,3,11,16,9708,0.21428571428571427,0.15789473684210525,0.0016454134101192926,0.9706212904742317,0.08054540724663589
imb_easy_ensemble,HGST_20HUH721212ALN604,xgboost_easy_ensemble,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.7597187973123464,14,9724,7,7,65,9659,0.5,0.09722222222222222,0.0066844919786096255,0.9706212904742317,0.08054540724663589
imb_easy_ensemble,HGST_20HUH721212ALN604,xgboost_easy_ensemble,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.743007510784756,14,9724,8,6,123,9601,0.5714285714285714,0.061068702290076333,0.01264911559029206,0.9706212904742317,0.08054540724663589
imb_easy_ensemble,HGST_20HUH721212ALN604,xgboost_easy_ensemble,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.6769444733555499,14,9724,11,3,558,9166,0.7857142857142857,0.019332161687170474,0.05738379267791033,0.9706212904742317,0.08054540724663589
