experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
imb_ros,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.9841234836578369,16,9782,3,13,16,9766,0.1875,0.15789473684210525,0.001635657329789409,0.9499079942751993,0.17619211340090515
imb_ros,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.9754725801944732,16,9782,6,10,55,9727,0.375,0.09836065573770492,0.005622572071151094,0.9499079942751993,0.17619211340090515
imb_ros,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.9666503822803497,16,9782,10,6,105,9677,0.625,0.08695652173913043,0.010734001226742998,0.9499079942751993,0.17619211340090515
imb_ros,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.8183488845825195,16,9782,14,2,516,9266,0.875,0.026415094339622643,0.05274994888570844,0.9499079942751993,0.17619211340090515
imb_ros,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.9841234836578369,17,9741,2,15,21,9720,0.11764705882352941,0.08695652173913043,0.0021558361564521095,0.9519314963435328,0.05050107244992456
imb_ros,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.9754725801944732,17,9741,4,13,47,9694,0.23529411764705882,0.0784313725490196,0.004824966635869008,0.9519314963435328,0.05050107244992456
imb_ros,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.9666503822803497,17,9741,4,13,94,9647,0.23529411764705882,0.04081632653061224,0.009649933271738015,0.9519314963435328,0.05050107244992456
imb_ros,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.8183488845825195,17,9741,13,4,509,9232,0.7647058823529411,0.02490421455938697,0.05225336207781542,0.9519314963435328,0.05050107244992456
imb_ros,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.9841234836578369,14,9724,4,10,18,9706,0.2857142857142857,0.18181818181818182,0.001851090086384204,0.9785802432861256,0.08628957663877047
imb_ros,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.9754725801944732,14,9724,5,9,40,9684,0.35714285714285715,0.1111111111111111,0.004113533525298231,0.9785802432861256,0.08628957663877047
imb_ros,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.9666503822803497,14,9724,5,9,85,9639,0.35714285714285715,0.05555555555555555,0.008741258741258742,0.9785802432861256,0.08628957663877047
imb_ros,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.8183488845825195,14,9724,12,2,503,9221,0.8571428571428571,0.02330097087378641,0.05172768408062526,0.9785802432861256,0.08628957663877047
