experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
imb_rus_50,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.769247125387181,16,9782,1,15,20,9762,0.0625,0.047619047619047616,0.0020445716622367613,0.9493968513596401,0.1247072164205429
imb_rus_50,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.6403677165508243,16,9782,5,11,57,9725,0.3125,0.08064516129032258,0.00582702923737477,0.9493968513596401,0.1247072164205429
imb_rus_50,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.4865582978725446,16,9782,9,7,112,9670,0.5625,0.0743801652892562,0.011449601308525863,0.9493968513596401,0.1247072164205429
imb_rus_50,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.11850824952125526,16,9782,14,2,509,9273,0.875,0.02676864244741874,0.05203434880392558,0.9493968513596401,0.1247072164205429
imb_rus_50,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.769247125387181,17,9741,6,11,9,9732,0.35294117647058826,0.4,0.0009239297813366184,0.9472212660857384,0.2567693890298838
imb_rus_50,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.6403677165508243,17,9741,8,9,41,9700,0.47058823529411764,0.16326530612244897,0.0042090134483112615,0.9472212660857384,0.2567693890298838
imb_rus_50,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.4865582978725446,17,9741,10,7,110,9631,0.5882352941176471,0.08333333333333333,0.011292475105225337,0.9472212660857384,0.2567693890298838
imb_rus_50,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.11850824952125526,17,9741,15,2,484,9257,0.8823529411764706,0.03006012024048096,0.049686890462991476,0.9472212660857384,0.2567693890298838
imb_rus_50,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.769247125387181,14,9724,0,14,12,9712,0.0,0.0,0.0012340600575894694,0.9753261444437915,0.05934715179403623
imb_rus_50,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.6403677165508243,14,9724,3,11,51,9673,0.21428571428571427,0.05555555555555555,0.005244755244755245,0.9753261444437915,0.05934715179403623
imb_rus_50,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.4865582978725446,14,9724,9,5,116,9608,0.6428571428571429,0.072,0.01192924722336487,0.9753261444437915,0.05934715179403623
imb_rus_50,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.11850824952125526,14,9724,11,3,473,9251,0.7857142857142857,0.022727272727272728,0.048642533936651584,0.9753261444437915,0.05934715179403623
