experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
imb_stride_30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.47528214699029886,16,9782,3,13,12,9770,0.1875,0.2,0.0012267429973420569,0.9701939787364546,0.09907708109701532
imb_stride_30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.40957612365483725,16,9782,6,10,58,9724,0.375,0.09375,0.005929257820486608,0.9701939787364546,0.09907708109701532
imb_stride_30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.31857292711734814,16,9782,10,6,112,9670,0.625,0.08196721311475409,0.011449601308525863,0.9701939787364546,0.09907708109701532
imb_stride_30,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.08354165479540816,16,9782,14,2,527,9255,0.875,0.025878003696857672,0.05387446329993866,0.9701939787364546,0.09907708109701532
imb_stride_30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.47528214699029886,17,9741,2,15,7,9734,0.11764705882352941,0.2222222222222222,0.0007186120521507032,0.9525142363690164,0.17876953015126848
imb_stride_30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.40957612365483725,17,9741,5,12,45,9696,0.29411764705882354,0.1,0.004619648906683092,0.9525142363690164,0.17876953015126848
imb_stride_30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.31857292711734814,17,9741,9,8,103,9638,0.5294117647058824,0.08035714285714286,0.010573863053074633,0.9525142363690164,0.17876953015126848
imb_stride_30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.08354165479540816,17,9741,15,2,533,9208,0.8823529411764706,0.02737226277372263,0.0547171748280464,0.9525142363690164,0.17876953015126848
imb_stride_30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.47528214699029886,14,9724,1,13,11,9713,0.07142857142857142,0.08333333333333333,0.0011312217194570137,0.975421637186343,0.06458557084668996
imb_stride_30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.40957612365483725,14,9724,5,9,54,9670,0.35714285714285715,0.0847457627118644,0.0055532702591526125,0.975421637186343,0.06458557084668996
imb_stride_30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.31857292711734814,14,9724,9,5,124,9600,0.6428571428571429,0.06766917293233082,0.012751953928424516,0.975421637186343,0.06458557084668996
imb_stride_30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.08354165479540816,14,9724,11,3,534,9190,0.7857142857142857,0.02018348623853211,0.05491567256273139,0.975421637186343,0.06458557084668996
