arm,arm_desc,experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
none,처리 없음 (전 표본),imb_none,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.1575505285263048,16,9782,5,11,15,9767,0.3125,0.25,0.0015334287466775,0.9564058985892456,0.1709395666795762
none,처리 없음 (전 표본),imb_none,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.0769745806604623,16,9782,10,6,69,9713,0.625,0.1265822784810126,0.0070537722347168,0.9564058985892456,0.1709395666795762
none,처리 없음 (전 표본),imb_none,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.0641583402454853,16,9782,10,6,116,9666,0.625,0.0793650793650793,0.0118585156409732,0.9564058985892456,0.1709395666795762
none,처리 없음 (전 표본),imb_none,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.0041525315027683,16,9782,13,3,505,9277,0.8125,0.025096525096525,0.0516254344714782,0.9564058985892456,0.1709395666795762
none,처리 없음 (전 표본),imb_none,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.1575505285263048,17,9741,2,15,7,9734,0.1176470588235294,0.2222222222222222,0.0007186120521507,0.9440992288507642,0.143135869136429
none,처리 없음 (전 표본),imb_none,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.0769745806604623,17,9741,10,7,71,9670,0.5882352941176471,0.1234567901234567,0.0072887793860999,0.9440992288507642,0.143135869136429
none,처리 없음 (전 표본),imb_none,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.0641583402454853,17,9741,11,6,125,9616,0.6470588235294118,0.0808823529411764,0.0128323580741197,0.9440992288507642,0.143135869136429
none,처리 없음 (전 표본),imb_none,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.0041525315027683,17,9741,15,2,505,9236,0.8823529411764706,0.0288461538461538,0.0518427266194435,0.9440992288507642,0.143135869136429
none,처리 없음 (전 표본),imb_none,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.1575505285263048,14,9724,0,14,12,9712,0.0,0.0,0.0012340600575894,0.9791568725392256,0.06953466084665
none,처리 없음 (전 표본),imb_none,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.0769745806604623,14,9724,7,7,81,9643,0.5,0.0795454545454545,0.0083299053887289,0.9791568725392256,0.06953466084665
none,처리 없음 (전 표본),imb_none,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.0641583402454853,14,9724,9,5,141,9583,0.6428571428571429,0.06,0.0145002056766762,0.9791568725392256,0.06953466084665
none,처리 없음 (전 표본),imb_none,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.0041525315027683,14,9724,12,2,509,9215,0.8571428571428571,0.0230326295585412,0.0523447141094199,0.9791568725392256,0.06953466084665
cost,비용민감 가중 (전 표본),imb_cost,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.966891092300415,16,9782,2,14,10,9772,0.125,0.1666666666666666,0.0010222858311183,0.9516969944796564,0.0756663015342973
cost,비용민감 가중 (전 표본),imb_cost,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.9531717854738232,16,9782,5,11,55,9727,0.3125,0.0833333333333333,0.005622572071151,0.9516969944796564,0.0756663015342973
cost,비용민감 가중 (전 표본),imb_cost,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.9453606939315796,16,9782,6,10,108,9674,0.375,0.0526315789473684,0.0110406869760785,0.9516969944796564,0.0756663015342973
