experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc,arm
imb_adasyn,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.95496887922287,16,9782,2,14,10,9772,0.125,0.1666666666666666,0.0010222858311183,0.9468794725005112,0.095529203244935,adasyn
imb_adasyn,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.9367073455452918,16,9782,6,10,49,9733,0.375,0.109090909090909,0.00500920057248,0.9468794725005112,0.095529203244935,adasyn
imb_adasyn,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.9168623918294908,16,9782,8,8,98,9684,0.5,0.0754716981132075,0.0100184011449601,0.9468794725005112,0.095529203244935,adasyn
imb_adasyn,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.8186149924993514,16,9782,11,5,490,9292,0.6875,0.0219560878243512,0.0500920057248006,0.9468794725005112,0.095529203244935,adasyn
imb_adasyn,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.9435193133354188,17,9741,0,17,10,9731,0.0,0.0,0.0010265886459295,0.937109367923332,0.0287616306762758,adasyn
imb_adasyn,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.9237010121345518,17,9741,1,16,49,9692,0.0588235294117647,0.02,0.0050302843650549,0.937109367923332,0.0287616306762758,adasyn
imb_adasyn,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.9015820741653447,17,9741,3,14,98,9643,0.1764705882352941,0.0297029702970297,0.0100605687301098,0.937109367923332,0.0287616306762758,adasyn
imb_adasyn,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.8079803586006165,17,9741,11,6,488,9253,0.6470588235294118,0.0220440881763527,0.0500975259213633,0.937109367923332,0.0287616306762758,adasyn
imb_adasyn,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.943827075958252,14,9724,1,13,10,9714,0.0714285714285714,0.0909090909090909,0.0010283833813245,0.9791752365281776,0.058234836902242,adasyn
imb_adasyn,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.924081585109234,14,9724,3,11,49,9675,0.2142857142857142,0.0576923076923076,0.0050390785684903,0.9791752365281776,0.058234836902242,adasyn
imb_adasyn,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.9012519657611848,14,9724,7,7,98,9626,0.5,0.0666666666666666,0.0100781571369806,0.9791752365281776,0.058234836902242,adasyn
imb_adasyn,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.8063190311193467,14,9724,13,1,487,9237,0.9285714285714286,0.026,0.0500822706705059,0.9791752365281776,0.058234836902242,adasyn
imb_balanced_bagging,HGST_20HUH721212ALN604,xgboost_balanced_bagging,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.9177670294404028,16,9782,0,16,10,9772,0.0,0.0,0.0010222858311183,0.9571726129625844,0.0765147567302549,balanced_bagging
imb_balanced_bagging,HGST_20HUH721212ALN604,xgboost_balanced_bagging,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.912588021337986,16,9782,6,10,49,9733,0.375,0.109090909090909,0.00500920057248,0.9571726129625844,0.0765147567302549,balanced_bagging
imb_balanced_bagging,HGST_20HUH721212ALN604,xgboost_balanced_bagging,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.9025121483802796,16,9782,10,6,98,9684,0.625,0.0925925925925925,0.0100184011449601,0.9571726129625844,0.0765147567302549,balanced_bagging
imb_balanced_bagging,HGST_20HUH721212ALN604,xgboost_balanced_bagging,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.8032213076949118,16,9782,13,3,490,9292,0.8125,0.025844930417495,0.0500920057248006,0.9571726129625844,0.0765147567302549,balanced_bagging
imb_balanced_bagging,HGST_20HUH721212ALN604,xgboost_balanced_bagging,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.9168819119930268,17,9741,1,16,10,9731,0.0588235294117647,0.0909090909090909,0.0010265886459295,0.9580366794084434,0.0832892880950807,balanced_bagging
