arm,far_target,tp,fn,fp,tn,roc,recall,far
adasyn,0.001,3,44,30,29217,0.9543880256506737,0.06382978723404255,0.0010257462303826033
adasyn,0.005,10,37,147,29100,0.9543880256506737,0.2127659574468085,0.005026156528874756
adasyn,0.01,18,29,294,28953,0.9543880256506737,0.3829787234042553,0.010052313057749512
adasyn,0.05,35,12,1465,27782,0.9543880256506737,0.7446808510638298,0.0500906075836838
balanced_bagging,0.001,1,46,30,29217,0.963509363739746,0.02127659574468085,0.0010257462303826033
balanced_bagging,0.005,15,32,147,29100,0.963509363739746,0.3191489361702128,0.005026156528874756
balanced_bagging,0.01,28,19,294,28953,0.963509363739746,0.5957446808510638,0.010052313057749512
balanced_bagging,0.05,37,10,1465,27782,0.963509363739746,0.7872340425531915,0.0500906075836838
balanced_rf,0.001,2,45,30,29217,0.9609377766790231,0.0425531914893617,0.0010257462303826033
balanced_rf,0.005,11,36,147,29100,0.9609377766790231,0.23404255319148937,0.005026156528874756
balanced_rf,0.01,21,26,294,28953,0.9609377766790231,0.44680851063829785,0.010052313057749512
balanced_rf,0.05,37,10,1465,27782,0.9609377766790231,0.7872340425531915,0.0500906075836838
borderline_smote,0.001,5,42,67,29180,0.9526631738294137,0.10638297872340426,0.002290833247854481
borderline_smote,0.005,9,38,201,29046,0.9526631738294137,0.19148936170212766,0.006872499743563442
borderline_smote,0.01,10,37,424,28823,0.9526631738294137,0.2127659574468085,0.014497213389407461
borderline_smote,0.05,33,14,1472,27775,0.9526631738294137,0.7021276595744681,0.05032994837077307
cost,0.001,3,44,30,29217,0.9614112945808125,0.06382978723404255,0.0010257462303826033
cost,0.005,14,33,147,29100,0.9614112945808125,0.2978723404255319,0.005026156528874756
cost,0.01,20,27,297,28950,0.9614112945808125,0.425531914893617,0.010154887680787773
cost,0.05,37,10,1465,27782,0.9614112945808125,0.7872340425531915,0.0500906075836838
easy_ensemble,0.001,3,44,33,29214,0.9576498487937651,0.06382978723404255,0.0011283208534208636
easy_ensemble,0.005,17,30,147,29100,0.9576498487937651,0.3617021276595745,0.005026156528874756
easy_ensemble,0.01,20,27,294,28953,0.9576498487937651,0.425531914893617,0.010052313057749512
