experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
imb_adasyn,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.9549688792228699,16,9782,2,14,10,9772,0.125,0.16666666666666666,0.0010222858311183807,0.9468794725005112,0.09552920324493508
imb_adasyn,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.9367073455452918,16,9782,6,10,49,9733,0.375,0.10909090909090909,0.005009200572480065,0.9468794725005112,0.09552920324493508
imb_adasyn,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.9168623918294907,16,9782,8,8,98,9684,0.5,0.07547169811320754,0.01001840114496013,0.9468794725005112,0.09552920324493508
imb_adasyn,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.8186149924993514,16,9782,11,5,490,9292,0.6875,0.021956087824351298,0.05009200572480065,0.9468794725005112,0.09552920324493508
imb_adasyn,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.9435193133354187,17,9741,0,17,10,9731,0.0,0.0,0.001026588645929576,0.937109367923332,0.02876163067627584
imb_adasyn,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.9237010121345518,17,9741,1,16,49,9692,0.058823529411764705,0.02,0.005030284365054922,0.937109367923332,0.02876163067627584
imb_adasyn,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.9015820741653447,17,9741,3,14,98,9643,0.17647058823529413,0.0297029702970297,0.010060568730109845,0.937109367923332,0.02876163067627584
imb_adasyn,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.8079803586006165,17,9741,11,6,488,9253,0.6470588235294118,0.022044088176352707,0.05009752592136331,0.937109367923332,0.02876163067627584
imb_adasyn,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.943827075958252,14,9724,1,13,10,9714,0.07142857142857142,0.09090909090909091,0.0010283833813245578,0.9791752365281776,0.05823483690224204
imb_adasyn,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.9240815851092339,14,9724,3,11,49,9675,0.21428571428571427,0.057692307692307696,0.005039078568490334,0.9791752365281776,0.05823483690224204
imb_adasyn,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.9012519657611847,14,9724,7,7,98,9626,0.5,0.06666666666666667,0.010078157136980667,0.9791752365281776,0.05823483690224204
imb_adasyn,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.8063190311193467,14,9724,13,1,487,9237,0.9285714285714286,0.026,0.05008227067050596,0.9791752365281776,0.05823483690224204
