experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
imb_borderline_smote,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.6612257957458496,16,9782,3,13,18,9764,0.1875,0.14285714285714285,0.0018401144960130853,0.9552462430995706,0.06233505828729677
imb_borderline_smote,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.6607016921043396,16,9782,6,10,55,9727,0.375,0.09836065573770492,0.005622572071151094,0.9552462430995706,0.06233505828729677
imb_borderline_smote,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.6508169174194336,16,9782,7,9,202,9580,0.4375,0.03349282296650718,0.02065017378859129,0.9552462430995706,0.06233505828729677
imb_borderline_smote,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.6248677372932434,16,9782,11,5,495,9287,0.6875,0.021739130434782608,0.05060314864035984,0.9552462430995706,0.06233505828729677
imb_borderline_smote,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.6607016921043396,17,9741,0,17,23,9718,0.0,0.0,0.0023611538856380247,0.9353430315766589,0.01943364226965971
imb_borderline_smote,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.6508169174194336,17,9741,1,16,77,9664,0.058823529411764705,0.01282051282051282,0.007904732573657735,0.9353430315766589,0.01943364226965971
imb_borderline_smote,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.6495669484138489,17,9741,1,16,113,9628,0.058823529411764705,0.008771929824561403,0.011600451699004208,0.9353430315766589,0.01943364226965971
imb_borderline_smote,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.6048106551170349,17,9741,11,6,489,9252,0.6470588235294118,0.022,0.05020018478595627,0.9353430315766589,0.01943364226965971
imb_borderline_smote,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.6607016921043396,14,9724,2,12,26,9698,0.14285714285714285,0.07142857142857142,0.00267379679144385,0.9674002468120115,0.030293188115926673
imb_borderline_smote,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.6508169174194336,14,9724,2,12,69,9655,0.14285714285714285,0.028169014084507043,0.007095845331139449,0.9674002468120115,0.030293188115926673
imb_borderline_smote,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.6495669484138489,14,9724,2,12,109,9615,0.14285714285714285,0.018018018018018018,0.01120937885643768,0.9674002468120115,0.030293188115926673
imb_borderline_smote,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.6018682718276978,14,9724,11,3,488,9236,0.7857142857142857,0.022044088176352707,0.05018510900863842,0.9674002468120115,0.030293188115926673
