experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
imb_rus_1,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.8894740343093872,16,9782,7,9,52,9730,0.4375,0.11864406779661017,0.00531588632181558,0.9521027141688816,0.08582284329438196
imb_rus_1,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.8894740343093872,16,9782,7,9,52,9730,0.4375,0.11864406779661017,0.00531588632181558,0.9521027141688816,0.08582284329438196
imb_rus_1,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.8811696171760559,16,9782,8,8,100,9682,0.5,0.07407407407407407,0.010222858311183807,0.9521027141688816,0.08582284329438196
imb_rus_1,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.8266251325607297,16,9782,14,2,490,9292,0.875,0.027777777777777776,0.05009200572480065,0.9521027141688816,0.08582284329438196
imb_rus_1,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.8894740343093872,17,9741,7,10,47,9694,0.4117647058823529,0.12962962962962962,0.004824966635869008,0.9338454199049501,0.08563090169744272
imb_rus_1,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.8884283304214478,17,9741,9,8,57,9684,0.5294117647058824,0.13636363636363635,0.005851555281798583,0.9338454199049501,0.08563090169744272
imb_rus_1,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.8809227347373962,17,9741,9,8,104,9637,0.5294117647058824,0.07964601769911504,0.01067652191766759,0.9338454199049501,0.08563090169744272
imb_rus_1,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.8243951201438904,17,9741,12,5,488,9253,0.7058823529411765,0.024,0.05009752592136331,0.9338454199049501,0.08563090169744272
imb_rus_1,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.8894740343093872,14,9724,4,10,58,9666,0.2857142857142857,0.06451612903225806,0.005964623611682435,0.9764573661632485,0.05489606187525985
imb_rus_1,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.8894740343093872,14,9724,4,10,58,9666,0.2857142857142857,0.06451612903225806,0.005964623611682435,0.9764573661632485,0.05489606187525985
imb_rus_1,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.8809227347373962,14,9724,8,6,120,9604,0.5714285714285714,0.0625,0.012340600575894693,0.9764573661632485,0.05489606187525985
imb_rus_1,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.8258392482995986,14,9724,11,3,487,9237,0.7857142857142857,0.02208835341365462,0.05008227067050596,0.9764573661632485,0.05489606187525985
