experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
imb_smote,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.9873549337387084,16,9782,2,14,10,9772,0.125,0.16666666666666666,0.0010222858311183807,0.9359282355346554,0.0648983285862129
imb_smote,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.969181053638458,16,9782,3,13,49,9733,0.1875,0.057692307692307696,0.005009200572480065,0.9359282355346554,0.0648983285862129
imb_smote,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.9624132150411607,16,9782,7,9,98,9684,0.4375,0.06666666666666667,0.01001840114496013,0.9359282355346554,0.0648983285862129
imb_smote,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.7916079878807062,16,9782,14,2,490,9292,0.875,0.027777777777777776,0.05009200572480065,0.9359282355346554,0.0648983285862129
imb_smote,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.9790873825550079,17,9741,0,17,10,9731,0.0,0.0,0.001026588645929576,0.932371963260204,0.03150198976336207
imb_smote,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.9676091909408568,17,9741,1,16,49,9692,0.058823529411764705,0.02,0.005030284365054922,0.932371963260204,0.03150198976336207
imb_smote,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.958963131904602,17,9741,3,14,98,9643,0.17647058823529413,0.0297029702970297,0.010060568730109845,0.932371963260204,0.03150198976336207
imb_smote,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.7763636112213135,17,9741,12,5,488,9253,0.7058823529411765,0.024,0.05009752592136331,0.932371963260204,0.03150198976336207
imb_smote,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.9749657664895058,14,9724,1,13,10,9714,0.07142857142857142,0.09090909090909091,0.0010283833813245578,0.9812834224598931,0.0716536346204112
imb_smote,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.965169463455677,14,9724,3,11,49,9675,0.21428571428571427,0.057692307692307696,0.005039078568490334,0.9812834224598931,0.0716536346204112
imb_smote,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.9564349150657654,14,9724,8,6,98,9626,0.5714285714285714,0.07547169811320754,0.010078157136980667,0.9812834224598931,0.0716536346204112
imb_smote,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.7739453196525579,14,9724,12,2,487,9237,0.8571428571428571,0.02404809619238477,0.05008227067050596,0.9812834224598931,0.0716536346204112
