experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
imb_smote_tomek,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.9878032227158544,16,9782,2,14,10,9772,0.125,0.16666666666666666,0.0010222858311183807,0.9545370323042323,0.17556417186792234
imb_smote_tomek,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.9712491562962531,16,9782,5,11,49,9733,0.3125,0.09259259259259259,0.005009200572480065,0.9545370323042323,0.17556417186792234
imb_smote_tomek,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.9633001923561096,16,9782,8,8,98,9684,0.5,0.07547169811320754,0.01001840114496013,0.9545370323042323,0.17556417186792234
imb_smote_tomek,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.803448939323425,16,9782,14,2,490,9292,0.875,0.027777777777777776,0.05009200572480065,0.9545370323042323,0.17556417186792234
imb_smote_tomek,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.981818380355835,17,9741,0,17,10,9731,0.0,0.0,0.001026588645929576,0.9304516386166416,0.03486913516788417
imb_smote_tomek,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.9688751935958861,17,9741,2,15,49,9692,0.11764705882352941,0.0392156862745098,0.005030284365054922,0.9304516386166416,0.03486913516788417
imb_smote_tomek,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.9611089825630188,17,9741,4,13,98,9643,0.23529411764705882,0.0392156862745098,0.010060568730109845,0.9304516386166416,0.03486913516788417
imb_smote_tomek,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.7910762429237366,17,9741,11,6,488,9253,0.6470588235294118,0.022044088176352707,0.05009752592136331,0.9304516386166416,0.03486913516788417
imb_smote_tomek,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.9744090497493744,14,9724,1,13,10,9714,0.07142857142857142,0.09090909090909091,0.0010283833813245578,0.9771845801257566,0.05358339746475262
imb_smote_tomek,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.967309986948967,14,9724,2,12,49,9675,0.14285714285714285,0.0392156862745098,0.005039078568490334,0.9771845801257566,0.05358339746475262
imb_smote_tomek,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.9589262306690216,14,9724,5,9,98,9626,0.35714285714285715,0.04854368932038835,0.010078157136980667,0.9771845801257566,0.05358339746475262
imb_smote_tomek,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.7861141920089728,14,9724,12,2,487,9237,0.8571428571428571,0.02404809619238477,0.05008227067050596,0.9771845801257566,0.05358339746475262
