experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
tos_gru_focal,TOSHIBA_20MG07ACA14TA,gru_focal,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.27385876387357194,29,37316,9,20,38,37278,0.3103448275862069,0.19148936170212766,0.0010183299389002036,0.9004291401303315,0.1132225696221202
tos_gru_focal,TOSHIBA_20MG07ACA14TA,gru_focal,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.15764076933265023,29,37316,20,9,187,37129,0.6896551724137931,0.0966183574879227,0.005011255225640476,0.9004291401303315,0.1132225696221202
tos_gru_focal,TOSHIBA_20MG07ACA14TA,gru_focal,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.10311821363866278,29,37316,24,5,374,36942,0.8275862068965517,0.06030150753768844,0.010022510451280952,0.9004291401303315,0.1132225696221202
tos_gru_focal,TOSHIBA_20MG07ACA14TA,gru_focal,sequence,42,2025-10,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.03334756940603256,29,37316,24,5,1866,35450,0.8275862068965517,0.012698412698412698,0.05000535963125737,0.9004291401303315,0.1132225696221202
tos_gru_focal,TOSHIBA_20MG07ACA14TA,gru_focal,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.28871203213929086,27,37286,8,19,38,37248,0.2962962962962963,0.17391304347826086,0.0010191492785495897,0.8310943835537516,0.10693186988081671
tos_gru_focal,TOSHIBA_20MG07ACA14TA,gru_focal,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.16701830476522264,27,37286,15,12,187,37099,0.5555555555555556,0.07425742574257425,0.005015287239178244,0.8310943835537516,0.10693186988081671
tos_gru_focal,TOSHIBA_20MG07ACA14TA,gru_focal,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.1139116320759059,27,37286,20,7,373,36913,0.7407407407407407,0.05089058524173028,0.01000375476049992,0.8310943835537516,0.10693186988081671
tos_gru_focal,TOSHIBA_20MG07ACA14TA,gru_focal,sequence,42,2025-11,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.03772764280438423,27,37286,21,6,1865,35421,0.7777777777777778,0.011134676564156946,0.0500187738024996,0.8310943835537516,0.10693186988081671
tos_gru_focal,TOSHIBA_20MG07ACA14TA,gru_focal,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.2901971969604483,18,37265,5,13,38,37227,0.2777777777777778,0.11627906976744186,0.0010197236012344023,0.9336523696647137,0.09558741979304512
tos_gru_focal,TOSHIBA_20MG07ACA14TA,gru_focal,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.17101754486560822,18,37265,12,6,187,37078,0.6666666666666666,0.06030150753768844,0.005018113511337716,0.9336523696647137,0.09558741979304512
tos_gru_focal,TOSHIBA_20MG07ACA14TA,gru_focal,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.11849728822708137,18,37265,14,4,373,36892,0.7777777777777778,0.03617571059431524,0.010009392191064,0.9336523696647137,0.09558741979304512
tos_gru_focal,TOSHIBA_20MG07ACA14TA,gru_focal,sequence,42,2025-12,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.03557722344994544,18,37265,16,2,1864,35401,0.8888888888888888,0.00851063829787234,0.050020126123708576,0.9336523696647137,0.09558741979304512
tos_gru_focal,TOSHIBA_20MG07ACA14TA,gru_focal,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.28916270405054234,29,37220,3,26,38,37182,0.10344827586206896,0.07317073170731707,0.0010209564750134337,0.9293427708499324,0.06870154222522318
tos_gru_focal,TOSHIBA_20MG07ACA14TA,gru_focal,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.17214472010731652,29,37220,12,17,187,37033,0.41379310344827586,0.06030150753768844,0.0050241805480924235,0.9293427708499324,0.06870154222522318
tos_gru_focal,TOSHIBA_20MG07ACA14TA,gru_focal,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.12054458267986756,29,37220,24,5,373,36847,0.8275862068965517,0.060453400503778336,0.0100214938205266,0.9293427708499324,0.06870154222522318
tos_gru_focal,TOSHIBA_20MG07ACA14TA,gru_focal,sequence,42,2026-01,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.037833170220255695,29,37220,25,4,1861,35359,0.8620689655172413,0.013255567338282079,0.05,0.9293427708499324,0.06870154222522318
tos_gru_focal,TOSHIBA_20MG07ACA14TA,gru_focal,sequence,42,2026-02,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.32285629272460853,24,37193,6,18,38,37155,0.25,0.13636363636363635,0.0010216976312747022,0.8905808888769393,0.14683959818228254
tos_gru_focal,TOSHIBA_20MG07ACA14TA,gru_focal,sequence,42,2026-02,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.18850993037223868,24,37193,11,13,186,37007,0.4583333333333333,0.05583756345177665,0.005000941037291964,0.8905808888769393,0.14683959818228254
tos_gru_focal,TOSHIBA_20MG07ACA14TA,gru_focal,sequence,42,2026-02,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.12804602384567304,24,37193,15,9,372,36821,0.625,0.03875968992248062,0.010001882074583928,0.8905808888769393,0.14683959818228254
tos_gru_focal,TOSHIBA_20MG07ACA14TA,gru_focal,sequence,42,2026-02,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.03871154189109805,24,37193,19,5,1860,35333,0.7916666666666666,0.010111761575306013,0.05000941037291964,0.8905808888769393,0.14683959818228254
tos_gru_focal,TOSHIBA_20MG07ACA14TA,gru_focal,sequence,42,2026-03,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.001,0.33463407325744626,35,37164,11,24,38,37126,0.3142857142857143,0.22448979591836735,0.0010224948875255625,0.9442886356996787,0.14856260862621282
tos_gru_focal,TOSHIBA_20MG07ACA14TA,gru_focal,sequence,42,2026-03,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.005,0.19297423608601091,35,37164,22,13,186,36978,0.6285714285714286,0.10576923076923077,0.005004843396835648,0.9442886356996787,0.14856260862621282
tos_gru_focal,TOSHIBA_20MG07ACA14TA,gru_focal,sequence,42,2026-03,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.01,0.1338829641044143,35,37164,24,11,372,36792,0.6857142857142857,0.06060606060606061,0.010009686793671296,0.9442886356996787,0.14856260862621282
tos_gru_focal,TOSHIBA_20MG07ACA14TA,gru_focal,sequence,42,2026-03,2024-10-01,2025-07-30,in_horizon,10,month_quantile,0.05,0.03734069857746362,35,37164,29,6,1859,35305,0.8285714285714286,0.015360169491525424,0.05002152620815843,0.9442886356996787,0.14856260862621282
